"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","5.53","2016-03-20T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","16.1","2016-03-20T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","341.5","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","450.35","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","386.7","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","515.6","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","172.2","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","16.94","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","64.76","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","35.57","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","77.7","2016-03-27T00:00:00.000","March","6","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Mister Paper Inc.","Flood Control","Materials And Supplies","124.2","2016-03-27T00:00:00.000","March","6","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Praxair Dist Se # 22","Health","Materials And Supplies","28.6","2016-03-27T00:00:00.000","March","6","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Tractor Supply Co #1888","Health","Materials And Supplies","249.99","2016-03-27T00:00:00.000","March","6","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Gempler's","Health","Materials And Supplies","543.9","2016-03-27T00:00:00.000","March","6","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Traffic Solutions","Health","Materials And Supplies","229.8","2016-03-27T00:00:00.000","March","6","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Praxair Dist Se # 22","Health","Materials And Supplies","28.6","2016-03-27T00:00:00.000","March","6","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Alachua County Feed And S","Health","Materials And Supplies","39","2016-03-27T00:00:00.000","March","6","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ring Power H E Service","Internal Services","Materials And Supplies","201.8","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ring Power H E Service","Internal Services","Parts-Motor Equipment","609.33","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gainesville Buick Gmc","Internal Services","Parts-Motor Equipment","2266.03","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Petersen Industries","Internal Services","Parts-Motor Equipment","203.51","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Flash Equipment, Inc","Internal Services","Parts-Motor Equipment","25.94","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Strate Welding Supply Co","Internal Services","Materials And Supplies","87.48","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Central Hydraulics","Internal Services","Parts-Motor Equipment","348.54","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Home Depot #1854","Internal Services","Parts-Motor Equipment","21.94","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Florida Fasteners & Tool","Internal Services","Materials And Supplies","21.9","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Radiator Depot","Internal Services","Parts-Motor Equipment","131","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Interstate Battery","Internal Services","Parts-Motor Equipment","230.4","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","672.18","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","159.66","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","41.14","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gatorland Kubota","Internal Services","Parts-Motor Equipment","1248.72","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Lift Power Inc","Internal Services","Parts-Motor Equipment","17.9","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Strate Welding Supply","Internal Services","Materials And Supplies","87.91","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","149.2","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","42.42","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","50.92","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Griffis Lumber","Internal Services","Parts-Motor Equipment","210","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Hollander Hydraulics","Internal Services","Parts-Motor Equipment","47.97","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers Sale & Ser","Internal Services","Parts-Motor Equipment","16.66","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Tractor Llc","Internal Services","Parts-Motor Equipment","48.8","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","-50.92","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","12","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","169.31","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","In  Convoy Technologies,","Internal Services","Parts-Motor Equipment","239.95","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Harbor Freight Tools 325","Internal Services","Materials And Supplies","21.97","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Mauldin's Auto Glass I","Internal Services","Parts-Motor Equipment","95","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Interstate Battery","Internal Services","Materials And Supplies","122.46","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Polaris Of Gainesville","Internal Services","Parts-Motor Equipment","25.25","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Southern Custom","Internal Services","Parts-Motor Equipment","42.65","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Discount Tires Of Gainsvi","Internal Services","Parts-Motor Equipment","304","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gatorland Kubota","Internal Services","Parts-Motor Equipment","89.01","2015-10-25T00:00:00.000","October","1","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Motion Industries Fl32","Internal Services","Parts-Motor Equipment","118.36","2015-10-25T00:00:00.000","October","1","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Sheraton Dolphin Hotel","Other General Government","Materials And Supplies","39.76","2015-10-25T00:00:00.000","October","1","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Sheraton Dolphin Hotel","Other General Government","Materials And Supplies","42.46","2015-10-25T00:00:00.000","October","1","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Amazon Mktplace Pmts","Other General Government","Materials And Supplies","79.95","2015-10-25T00:00:00.000","October","1","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Amazon Mktplace Pmts","Other General Government","Materials And Supplies","9.99","2015-10-25T00:00:00.000","October","1","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Amazon Mktplace Pmts","Other General Government","Materials And Supplies","21.8","2015-10-25T00:00:00.000","October","1","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Amazon Mktplace Pmts","Other General Government","Materials And Supplies","80.03","2015-10-25T00:00:00.000","October","1","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Amazon Mktplace Pmts","Other General Government","Materials And Supplies","79.46","2015-10-25T00:00:00.000","October","1","2016","Visa"
