"project_name","date_received","meeting_date","meeting_time","meeting_location_place","meeting_location_address","meeting_location_city","meeting_location_zip","proposed_units","proposed_acres","sign_code","sign_year","locationdescription","taxmap_parcel","zoning","coordinates"
"Ellinger Property","2007-08-02T00:00:00.000","2007-09-05T00:00:00.000","1899-12-31T18:00:00","Savage Library","9525 Durness Lane","Laurel","20723","7","3.85","R13","8","N SIDE OF SCAGGSVILLE RD OPPOSITE TOWER DR","[TaxMap 46 Parcel 33]","R-20","(39.2206, -76.8767)"
"Our Lady of Perpetual Help (CONDITIONAL USE)","2008-05-16T00:00:00.000","2008-06-13T00:00:00.000","1899-12-31T18:00:00","Elkridge Public Library","6540 Washington Boulevard","Elkridge","21075",,,"C31","8","E SIDE OF ILCHESTER RD OPPOSITE BEECHWOOD RD","[TaxMap 31 Parcel 260]","R-ED","(39.2385, -76.767)"
"ELLICOTT CROSSING, PART I","2012-12-19T00:00:00.000","2013-01-15T00:00:00.000","1899-12-31T18:30:00","ELLICOTT CITY SENIOR CTR - GREAT ROOM","9401 FREDERICK ROAD","ELLICOTT CITY","21042","18","1.824","R32","13","S SIDE ELLICOTT CENTER DR","[TaxMap 24 Parcel 852]","POR-MXD-6","(39.2791, -76.8125)"
"Baltimore Gas & Electric-COND USE (Add New Equip.)","2007-07-16T00:00:00.000","2007-08-02T00:00:00.000","1899-12-31T19:00:00","Ellicott City Senior Center-Great Room","9401 Frederick Road","Ellicott City","21042",,,"C02","8","INTERSECTION OF RT. 144 AND CENTENNIAL LANE","[TaxMap 24 Parcel 1015]","B-2","(39.2781, -76.8605)"
"Streaker Property, Lots 1-4","2015-05-20T00:00:00.000","2015-06-16T00:00:00.000","1899-12-31T18:00:00","West Friendship Volunteer Fire Dept","12535 Old Frederick Road","West Friendship","21794","4","16.3","R45","15","TERMINUS OF UNDERWOOD RD","[TaxMap 9 Parcel 328]","RC-DEO","(39.3185, -76.9751)"
"Jagwood Farms","2010-11-05T00:00:00.000","2010-12-01T00:00:00.000","1899-12-31T06:00:00","Glenwood Library","2350 route 97","cooksville","21723","1","61.69","R09","11","WOODBINE RD NORTH OF BRITTLE BRANCH WAY","[TaxMap 7 Parcel 215]","RC-DEO","(39.335, -77.0832)"
"Adam Eng","2013-08-16T00:00:00.000","2013-09-21T00:00:00.000","1899-12-31T15:45:00","Elkridge Library ","6544 Washington Blvd","Elkridge","21075",,,"C04","14","INTERSECTION OF MONTGOMERY RD AND MARSHALEE DR","[TaxMap 37 Parcel 320]","R-20","(39.2116, -76.7591)"
"JONES ROAD","2014-05-05T00:00:00.000","2014-06-05T00:00:00.000","1899-12-31T19:00:00","NORTH LAUREL COMMUNITY CENTER","9411 WHISKEY BOTTOM ROAD","LAUREL","20723","25","13.55","R67","14","JONES RD AT MARY LN","[TaxMap 42 Parcel 136],[TaxMap 42 Parcel 138],[TaxMap 42 Parcel 139],[TaxMap 42 Parcel 180]","R-12","(39.1525, -76.8124)"
"Chad Zirk, Landscape Contractor","2016-04-06T00:00:00.000","2016-05-03T00:00:00.000","6:00 p.m.","Lisbon Volunteer Fire Company","1330 Woodbine Road","Woodbine","21797",,,"C12","16","WOODBINE RD S OF AE MULLINIX RD","[TaxMap 7 Parcel 362]","RC-DEO","(39.3263, -77.0995)"
"Kellogg CCP LLC","2011-08-08T00:00:00.000","2011-08-30T00:00:00.000","6:30 p.m.","Elkridge Senior Center","6540  Washington Boulevard","Elkridge","21075",,,"M02","12","INTERSECTION OF COCA COLA DR & PARK CIRCLE DR","[TaxMap 38 Parcel 761],[TaxMap 44 Parcel 761]","TOD","(39.1848, -76.7373)"
"HODDINOTT PROPERTY","2014-06-04T00:00:00.000","2014-06-26T00:00:00.000","1899-12-31T18:30:00","ROBINSON NATURE CENTER (AUDOTORIUM)","6692 CEDAR LANE","COLUMBIA","21044","150","89.95","R74","14","W SIDE GUILFORD RD AT CLARKSVILLE PIKE","[TaxMap 34 Parcel 88],[TaxMap 34 Parcel 97]","R-ED","(39.1991, -76.9409)"
"Gratia Plena LLC Property","2015-05-12T00:00:00.000","2015-06-04T00:00:00.000","1899-12-31T18:00:00","River Hill Meeting Room","6330 Trotter Road","Clarksville","21029","0","162.07","N07","15","SHEPPARD LN","[TaxMap 9 Parcel 25]","RC-DEO","(39.2352, -76.9346)"
"Castle Angelo Country Inn","2017-10-05T00:00:00.000","2017-11-08T00:00:00.000","6:00 P.M.","Miller Branch Library","9421 Frederick Road","Ellicott City","21042",,,"C09","18","CHURCH RD","[TaxMap 25A Parcel 18]","R-VH","(39.2685, -76.7952)"
"THE PARK AT LOCUST THICKET","2014-10-15T00:00:00.000","2014-11-19T00:00:00.000","1899-12-31T18:00:00","ELKRIDGE VOLUNTEER FIRE DEPT","6275 OLD WASHINGTON BLVD","ELKRIDGE","21075","387","27.07","R20","15","SW QUADRANT RT 100 & MEADOWRIDGE RD","[TaxMap 37 Parcel 714],[TaxMap 37 Parcel 724]","POR,R-A-15","(39.2055, -76.7856)"
"Ochoa Estates","2007-10-03T00:00:00.000","2007-11-01T00:00:00.000","1899-12-31T18:00:00","Guilford Elementary School","7335 Oakland Mills Road","Columbia","21046","3","1.12","R23","8","S SIDE OF COLEMAN THOMAS RD. W OF OAKLAND MILLS RD","[TaxMap 42 Parcel 48]","R-12","(39.1686, -76.8325)"
"RIVERWOOD PHASE3","2012-06-07T00:00:00.000","2012-07-02T00:00:00.000","1899-12-31T18:00:00","KAHLER HALL","5440  OLD TUCKER ROW","COLUMBIA, MD","21044","3","20","R01","13","TERMINUS OF CASTLEBRIDGE RD","[TaxMap 23 Parcel 20],[TaxMap 29 Parcel 20]","RC-DEO","(39.2455, -76.9041)"
"Locke Property II","2013-03-01T00:00:00.000","2013-03-25T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6540  Washington Blvd","Elkridge","21075","3","1","R45","13","W SIDE HUNT CLUB RD S OF HUNTER RD","[TaxMap 38 Parcel 64]","R-12","(39.2043, -76.74)"
"Lacey Property","2013-03-26T00:00:00.000","2013-04-30T00:00:00.000","1899-12-31T18:30:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","14","8.5","R47","13","CHURCH RD AT PARK DR","[TaxMap 25 Parcel 13]","R-ED","(39.2744, -76.7998)"
"Constellation Solar Farm","2015-02-19T00:00:00.000","2015-03-26T00:00:00.000","6:00 p.m.","West Friendship Fire Station","12535 Old Frederick Road","Sykesville","21784","0","37.239","C14","15","NW QUADRANT RT 32 & OLD FREDERICK RD","[TaxMap 9 Parcel 21]","RC-DEO","(39.3223, -76.9511)"
"Hickory Ridge - Verizon","2016-10-17T00:00:00.000","2016-12-05T00:00:00.000","1899-12-31T18:00:00","Abiding Savior Lutheran Church","10689 Owen Brown Road","Columbia","21044","0","1.8","N06","17","S SIDE OWEN BROWN RD E OF CEDAR LN","[TaxMap 35 Parcel 238]","R-SC","(39.1976, -76.883)"
"HEDGEROW FARM","2010-01-15T00:00:00.000","2010-02-12T00:00:00.000","7:00 P.M.","ST LOUIS CATHOLIC CHURCH","12500 CLARKSVILLE PIKE","CLARKSVILLE","21029","3","33","R16","10","TRIADELPHIA MILL RD 2000' W HIGHLAND RD","[TaxMap 28 Parcel 64],[TaxMap 34 Parcel 64]","RR-DEO","(39.2194, -76.9815)"
"Schooley Mill Farm","2007-01-10T00:00:00.000","2007-01-26T00:00:00.000","1899-12-31T18:30:00","School Mill Park Meeting Room","12975 Hall Shop Road","Highland","20777","12","24.4",,,"S SIDE OF HALL SHOP RD W OF SCAGGSVILLE RD","[TaxMap 40 Parcel 115],[TaxMap 40 Parcel 149]","RR-DEO","(39.1692, -76.957)"
"Isla's Woods","2017-04-17T00:00:00.000","2017-06-05T00:00:00.000","1899-12-31T18:00:00","Savage Library","9525 Durness Lane","Laurel","20723","6","3.6","R45","17","S SIDE SCAGGSVILLE RD W OF CREST RD","[TaxMap 46 Parcel 263]","R-20","(39.1426, -76.8925)"
"Ann's Delight, Lots 3 - 5","2009-11-20T00:00:00.000","2010-01-13T00:00:00.000","1899-12-31T18:00:00","St. Pauls Church, Church Hall","3755 St. Paul Street","Ellicott City","21043","3","0.588","R14","10","CHURCH RD EAST OF EMORY ST","[TaxMap 25A Parcel 318]","R-VH","(39.2686, -76.7967)"
"Hasan Huseyin Ozcan","2012-10-17T00:00:00.000","2012-11-08T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library","9421  Frederick Road","Ellicott City","21042",,,"C10","13","BALTIMORE NATIONAL PIKE","[TaxMap 24 Parcel 544]","R-20","(39.2791, -76.8651)"
"Shipley's Lodge","2009-02-23T00:00:00.000","2009-03-23T00:00:00.000","1899-12-31T19:00:00","St. James United Methodist Church","12470 Old Frederick Rd.","Marriottsville","21104","2","10.58","R28","9","EAST SIDE OF ROUTE 32, 2500' N OF OLD FREDERICK RD","[TaxMap 9 Parcel 91]","RR-DEO","(39.3276, -76.9478)"
"2nd Addition to Holiday Hills","2012-08-30T00:00:00.000","2012-09-20T00:00:00.000","1899-12-31T06:00:00","Stevens Forest Neighborhood Center","6061 Stevens Forest Road","Columbia","21044","1","1","R11","13","VISTA ROAD, APPROX 1000' EAST OF NEWBERRY DRIVE","[TaxMap  Parcel ],[TaxMap 41 Parcel 220]","R-20","(39.1799, -76.881)"
"Preston Capital Management, LLC","2009-08-28T00:00:00.000","2009-09-22T00:00:00.000","1899-12-31T18:00:00","Elkridge Elementary School, Library","7075 Montgomery Road","Elkridge","21075",,,"M02","10","NORTH AND SOUTH SIDE OF PARK CIRCLE DRIVE","[TaxMap 38 Parcel 761],[TaxMap 44 Parcel 761]","TOD","(39.1828, -76.7348)"
"Peloquin Property - MEETING CANCELLED","2013-04-22T00:00:00.000","2013-05-29T00:00:00.000","6:00pm","Miller Library - MEETING CANCELLED","9421  Frederick Road","Ellicott City","21042","1","0.67","R51","13","TYSON RD AT ROUTE 40","[TaxMap  Parcel ],[TaxMap 0018 Parcel 0339],[TaxMap 18 Parcel 339]","R-20","(39.2909, -76.7971)"
"Korean Wellness Center at Pine Orchard","2011-01-31T00:00:00.000","2011-03-01T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401  Frederick Road ","Ellicott City","21042","0","1.6","N02","11","EAST OF PINE ORCHARD LN, .03 MILE N. OF CORPORATE CT","[TaxMap 24 Parcel 10]","B-1","(39.2826, -76.8622)"
"Harmon Property","2015-12-08T00:00:00.000","2016-01-06T00:00:00.000","1899-12-31T19:00:00","North Laurel Community Center","9411 Whiskey Bottom Road","Laurel","20723","3","1.9014","R37","16","JONES RD E OF ROSE LN","[TaxMap 42 Parcel 180]","R-12","(39.1532, -76.8124)"
"NORTH LAUREL PARK","2012-02-01T00:00:00.000","2012-03-06T00:00:00.000","1899-12-31T18:00:00","NORTH LAUREL COMMUNITY CENTER","9411  WHISKEY BOTTOM RD","LAUREL","20723","37","6.9","R26","12","WASHINGTON BLVD SOUTH BREWERS CT","[TaxMap 50 Parcel 426]","CAC-CLI","(39.1133, -76.8349)"
"MBW Properties-Landscape Contracting (COND USE)","2008-03-24T00:00:00.000","2008-04-24T00:00:00.000","1899-12-31T18:00:00","Lisbon  Fire Department","17885 Frederick Road","Mt. Airy","21771",,,"C24","8","E SIDE MADISON ST N OF NORTH ST","[TaxMap 7 Parcel 102]","RC-DEO","(39.3383, -77.0668)"
"T-Mobile Northeast LLC","2009-06-26T00:00:00.000","2009-08-26T00:00:00.000","1899-12-31T19:00:00","Howard County Library, Glenwood Branch","2350 SR 97","Cooksville","21738",,,"C36","9","S SIDE BURNTWOODS ROAD N OF SHADY LANE","[TaxMap 21 Parcel 73]","RR-DEO","(39.2832, -77.0175)"
"Marshalee Woods","2009-11-18T00:00:00.000","2009-12-21T00:00:00.000","6:00pm","Elkridge Library","6540  Washington Blvd","Elkridge","21075","11","4.65","R12","10","NORTHEAST OF MARSHALEE DRIVE","[TaxMap 37 Parcel 354],[TaxMap 37 Parcel 682],[TaxMap 37 Parcel 699]",,"(39.2112, -76.7596)"
"Veli Demirel","2011-10-20T00:00:00.000","2011-11-16T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042",,,"M04","12","S SIDE OF FREDERICK RD W OF CENTENNIAL LN","[TaxMap 24 Parcel 544],[TaxMap 24 Parcel 62],[TaxMap 24 Parcel 63]","OT","(39.2781, -76.8622)"
"Wharff  Lane (CONDITIONAL USE)","2007-01-08T00:00:00.000","2007-01-23T00:00:00.000","1899-12-31T18:00:00","Howard County Library (Elkridge Branch)","6540 Washington Boulevard","Elkridge","21075","40","10",,,"TERMINUS OF WHARFF LN","[TaxMap 31 Parcel 634],[TaxMap 31 Parcel 635]","R-20","(39.24, -76.7755)"
"Douglas Woods - MEETING CANCELLED","2013-10-02T00:00:00.000","2013-12-10T00:00:00.000","CANCELLED","Elkridge Library","6540  Washington Blvd","Elkridge","21075","6","6.8","R23","14","TERMINUS OF DEBORAH JEAN DR","[TaxMap 37 Parcel 698]","R-20","(39.2043, -76.7586)"
"Happy Hills Farm","2015-01-14T00:00:00.000","2015-02-09T00:00:00.000","1899-12-31T18:30:00","Glenwood Branch LIbrary","2350 Route 97","Cooksville","21723","2","59.07","R29","15","ROUTE 32 AT DAY RD",,"RR-DEO","(39.3504, -76.959)"
"Shipley's Choice","2010-02-16T00:00:00.000","2010-03-11T00:00:00.000","1899-12-31T19:00:00","St. James United Methodist Church","12470 Old Frederick Road","Marriottsville","21104","5","31.456","R20","10","S SIDE OLD FREDERICK RD OPPOSITE WOODFORD DR","[TaxMap 10 Parcel 15],[TaxMap 9 Parcel 15]","RR-DEO","(39.3196, -76.9358)"
"Lacey Property","2015-06-18T00:00:00.000","2015-07-13T00:00:00.000","1899-12-31T18:00:00","George Howard Bldg (Columbia/Ellicott City Rm)","3430 Court House Drive","Ellicott City","21043","13","8.5","R06","16","CHURCH RD AT PARK DR","[TaxMap 25 Parcel 13]","R-ED","(39.2744, -76.7998)"
"Bethel Ministries, Inc.","2012-09-04T00:00:00.000","2012-09-27T00:00:00.000","6:00 p.m.","Carroll Baldwin Hall","9035  Baltimore Street","Savage","20763",,,"C06","13","LINCOLN ST AT SAVAGE-GUILFORD RD","[TaxMap 47 Parcel 537],[TaxMap 47 Parcel 725],[TaxMap 47 Parcel 768]","R-12,R-SA-8","(39.1401, -76.8231)"
"Michael Do Residence","2016-07-08T00:00:00.000","2016-08-03T00:00:00.000","7:00 p.m.","Miller Library Patapsco Room","9421 Frederick Road","Ellicott City","21042",,,"C03","17","BALTIMORE NATIONAL PIKE","[TaxMap 24 Parcel 544]","R-20","(39.2791, -76.8655)"
"Allview Property, Resub of Lot 4","2008-01-22T00:00:00.000","2008-03-05T00:00:00.000","6:30 p.m.","East Columbia Library","6600 Cradlerock Way","Columbia","21045","3","1.708","R48","8",,"[TaxMap 36 Parcel 432]","R-20","(39.1979, -76.8602)"
"SK Properties, Ltd. AgeRestrictedHousing(COND USE)","2008-09-19T00:00:00.000","2008-10-11T00:00:00.000","1899-12-31T13:00:00","Savage Public Library","9525 Durness Lane","Laurel","20723",,,"C11","9","EAST OF JONES ROAD, SOUTH OF MARY LANE","[TaxMap 42 Parcel 143]","R-12","(39.1508, -76.8122)"
"Jack Azat","2010-09-01T00:00:00.000","2010-10-12T00:00:00.000","1899-12-31T06:00:00","Glenwwood Library","2350  State Route 97","Cooksville","21723",,,"C03","11","NW CORNER OF FREDERICK ROAD AND WATERSVILLE ROAD","[TaxMap 7 Parcel 532]","RC-DEO","(39.3438, -77.0973)"
"Quartz Hill II","2012-04-17T00:00:00.000","2012-05-14T00:00:00.000","1899-12-31T18:00:00","Gary J. Arthur Community Center at Glenwood","2400  Route 97","Cooksville","21723","4","35.2","R34","12","W SIDE MD RT 97 N OF OLD FREDERICK RD","[TaxMap 8 Parcel 401]","RC-DEO","(39.3382, -77.0174)"
"Pindell Woods,LLC(COND USE)  2 Fam Dwell. In  R-12","2006-11-08T00:00:00.000","2006-12-02T00:00:00.000","1899-12-31T10:00:00","Howard County Library (Elkridge Branch)","6540 Washington Blvd.","Elkridge","21075",,,,,"OLD WASHINGTON RD 200' SOUTH OF MONTGOMERY RD","[TaxMap 38 Parcel 106]","R-12","(39.2057, -76.7273)"
"Oak Ridge Farm and Nursery LLC","2014-02-19T00:00:00.000","2014-03-20T00:00:00.000","6:00 p.m.","Lisbon Volunteer Fire Company","1330  Woodbine Road","Lisbon","21797",,,"C20","14",,"[TaxMap 13 Parcel 346]","RC","(39.3097, -77.1139)"
"Bethany Glen","2016-06-07T00:00:00.000","2016-06-30T00:00:00.000","6:00 P.M.","Marriotts Ridge High School - Auditorium","12100 Woodford Drive","Marriottsville","21104","260","60.14","C17","16","POSTWICK RD","[TaxMap 17 Parcel 34]","R-20","(39.2935, -76.8491)"
"Owen Brown Interfaith Center","2014-01-27T00:00:00.000","2014-02-20T00:00:00.000","1899-12-31T18:00:00","East Columbia Branch Library","6600  Cradlerock Way","Columbia","21045","0","2.192","N04","14","N SIDE OF CRADLEROCK WAY","[TaxMap 36 Parcel 427]","NT","(39.1872, -76.8452)"
"Lubavitch of Ho Co, Inc-COND USE(Age Res. Housing)","2008-08-25T00:00:00.000","2008-09-18T00:00:00.000","1899-12-31T19:00:00","Lubavitch of Howard County , Inc.","770 Howes Lane","Columbia","21044",,,"C09","9","EAST OF RODONA DRIVE AT ITS INTERSECTION WITH HOWES LANE","[TaxMap 36 Parcel 88]","R-20","(39.2011, -76.8628)"
"Howard County Medical Research Park Parcel C-4","2011-10-04T00:00:00.000","2011-10-25T00:00:00.000","1899-12-31T19:00:00","Hollifield Station Elementary School","8701 Stonehouse Dr","Ellicott City","21043","127","14.03","R13","12","INTERSECTION OF N RIDGE RD & TOWN & COUNTRY BLVD","[TaxMap 17 Parcel 666]","POR","(39.2881, -76.8233)"
"Patuxent Overlook","2012-12-06T00:00:00.000","2013-01-08T00:00:00.000","1899-12-31T18:00:00","North Laurel Community Center","9411 Whiskey Bottom Road","Laurel","20723","8","4.8","R29","13","BALTIMORE AVE AT RT 216","[TaxMap 50 Parcel 257]","R-SC","(39.1107, -76.8523)"
"H & G Properties - Workforce Housing","2008-01-04T00:00:00.000","2008-01-31T00:00:00.000","1899-12-31T18:00:00","St. Augustine (School)","5990 Old Washington Blvd.","Elkridge","21075","28","5","R45","8","SW SIDE FURNACE AVE N OF RACE RD","[TaxMap 38 Parcel 429]","CAC-CLI","(39.2122, -76.7053)"
"Harwood Park","2007-11-07T00:00:00.000","2007-12-05T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6540 Washington Boulevard","Elkridge","21075","6","0.61","R35","8","NE SIDE LOUDON AVE N OF HIGHLAND AVE","[TaxMap 38 Parcel 873],[TaxMap 38 Parcel 994]","CE-CLI,R-12","(39.1968, -76.7378)"
"Kings Arms  Sec 6","2015-07-29T00:00:00.000","2015-08-24T00:00:00.000","1899-12-31T18:00:00","North Laurel Community Center","9411 Whiskey Bottom Road","Laurel","20723","6","1.37","R17","16","NE SIDE OF WHISKEY BOTTOM RD OPPOSITE OLD LANTERN WAY","[TaxMap 47 Parcel 174]","R-SC","(39.1225, -76.8395)"
"Maple Grove","2016-02-23T00:00:00.000","2016-03-23T00:00:00.000","6:00 p.m.","Miller Branch Library","9421 Frederick Road","Ellicott City","21042",,,"M04","16","TERMINUS OF UPTON RD","[TaxMap 24 Parcel 1190],[TaxMap 24 Parcel 40],[TaxMap 24 Parcel 41],[TaxMap 24 Parcel 455],[TaxMap 24 Parcel 81]","POR,R-12,R-20","(39.2784, -76.8237)"
"Gorman Crossing LLC (ZONING CHANGE) PSC to RSA-8","2008-06-25T00:00:00.000","2008-07-21T00:00:00.000","7:00 p.m.","Savage Library","9525 Durness Lane","Laurel","20723",,,"M10","8","N SIDE GORMAN RD W OF HORSHAM DR","[TaxMap 47 Parcel 492],[TaxMap 47 Parcel 743]","R-SA-8","(39.1341, -76.8347)"
"MT AIRY PAVING","2017-03-23T00:00:00.000","2017-04-24T00:00:00.000","6:00 P.M.","River Hill Community Center","6330 Trotter Road","Clarksville","21029",,,"M02","17","HALL SHOP RD N SIMPSON RD","[TaxMap 41 Parcel 254]","RR-DEO","(39.1819, -76.9327)"
"Yale Presbyterian Church","2012-03-19T00:00:00.000","2012-04-18T00:00:00.000","6:30 p.m.","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042",,,"C08","12","MONTGOMERY ROAD","[TaxMap 31 Parcel 294],[TaxMap 31 Parcel 310]","R-20","(39.2372, -76.8014)"
"HH Land, LLC","2009-03-31T00:00:00.000","2009-05-08T00:00:00.000","1899-12-31T06:00:00","Elkridge Branch Library ","6540 Washington Blvd","Elkridge","21075",,,"M06","9","NE SIDE LOUDON AVE N OF HIGHLAND AVE","[TaxMap 38 Parcel 873],[TaxMap 38 Parcel 994]","CE-CLI,R-12","(39.1968, -76.7378)"
"Patmos Lodge No. 70","2011-09-15T00:00:00.000","2011-10-11T00:00:00.000","1899-12-31T18:00:00","Fifth District Volunteer Fire Department","5000 Signal Bell Lane, Rm 215","Clarksville","21029",,,"C05","12","RT 108 WEST OF CENTENNIAL LN","[TaxMap 29 Parcel 106]","R-20","(39.2352, -76.8731)"
"T-Mobile Communications Northeast LLC","2011-03-30T00:00:00.000","2011-05-04T00:00:00.000","1899-12-31T19:00:00","Howard County Library Glenwood Branch","2350 SR 97","Cooksville","21738",,,"C18","11","NW OF FOX VALLEY DR","[TaxMap 15 Parcel 117]","RC-DEO","(39.2912, -76.9766)"
"Redmiles Services, Amend. Preliminary Devel. Plan","2007-09-07T00:00:00.000","2007-10-11T00:00:00.000","1899-12-31T18:30:00","Lisbon Volunteer Fire Department","1330 Woodbine Road","Woodbine","21797",,,"M02","8","S SIDE OF OLD FREDERICK RD OPP. W  WATERSVILLE RD","[TaxMap 2 Parcel 111]","BR","(39.3545, -77.1257)"
"Muth Property","2009-07-06T00:00:00.000","2009-07-27T00:00:00.000","1899-12-31T19:00:00","St. Louis Catholic Church-Rooms 302 & 303","12500 Clarksville Pike","Clarksville","21029","5","26","R01","10","SOUTH OF TRIADELPHIA MILL ROAD","[TaxMap 34 Parcel 176]",,"(39.2127, -76.9679)"
"Lisbon Volunteer Fire Company","2017-02-01T00:00:00.000","2017-02-23T00:00:00.000","1899-12-31T18:00:00","Lisbon Volunteer Fire Company","1330 Woodbine Road","Lisbon","21765","0","8.23","N11","17","NW QUADRANT FREDERICK RD (RT 144) & WOODBINE RD (RT 94)","[TaxMap 7 Parcel 488]","RC-DEO","(39.3375, -77.074)"
"10085 Guilford Road","2010-04-12T00:00:00.000","2010-05-05T00:00:00.000","1899-12-31T18:00:00","Howard County Library","6600  Cradlerock Way","Columbia","21045","2","0.8","C15","10","NORTHEAST OF GUILFORD ROAD ABOUT 100' SOUTH OF VOLLMERHAUSEN ROAD","[TaxMap 47 Parcel 664]","R-12","(39.1493, -76.8154)"
"MILLARD TAYLOR PROPERTY","2014-06-16T00:00:00.000","2014-07-08T00:00:00.000","1899-12-31T18:00:00","LISBON VOLUNTEER FIRE CO.","1330 WOODBINE ROAD","LISBON","21797","2","6.68","R01","15","HOODS MILL RD","[TaxMap 8 Parcel 221]","RC-DEO","(39.3381, -77.0116)"
"Lufti Property","2017-07-12T00:00:00.000","2017-08-10T00:00:00.000","1899-12-31T18:00:00","Fifth District Volunteer Fire Dept","5000 Signal Bell Lane","Clarksville","21029","5","1.56","R02","18","E SIDE GUILFORD RD S OF ERIN DR","[TaxMap 35 Parcel 56]","R-12","(39.1957, -76.9357)"
"Pratt Property","2007-07-23T00:00:00.000","2007-08-30T00:00:00.000","1899-12-31T19:00:00","Miller Library","9421 Frederick Road","Ellicott City","21042","3","1.43","R10","8","EAST SIDE OF CENTENNIAL LANE 600' S OF MAXINE ST","[TaxMap 30 Parcel 7]","R-20","(39.2442, -76.8667)"
"Reinhardt Property","2009-05-08T00:00:00.000","2009-06-03T00:00:00.000","6:00pm","Mt. Airy Library","705  Ridge Ave","Mt. Airy","21771","1","1","R37","9","S SIDE PENN SHOP RD W OF BENNETT RD","[TaxMap 6 Parcel 124]","RC-DEO","(39.3433, -77.1646)"
"Cherrytree Park","2014-08-06T00:00:00.000","2014-09-04T00:00:00.000","1899-12-31T18:00:00","Cherrytree Park Community Center","8430 Ice Crystal Drive","Scaggsville","20723","160","7.99","R11","15","SE QUADRANT US RT 29 & MD RT 216","[TaxMap 46 Parcel 156]","POR-MXD-6","(39.1416, -76.902)"
"Norris Property","2016-01-20T00:00:00.000","2016-03-01T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6540 Washington Blvd.","Elkridge","21075","2","1.03","R44","16","MONTGOMERY RD E OF BRANDONS WAY","[TaxMap 37 Parcel 40]","R-20","(39.214, -76.7734)"
"Cedar Village, Lots 1 thru 4, 109 and Open Space Lots 5 & 6","2009-05-04T00:00:00.000","2009-05-28T00:00:00.000","6:00 p.m.","Columbia Presbyterian Church","10001 Clarksville Pike","Columbia","21044","5","2","R34","9","S SIDE OF CLARKSVILLE PK 400' E OF CEDAR LN","[TaxMap 29 Parcel 30],[TaxMap 29 Parcel 348]","R-SC","(39.2341, -76.8892)"
