"fiscal_year","request","dp_department","dv_division","bb_dp_dept","department_name","bb_sa_sort","service_area","or_org_number","org_number_and_name","fd_fund_number","fund_fund_numer","fund_number","fund_name","fund_number_and_name","fund_fund_number_and_name","pj_project","project_name","pg_program_number","program_number_and_name","order_account_category","category_name","expenditure_type","rev_or_exp","acct_number_and_name","ac_account_number","value"
"2015-2016","Existing","DP1000 - Police Department","DV1060 - Bureau of Administration","DP13 - Police Department","Police Department","DV1300","Office of the Chief of Police","OR_106510","106510 - Budget Accounting","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51212 - Civilian: Other Overtime","AC_51212","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1060 - Bureau of Administration","DP13 - Police Department","Police Department","DV1300","Office of the Chief of Police","OR_106510","106510 - Budget Accounting","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51221 - Civilian: Court Overtime","AC_51221","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1060 - Bureau of Administration","DP13 - Police Department","Police Department","DV1300","Office of the Chief of Police","OR_106510","106510 - Budget Accounting","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS11","PS11 - PATROL AREA 1","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51214 - Sworn: Overtime","AC_51214","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1060 - Bureau of Administration","DP13 - Police Department","Police Department","DV1303","Bureau of Services","OR_106410","106410 - Police Information Tech","FD_2411","Fund 2411","2411","False Alarm Reduction Program","2411 - False Alarm Reduction Program","Fund 2411 - False Alarm Reduction Program","PJ_1000783","1000783 - FALSE ALARM REDUCTION","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51213 - Sworn: Holiday Overtime","AC_51213","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107710","107710 - Special Operations","FD_2112","Fund 2112","2112","Department of Justice","2112 - Department of Justice","Fund 2112 - Department of Justice","PJ_1000756","1000756 - FY2014 DNA BACKLOG GRANT","PG_PS13","PS13 - SPECIAL OPERATIONS","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51214 - Sworn: Overtime","AC_51214","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108110","108110 - District Area 1","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1001183","1001183 - 175TH POLICE ACADEMY","PG_PS11","PS11 - PATROL AREA 1","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51214 - Sworn: Overtime","AC_51214","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_108150","108150 - District Area 5","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000761","1000761 - 2014 COPS HIRING PROGRAM","PG_PS11","PS11 - PATROL AREA 1","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51512 - Sworn: Paid Leave Charge","AC_51512","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_108150","108150 - District Area 5","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_PS11","PS11 - PATROL AREA 1","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","0.01"
"2015-2016","Existing","DP200 - Fire Department","DV202 - Fire: Support Services","DP14 - Fire Department","Fire Department","DV1405","Medical Services, Communication & Information Technology","OR_20241","20241 - Fire Communications","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000009","1000009 - DP200 Administrative Project","PG_PS20","PS20 - DISPATCH COMMUNICATIONS","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51413 - Standby Pay","AC_51413","0.01"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30232","30232 - Construction Mgmt and Material Testing","FD_7760","Fund 7760","7760","Grant Clearing","7760 - Grant Clearing","Fund 7760 - Grant Clearing","PJ_1000689","1000689 - PWA DESIGN - ADMINSTRATION","PG_IN06","IN06 - PROJECT DELIVERY","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51211 - Civilian: Holiday Overtime","AC_51211","0.01"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30689","30689 - Environmental Services: Energy Group","FD_4450","Fund 4450","4450","City Facilities Energy Conservation Projects","4450 - City Facilities Energy Conservation Projects","Fund 4450 - City Facilities Energy Conservation Projects","PJ_1000010","1000010 - DP300 Administrative Project","PG_SC26","SC26 - SUSTAINABLE OAKLAND PROGRAM","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58521 - Overhead: Departmental Cost Allocation","AC_58521","0.01"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2106","Parks, Grounds & Medians Maintenance","OR_30652","30652 - Landscape Maintenance","FD_1720","Fund 1720","1720","Comprehensive Clean-up","1720 - Comprehensive Clean-up","Fund 1720 - Comprehensive Clean-up","PJ_1000010","1000010 - DP300 Administrative Project","PG_NB07","NB07 - GROUNDS","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51221 - Civilian: Court Overtime","AC_51221","0.01"
"2015-2016","Existing","DP750 - Human Services Department","DV782 - Youth Services","DP17 - Human Services","Human Services","DV1704","Early Childhood & Family Services","OR_78235","78235 - HS Central Office Administration","FD_2128","Fund 2128","2128","Department of Health and Human Services","2128 - Department of Health and Human Services","Fund 2128 - Department of Health and Human Services","PJ_1000017","1000017 - DP780 Administrative Project","PG_YS13","YS13 - STRENGTHENING CHILDREN, YOUTH & FAMILIES","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1010 - Office of the Chief of Police","DP13 - Police Department","Police Department","DV1300","Office of the Chief of Police","OR_101130","101130 - Office of the Inspector General","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS11","PS11 - PATROL AREA 1","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51222 - Sworn: Court Overtime","AC_51222","0.02"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102340","102340 - Property/Theft","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS03","PS03 - CRIMINAL INVESTIGATIONS","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51132 - Sworn: Modified Duty Worked","AC_51132","0.02"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107710","107710 - Special Operations","FD_2159","Fund 2159","2159","State of California Other","2159 - State of California Other","Fund 2159 - State of California Other","PJ_1001232","1001232 - ABC 15-16 GRANT ASSISTANCE PROGRAM","PG_PS13","PS13 - SPECIAL OPERATIONS","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","0.02"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108130","108130 - District Area 3","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000760","1000760 - 2013 COPS HIRING PROGRAM","PG_CONV","PG_CONV","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","0.02"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30523","30523 - Electrical Services: Traffic Maintenance","FD_2230","Fund 2230","2230","State Gas Tax","2230 - State Gas Tax","Fund 2230 - State Gas Tax","PJ_1000010","1000010 - DP300 Administrative Project","PG_NB40","NB40 - TRAFFIC SIGNS AND MARKINGS MANAGEMENT & MAINT","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51221 - Civilian: Court Overtime","AC_51221","0.02"
"2015-2016","Existing","DP750 - Human Services Department","DV783 - Policy and Planning","DP17 - Human Services","Human Services","DV1705","Policy & Planning","OR_78362","78362 - CSBG - Programs","FD_2128","Fund 2128","2128","Department of Health and Human Services","2128 - Department of Health and Human Services","Fund 2128 - Department of Health and Human Services","PJ_1000411","1000411 - CAP CSBG 2016","PG_CONV","PG_CONV","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58521 - Overhead: Departmental Cost Allocation","AC_58521","0.02"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102340","102340 - Property/Theft","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS03","PS03 - CRIMINAL INVESTIGATIONS","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","0.03"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107710","107710 - Special Operations","FD_2159","Fund 2159","2159","State of California Other","2159 - State of California Other","Fund 2159 - State of California Other","PJ_1001232","1001232 - ABC 15-16 GRANT ASSISTANCE PROGRAM","PG_PS13","PS13 - SPECIAL OPERATIONS","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51213 - Sworn: Holiday Overtime","AC_51213","0.03"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108010","108010 - District Command Administration","FD_2159","Fund 2159","2159","State of California Other","2159 - State of California Other","Fund 2159 - State of California Other","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51214 - Sworn: Overtime","AC_51214","0.03"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108120","108120 - District Area 2","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS11","PS11 - PATROL AREA 1","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51221 - Civilian: Court Overtime","AC_51221","0.03"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30248","30248 - Pavement Management","FD_2231","Fund 2231","2231","State Gas Tax-Prop 42 Replacement Funds","2231 - State Gas Tax-Prop 42 Replacement Funds","Fund 2231 - State Gas Tax-Prop 42 Replacement Funds","PJ_1000830","1000830 - CITYWIDE STREET RESURF-2231","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","0.03"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2107","Sanitary Sewer Management & Maintenance ","OR_30533","30533 - Infrastructure Maint: Sewer System","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN13","IN13 - SANITARY SEWER MANAGEMENT & MAINT","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51221 - Civilian: Court Overtime","AC_51221","0.04"
"2015-2016","Existing","DP750 - Human Services Department","DV784 - Community Housing Services","DP17 - Human Services","Human Services","DV1703","Community Housing Services","OR_78411","78411 - Community Housing Services","FD_2103","Fund 2103","2103","HUD-ESG/SHP/HOPWA","2103 - HUD-ESG/SHP/HOPWA","Fund 2103 - HUD-ESG/SHP/HOPWA","PJ_1001136","1001136 - SHP OHYHC 2013","PG_SC22","SC22 - FOSTERING SAFE AND HEALTHY COMMUNITIES","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","0.04"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102510","102510 - Assault","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS03","PS03 - CRIMINAL INVESTIGATIONS","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51111 - Civilian: Regular","AC_51111","0.05"
