"organization_city_agency","street_address_mailing_address","city","state","postcode","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","special_populations_served","boroughs_served","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"NYC Health + Hospitals - Gouverneur","227 Madison Street","New York","NY","10002","2019","56","13","42","1","Hospital","Health and medicine","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), our mission is to ensure our community has access to high-quality healthcare, regardless of ability to pay or immigrant status","MN","MANHATTAN","40.712784","-73.988417","103","1","6","1003224","1002700032","Lower East Side"
"NYC Health + Hospitals - Harlem","506 Lenox Avenue","New York","NY","10037","2019","114","4","91","19","Hospital","Health and medicine","Low-income populations, Older adults (60 or older)","MN","MANHATTAN","40.814358","-73.940659","110","9","212","1053899","1017330001","Central Harlem North-Polo Grounds"
"NYC Health + Hospitals - Henry J. Carter Specialty Hospital & Nursing Facility","1752 Park Avenue","New York","NY","10035","2019","169","64","113","5","Hospital","Health and medicine","All populations","MN","MANHATTAN","40.802937","-73.940586","111","9","198","1088883","1017470070","East Harlem North"
"NYC Health + Hospitals - Jacobi","1400 Pelham Pkwy South","The Bronx","NY","10461","2019","502","6","478","18","Hospital","Health and medicine","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BX","BRONX","40.857427","-73.847079","211","13","296","2097550","2042050001","Pelham Parkway"
"NYC Health + Hospitals - Kings County Volunteer Services","451 Clarkson Avenue","Brooklyn","NY","11203","2019","551","88","444","19","Hospital","Health and medicine","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK","BROOKLYN","40.655762","-73.94458","309","40","808","3327711","3048290001","Prospect Lefferts Gardens-Wingate"
"NYC Health + Hospitals - Lincoln","234 E. 149th St","The Bronx","NY","10451","2019","136","10","99","27","Hospital","Children and youth related, Emergency management and disaster response, Employment and workforce development, Health and medicine, LGBTQIA+, People with disabilities, Senior Services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities","BX","BRONX","40.81774","-73.924156","201","17","65","2097050","2023350016","Melrose South-Mott Haven North"
"NYC Health + Hospitals - Metropolitan","1901 First Avenue, Room 4M13","New York","NY","10029","2019","297","80","189","28","Hospital","Children and youth related, Emergency management and disaster response, Health and medicine, LGBTQIA+, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN","MANHATTAN","40.784557","-73.94378","111","8","15602","1083929","1016690001","East Harlem South"
"NYC Health + Hospitals - North Central Bronx","3424 Kossuth Avenue, Suite 3H-16","The Bronx","NY","10467","2019","313","12","274","27","Hospital","Health and medicine","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BX","BRONX","40.880462","-73.88164","207","11","421","2017787","2033270200","Norwood"
"NYC Health + Hospitals - Queens","82-68 164th. Street","Jamaica","NY","11432","2019","332","90","270","33","Hospital","Advocacy and organizing, Children and youth related, Health and medicine, Human services, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","QN","QUEENS","40.71725","-73.803433","408","24","1267","4442431","4068580001","Pomonok-Flushing Heights-Hillcrest"
"NYC Health + Hospitals - Sea View","460 Brielle Avenue","Staten Island","NY","10314","2019","10","0","0","0","Nursing Home","Health and medicine","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","SI","STATEN IS","40.593798","-74.135437","502","50","181","5141697","5009550100","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"NYC Health + Hospitals - Woodhull","760 BROADWAY","Brooklyn","NY","11206","2019","150","18","119","13","Hospital","Health and medicine, Human services, LGBTQIA+, People with disabilities","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK","BROOKLYN","40.700528","-73.941604","303","36","28501","3048341","3017230001","Bushwick South"
"NYC Mayor's Office - Community Affairs Unit","253 Broadway, 4th floor","New York","NY","10007","2019","200","0","0","0","City agency","Animals, Civic engagement (voting, voter registration), Emergency management and disaster response, Faith-based, Human services","CAU serves all NYC communities","All Boroughs","MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"NYC Mayor's Office of Climate Policy and Programs","253 Broadway","New York","NY","10007","2019","60","0","0","0","City agency","Environment and sustainability","None","All Boroughs","MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"NYC Mayor's Office of Workforce Development","253 Broadway, 8th Floor","New York","NY","10007","2019","30","0","25","5","City agency","Employment and workforce development","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Military/ veteran families, People with disabilities, Women, Youth (17 or under), NYCHA residents","All Boroughs","MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"NYC Parks","830 Fifth Ave","New York","NY","10065","2019","72,553","0","0","0","City agency","Children and youth related, Environment and sustainability, Recreation and Mental Health","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.767711","-73.970516","164","6","143","1083811","1011110001","park-cemetery-etc-Manhattan"
"NYC Parks - Forest & Highland Park Administration","Oak Ridge / One Forest Park","Woodhaven","NY","11421","2019","1484","474","1000","18","City agency","Arts and culture, Children and youth related, Environment and sustainability, Recreation","families","QN","QUEENS","40.702513","-73.852566","482","30","64102","4000000","4039071125","park-cemetery-etc-Queens"
"NYC Parks - Shape Up NYC","1234 5th Avenue, Room 525","New York","NY","10029","2019","197","0","0","0","City agency","Health and medicine, Fitness","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","All Boroughs","MANHATTAN","40.793292","-73.951826","111","8","168","1051499","1016100001","East Harlem South"
"NYC Sanitation - Foundation for NY's Strongest","125 Worth Street, Room 722","New York","NY","10013","2019","1500","0","2000","0","City agency, Community-based organization","Environment and sustainability","None","All Boroughs","MANHATTAN","40.715428","-74.002673","101","1","31","1001831","1001680032","SoHo-TriBeCa-Civic Center-Little Italy"
"NYC Service - NYC Youth Leadership Councils","253 Broadway, 8th Floor","New York","NY","10007","2019","1503","887","616","0","City agency","Civic engagement (voting, voter registration)","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"NYC Urban Debate League","25 Broadway, 12th Floor","New York","NY","10004","2019","1246","78","42","1","Non-profit organization","Education and literacy","Youth (17 or under)","All Boroughs","MANHATTAN","40.705752","-74.013374","101","1","13","1000045","1000130027","Battery Park City-Lower Manhattan"
"NYPD Auxiliary Program","120-55 Queens Blvd","Kew Gardens","NY","11424","2019","4200","16","3626","558","City agency","Police Department","NYC Police Department","All Boroughs","QUEENS","40.713329","-73.828601","409","29","216","4052812","4022740002","Kew Gardens"
"NYU Langone Health - Main Campus","545 1st Ave, SC2- 071","New York","NY","10016","2019","541","35","411","74","Hospital","Health and medicine","LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN","MANHATTAN","40.742233","-73.974659","106","2","70","1020760","1009360037","Murray Hill-Kips Bay"
"NYU Langone Hospital - Brooklyn","150 55th Street","Brooklyn","NY","11220","2019","476","44","411","21","Hospital","Children and youth related, Health and medicine, People with disabilities","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), children/infants","BK","BROOKLYN","40.646941","-74.02093","307","38","22","3014856","3008280001","Sunset Park West"
"Only Make Believe","121 West 27th Street, Ste 1002","New York","NY","10001","2019","2284","0","0","0","Non-Profit Organization","Arts and culture, Children and youth related, Health and medicine","Youth (17 or under)","All Boroughs","MANHATTAN","40.745831","-73.991916","105","3","95","1015067","1008030021","Midtown-Midtown South"
"Out My Closet, Inc.","8128 248 Street","Bellerose","NY","11426","2019","20","0","20","0","Community-based organization","Advocacy and organizing, Children and youth related, Homeless and shelter, LGBTQIA+","LGBTQIA+, Low-income populations, Youth (17 or under)","BK, MN, BX, QN","QUEENS","40.739999","-73.721118","413","23","157101","4174659","4085700018","Bellerose"
"Pace University","1 Pace Plaza, room Y31","New York","NY","10007","2019","427","0","382","36","College and/or university","Advocacy and organizing, Civic engagement (voting, voter registration), Education and literacy","LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, UG, Graduate - age Youth","All Boroughs","MANHATTAN","40.711909","-74.005843","101","1","1501","1001357","1001020001","Battery Park City-Lower Manhattan"
