"fiscal_year_2","source_2","council_member_2","legal_name_2","ein_2","status_2","amount_2","agency_2","program_name_2","street_address_1_2","street_address_2_2","zip_code_2","purpose_of_funds_2","fiscal_conduit_name_2","fc_ein_2","location_1_2","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2012","Local","Foster","Samaritan Village, Inc.","112635374-","Cleared","5500.00","DOHMH",,"138-02 Queens Boulevard",,"11435","Samaritan Village is requesting 6,000 to help support our Annual Community Health Fair that promotes health and wellness in the Highbridge neighborhood. Samaritan partners with local health providers to offer information on heart disease, HIV/AIDS, stroke prevention, drug and alcohol treatment, etc., as well as health screenings for diabetes, high blood pressure, etc. A youth component includes a carnival with, face painting, arts and crafts activities, magician and clown performances and a vibrant community basketball tournament. Free refreshments provided.",,,"138-02 Queens Boulevard
Briarwood, NY 11435
(40.70828183475908, -73.81825619660674)","QUEENS   ","40.708675","-73.8185","8","24","214","4206508","4096480001","Briarwood-Jamaica Hills                                                    "
"2011","Local","Greenfield","Brooklyn Chinese-American Association, Inc.","11-3065859","Cleared","1500.00","DFTA",,"5002 8th Avenue",,"11220","To enhance the educational and recreational programs for Asian-American seniors at our Sunset Park Asian Senior Center, as well as support the center's daily operations.",,,"5002 8th Avenue
Brooklyn, NY 11220
(40.64100355374717, -74.00385827701365)","BROOKLYN ","40.641028","-74.003816","7","38","108","3013418","3007940039","Sunset Park East                                                           "
"2012","Local","Koo","Flushing Town Hall","112652182-","Cleared","9286.00","DCA",,"137-35 Northern Boulevard",,"11354-4120","Funds are requested to support year-round cultural services and arts programs during the 2011-12 season at Flushing Town Hall for students, seniors, families and the general public, including free holiday community events such as the Lunar New Year Celebration. In the FY11 Executive Budget, Flushing Council on Culture and the Arts Ã¢â¬â Flushing Town Hall was slated to receive 519,300.  The FY12 Preliminary Budget allocates 266,291 for FCCA, a decrease of 253,009 or 49.  Flushing Council on Culture and the Arts supports the CIG restoration of 35.4 million.",,,"137-35 Northern Boulevard
Flushing, NY 11354-4120
(40.76360812600166, -73.83004630841083)",,,,,,,,,
"2012","Local","Greenfield","Mekimi","550870419-","Cleared","5000.00","DYCD",,"1274 49th Street Suite 297",,"11219","The purpose of these funds will be used to provide a medically supervised weekend retreat for sick children and their families.  The weekend will take place in a resort setting and provide emotional healing to patients and families. In addition, the funds will be used to provide educational services for patients such as professional tutors to go to the home or hospital providing tutorial sessions for patients who are missing school because of their illness.  We will also offer mentorial services, thereby fostering a healthy self image.  Mekimi also provides educational DVDs on a variety of topics, thus make learning exciting and intriguing. Both DVDs and DVD players are loaned to patients. In addition, we will use the funds to provide volunteer training classes and seminars which consists of teaching the volunteer, how to be sensitive to the sick child, deal with HEPA regulations, how to feed and give out medications to the sick child, and etc.. This coming year, we plan to further enhance and expand our program to meet the needs of additional patients and their families.  It plans to establish larger office accommodations, and to meet the human service needs of the patients and families it serves.",,,"1274 49th Street Suite 297
Brooklyn, NY 11219
(40.63532800352996, -73.99274432592841)","BROOKLYN ","40.635445","-73.992834","12","44","220","3137725","3056410037","Borough Park                                                               "
"2012","Local","Fidler","Bergen Basin Community Development Corporation d/b/a Millennium Development","113199040-","Cleared","150000.00","DFTA",,"2331 Bergen Avenue",,"11234","Funding will allow our organization to maintain sponsorship services to the 26 satellite sites that meet throughout southern Brooklyn. ",,,"2331 Bergen Avenue
Brooklyn, NY 11234
(40.61848199699915, -73.8995584833215)","BROOKLYN ","40.618438","-73.899564","18","46","706","3346314","3084701350","Georgetown-Marine Park-Bergen Beach-Mill Basin                             "
"2012","Aging","Lander","Services and Advocacy for GLBT Elders, Inc. (SAGE)","132947657-","Cleared","3500.00","DFTA",,"305 7th Ave","15th Floor","10001","On behalf of the board, staff, clients, members, and volunteers of Services and Advocacy for GLBT Elders (SAGE), I am writing to request 5,000 in member item funding for FY11-12.
 
As with funds provided by other New York City Council members, your grant will support essential SAGE programs and services in your district and citywide. Two-thirds of our clients are low income or poor, with annual incomes of 20,000 or less. Because SAGE offers most of our programs and services for free, we incur significant overhead in delivering these services, including rent, utilities, and other-than-personnel expenses. Member item support is particularly useful in helping us meet these expenses, many of which are not covered by private sources such as foundation grants.
 
SAGE is the nationâs oldest and largest non-profit organization providing direct services and advocacy for lesbian, gay, bisexual, and transgender older adults.  Since 1978, SAGE has pioneered social services, congregate services, and community building programs that tangibly improve the quality of life for LGBT older people in New York City. Likewise, our education and advocacy programs have raised visibility and awareness of LGBT aging concerns among mainstream providers, thus making key services more accessible for an underserved population that has endured a lifetime of discrimination. 

SAGE offers the most comprehensive slate of direct services for LGBT older adults in New York City, and our constituents in every district in the city.

We hope you will consider joining your fellow New York City Council members by generously supporting SAGE through member item funding in FY11-12.  Your support is vital in helping us fulfill our mission of ensuring that the marginalized and disenfranchised older adults in New York Cityâs LGBT community will age with dignity and respect.  Thank you for your consideration.",,,"305 7th Ave
New York, NY 10001
(40.74679080405372, -73.99364197876082)","MANHATTAN","40.746817","-73.993655","5","3","95","1015060","1008037502","Midtown-Midtown South                                                      "
"2010","Transportation - Operating Costs",,"New York Foundation for Senior Citizens, Inc.","13-2618568  ","Pending","6100.48","DFTA","Transportation  ","11 Park Place, Suite 1416",,"10007","Senior Center transportation costs",,,"11 Park Place, Suite 1416
New York, NY 10007
(40.712843106148206, -74.00821582795537)","MANHATTAN","40.712828","-74.008296","1","1","21","1001399","1001240004","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"2011","Local","Comrie","Redeemed Outreach Ministries and Publications International, Inc.","11-3335514","Pending","5000.00","DYCD",,"244-23 137th Avenue ",,"11422","Free liturgical dance and theater classes for children of survivors of domestic violence.",,,"244-23 137th Avenue
Rosedale, NY 11422
(40.66819905191318, -73.7318043699301)","QUEENS   ","40.668392","-73.732448","13","31","638","4315061","4132430087","Rosedale                                                                   "
"2012","Youth","Lappin","Children's Aid Society, The","135562191-","Cleared","25000.00","DYCD",,"350 East 88 Street",,"10128","Proposed FY 2012 funding from the City Council would be used for salaries of the part-time staff members who work with participants including the Teen Program Coordinator, 4 group leaders, 4 group workers, and art and cooking specialists.  Most staff members are Deaf, and all are fluent in American Sign Language and experienced working with special needs youngsters.",,,"350 East 88 Street
New York, NY 10128
(40.77841995982419, -73.94907157898871)","MANHATTAN","40.778667","-73.949598","8","5","14602","1050055","1015500031","Yorkville                                                                  "
"2010","CASA","Mealy","Brooklyn Arts Council, Inc.","23-7072915","Pending","20000.00","DCA","Public School 40K","55 Washington Street","265 Ralph Avenue, Brooklyn, NY 11233","11201",,,,"55 Washington Street
Brooklyn, NY 11201
(40.702688366154774, -73.98957290186571)","BROOKLYN ","40.70273","-73.989602","2","33","21","3000088","3000380001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2011","Local","Dickens","Frederick E. Samuel Resident Association","37-1582188","Cleared","5000.00","MISC",,"103-05 West 143rd Street",,"10030","To provide lunch and guest speaker for Summer Health Series for Seniors on Aging and Safety and Mental Health Services.",,,"103-05 West 143rd Street
New York, NY 10030
(40.820323999187096, -73.93984496081451)","MANHATTAN","40.819258","-73.937432","10","9","232","1085367","1020120025","Central Harlem North-Polo Grounds                                          "
"2012","Local","Dickens","Harlem Mother's Stop Another Violent End (S.A.V.E.)","260847222-","Cleared","6500.00","DYCD",,"2184 Fifth Avenue Suite 4N",,"10032","HMS will facilitate 2 service events doing 2012 FY under their Save a Life Project. This will include a basketball tournament held doing school mid-winter recess, to provide youth with a safe haven to socialize, exercise and get educated on gun violence prevention. Second service event will be A Day of Healing education and prevention workshops for families and community residents impacted by gun violence.",,,"2184 Fifth Avenue Suite 4N
New York, NY 10032
(40.811676226458395, -73.93850410774547)","MANHATTAN","40.81151","-73.938551","10","9","212","1053890","1017300036","Central Harlem North-Polo Grounds                                          "
"2010","Transportation - Operating Costs",,"Wayside Out-Reach Development, Inc.","11-3528680  ","Pending","6100.48","DFTA","Home Delivered Meals Program","1746-60 Broadway",,"11207","Senior Center transportation costs",,,"1746-60 Broadway
Brooklyn, NY 11207
(40.67857964794648, -73.90306016543055)","BROOKLYN ","40.682939","-73.910522","16","37","369","3040992","3015120022","Ocean Hill                                                                 "
