"datasetinformation_agency","uid","name","description","type","category","legislativecompliance_datasetfromtheopendataplan","url","update_datemadepublic","update_updatefrequency","last_data_updated_date","legislativecompliance_candatasetfeasiblybeautomated","update_automation","legislativecompliance_hasdatadictionary","legislativecompliance_containsaddress","legislativecompliance_geocoded","legislativecompliance_existsexternallyll1102015","legislativecompliance_externalfrequencyll1102015","legislativecompliance_removedrecords","visits","row_count","column_count","parent_uid","derived_view"
"Department of Housing Preservation and Development (HPD)","adax-9mit","Speculation Watch List","List of sales of select rent-regulated multiple dwellings where there may be potential for speculation. This list is promulgated pursuant to Local Law 7 of 2018 and 28 RCNY Chapter 52. This list is a subset of data provided in the LL7-2018 Qualified Transactions file. 
Please note that borough, block, and lot is the best geographic identifier for this data set, and Building Identification Number (BIN) is provided for convenience only. BIN as provided in this dataset may be inaccurate, as more than one BIN may be associated with borough, block, and lot.
This list is a subset of data provided in the<a href=""https://data.cityofnewyork.us/Housing-Development/Local-Law-7-2018-Qualified-Transactions/8wi4-bsy4"">LL7-2018 Qualified Transactions file</a>.","dataset","Housing & Development","Yes","https://data.cityofnewyork.us/d/adax-9mit","11/20/2018","Quarterly","2022-07-12T20:38:45.000","No","No","Yes","Yes","Yes","Yes","Quarterly","No","4120","486","33",,"false"
"Mayor's Office of Media And Entertainment (MOME)","tg4x-b46p","Film Permits","Permits are generally required when asserting the exclusive use of city property, like a sidewalk, a street, or a park. See http://www1.nyc.gov/site/mome/permits/when-permit-required.page","dataset","City Government","No","https://data.cityofnewyork.us/d/tg4x-b46p","4/21/2016","Daily","2022-08-26T19:41:32.000","Yes","Yes","Yes","No","N/A","","","","240282","9152","14",,"false"
"Department of Records and Information Services (DORIS)","bk7g-bhsz","Archivesspace Resources and Instances List","Displays resource(s) and all specified location information. The data contains title, resource identifier, level, date range, and assigned containers.","dataset","City Government","Yes","https://data.cityofnewyork.us/d/bk7g-bhsz","9/16/2021","Monthly","2022-07-06T18:58:47.000","No","No","Yes","No","N/A","Yes","Monthly","No","121","245232","11",,"false"
"Department of Education (DOE)","55yj-h64d","2016 - 2017 Demographic Snapshot","Department of Education Report on Demographic data in New York City Public School","dataset","Education","Yes","https://data.cityofnewyork.us/d/55yj-h64d","04/09/2019","Historical data","2019-04-03T14:50:20.000","No","No","Yes","No","No","Yes","Historical","No","196","2873","65",,"false"
"Department of Parks and Recreation (DPR)","weh8-3ujf","Synthetic Turf Fields","Synthetic turf systems located on NYC Parks properties.","dataset","Recreation","YES","https://data.cityofnewyork.us/d/weh8-3ujf","12/12/2018","As needed","2018-12-11T16:44:27.000","Yes","No","Yes","No","N/A","No","N/A","No","671","202","20",,"false"
"Department of Education (DOE)","zt9s-n5aj","SAT (College Board) 2010 School Level Results","New York City school level College Board SAT results for the graduating seniors of 2010.  Records contain 2010 College-bound seniors mean SAT scores. 

Records with 5 or fewer students are suppressed (marked ‘s’). 

College-bound seniors are those students that complete the SAT Questionnaire when they register for the SAT and identify that they will graduate from high school in a specific year. For example, the 2010 college-bound seniors are those students that self-reported they would graduate in 2010. Students are not required to complete the SAT Questionnaire in order to register for the SAT. Students who do not indicate which year they will graduate from high school will not be included in any college-bound senior report.  

Students are linked to schools by identifying which school they attend when registering for a College Board exam. A student is only included in a school’s report if he/she self-reports being enrolled at that school. 

Data collected and processed by the College Board.","dataset","Education","Yes","https://data.cityofnewyork.us/d/zt9s-n5aj","10/11/2011","Historical data","2012-02-29T15:36:56.000","No","No","Yes","No","N/A","Yes","Historical","No","29282","460","6",,"false"
"Department of Education (DOE)","7crd-d9xh","2016 DOE High School Directory","Directory of NYC High Schools","dataset","Education","No","https://data.cityofnewyork.us/d/7crd-d9xh","7/23/2015","Historical data","2017-09-12T16:19:02.000","No","No","Yes","Yes","Yes","Yes","Historical","No","6078","437","67",,"false"
"Other","ekax-ky3z","New York City Museums","Locations of New York City Museums","map","Recreation","No","https://data.cityofnewyork.us/d/ekax-ky3z","8/4/2014","As needed","2014-06-17T16:37:46.000","","No","No","No","N/A","","","","5734",,,,"false"
"Department of Parks and Recreation (DPR)","t8xi-d5wb","Summary of Syringe Data in NYC Parks","This dataset contains records of syringes collected, including how many, whether they are collected from the ground or a kiosk, and when they are collected. The Syringe Summary dataset contains records for syringes collected by both Parks staff as well as collection efforts by the Washington Heights Corner Project (https://www.nycservice.org/organizations/index.php?org_id=1462) and New York Harm Reduction Educators (https://nyhre.org/) nonprofit group


You can find the complete data dictionary at https://docs.google.com/spreadsheets/d/1VSUqd1peSc-4D2XnBZNiLdxa0Jg4z62D/edit?usp=sharing&ouid=100172030647057411202&rtpof=true&sd=true","dataset","Public Safety","Yes","https://data.cityofnewyork.us/d/t8xi-d5wb",,"Quarterly","2022-08-16T13:01:12.000","Yes","Yes","Yes","No","No","No","Quarterly","No","248","19778","23",,"false"
"Department of Sanitation (DSNY)","if26-z6xq","Food Scrap Drop-Off Locations in NYC","Locations where NYC residents can drop off their food scraps to be composted. Visit https://www1.nyc.gov/assets/dsny/site/services/food-scraps-and-yard-waste-page/nyc-food-scrap-drop-off-locations for participating locations.","dataset","Environment","No","https://data.cityofnewyork.us/d/if26-z6xq",,"As needed","2022-08-02T00:00:08.000","Yes","Yes","Yes","No","N/A","Yes","As-Needed","Yes","2278","208","24",,"false"
"Department of Education (DOE)","weaz-wxw9","2006-07 Class Size - By Region","Citywide Class Size Report, including Region, Program, Grade or Service Category.

SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered

For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 

The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 

The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, “cluster” teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers.","dataset","Education","No","https://data.cityofnewyork.us/d/weaz-wxw9","10/13/2011","Historical data","2011-10-13T17:42:30.000","No","No","Yes","No","N/A","No","N/A","No","409","538","5",,"false"
"Mayor's Office of Climate Resiliency","p8e8-yh4m","2050s Mean Monthly High Water","Future Mean Monthly High Water (MMHW) projections released by the NPCC March 2019.","map","Environment","YES","https://data.cityofnewyork.us/d/p8e8-yh4m","4/8/2019","As needed","2019-03-26T18:38:54.000","No","No","Yes","No","N/A","No","N/A","No","394",,,,"false"
"City Council (NYCC)","4d7f-74pe","New York City Council Discretionary Funding","The dataset reflects applications for discretionary funding to be allocated by the New York City Council","dataset","City Government","No","https://data.cityofnewyork.us/d/4d7f-74pe","01/19/2018","As needed","2021-04-20T15:26:22.000","No","No","Yes","Yes","Yes","No","N/A","No","21481","97002","27",,"false"
"Department of City Planning (DCP)","yusd-j4xi","City Council Districts","GIS data: Boundaries of City Council Districts.

All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>","map","City Government","No","https://data.cityofnewyork.us/d/yusd-j4xi","1/31/2013","Quarterly","2022-08-15T16:31:55.000","Yes","No","Yes","No","N/A","Yes","Quarterly","No","15700",,,,"false"
