"project_name","project_received_date","project_id_number_op","project_description_type","impacted_park_id_s","impacted_park_name_s","address_intersection","borough","multisite_project","sponsoring_agency_entity","primary_scope_of_work","impacted_parks_division_s","park_impact_type","contract_value_op","current_phase","scoping_initiated_kick_off_op","scoping_response_due_date_op","design_consultant_op","public_design_commission_approval_required","preliminary_public_design_commission_approval","final_public_design_commission_approval","mass_mailing_1_received_date","mass_mailing_2_received_date","mass_mailing_3_received_date","design_completion_date_op","construction_manager_op","construction_manager_company_op","construction_kickoff_op","expected_construction_end_date_op","actual_construction_end_date_op","contractor_for_construction_permit_firm_name","construction_permit_request_received_date","construction_permit_id","latest_site_visit","forestry_permit_status","forestry_permit_id_number","construction_permit_special_conditions","borough_approval_date","permit_issuance_date","permit_start_date","original_permit_expiration_date","latest_permit_extension_amendment_request_date","latest_permit_extension_amendment_issuance_date","latest_permit_expiration_date","permit_amendment_content","exploratory_permit_id","substantial_completion_date_op","final_inspection_date","latest_inspection_site_visit","punchlist_generated","conditional_letter_issued","final_acceptance_of_park_by_borough","final_acceptance_letter_date","created","modified","coordinates"
"Bronx River Parkway Safety Improvements at East Gun Hill Road","2016-02-16T00:00:00.000","X110.25 D263501","Extension of an exit-only lane for safety during long backups, with appertaining roadway realignment, guardrail and light reconstruction. AKA ""0.5 Miles of Asphalt Concrete Reconstruction on Rte 907H (Bronx River Parkway) in New York City""","X004;","Bronx River Parkway;","East Gun Hill Road & Bronx River Parkway","Bronx","Single Site","SDOT","Parkway/Arterial Improvement","Borough Operations;#Borough Forestry;#Conservancy","Staging;#Park Improvement","8484000","Final-Accepted (Closed Out)","2005-07-05T00:00:00.000",,"URS","No",,,"2016-02-25T00:00:00.000","2017-03-07T00:00:00.000",,"2017-04-20T00:00:00.000","EIC","NYSDOT","2017-08-22T00:00:00.000","2018-12-04T00:00:00.000",,"Bove Industries Inc.","2017-03-07T00:00:00.000","X004.20170419","2019-06-26T00:00:00.000","Approved","BX-58",,"2017-04-18T00:00:00.000","2017-04-19T00:00:00.000","2017-07-13T00:00:00.000","2018-12-20T00:00:00.000",,,,,"X004.E.20160728","2019-05-29T00:00:00.000","2019-06-26T00:00:00.000","2019-06-26T00:00:00.000","2019-05-30T00:00:00.000","2019-06-17T00:00:00.000","2019-06-28T00:00:00.000","2019-07-02T00:00:00.000","2016-09-06T15:44:00.000","2019-11-05T15:08:00.000","40.878058, -73.869775"
"Alben Triangle Refurb","2018-11-26T00:00:00.000",,"Alben Triangle Refurb","B123;","Alben Triangle;","11th Ave & 46th St, Brooklyn","Brooklyn","Single Site","Parks - Partner Group","Plaza","Borough Operations","Staging;#Park Improvement",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"TBO Sitescapes Inc","2019-03-04T00:00:00.000","B123.20190304",,"Not Required",,,"2019-03-11T00:00:00.000",,"2019-03-18T00:00:00.000","2019-05-31T00:00:00.000",,,"2019-05-31T00:00:00.000",,,,,,,,,,"2019-03-04T11:46:00.000","2019-11-05T15:27:00.000","40.639492, -73.994608"
"Con Ed Fiber Optics Line Crack is Wack Playground","2019-02-27T00:00:00.000",,"Access to perform one (1) exploratory boring in an area of asphalt pavement","M208E;","Crack Is Wack Playground;",,"Manhattan","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations;#Legal/MOUs;#Planning and Parklands;#Other","Excavation;#Staging",,"Construction",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2019-02-27T00:00:00.000","M208E.E.20190404",,,,,,,"2019-04-05T00:00:00.000","2019-04-26T00:00:00.000","2019-06-20T00:00:00.000","2019-06-18T00:00:00.000","2019-07-15T00:00:00.000",,,,,,,,,,"2019-03-14T09:13:00.000","2019-11-05T15:27:00.000","40.804389, -73.931905"
"Closeout of permit X1053 for Pelham Bay Landfill Leachate Control System","2019-06-19T00:00:00.000","X730.27.221","Tying up a 1998 permit orphaned from when DEP owned the landfill, which is now parkland. A pure bureaucracy project.",,,,"Bronx","Single Site","SDOT","Environmental Improvement/Remediation","Environmental Remediation","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-06-19T16:54:00.000","2019-11-05T14:52:00.000","40.828486, -73.841268"
"Biennial Bridge Inspection of Kings and Richmond Counties","2019-05-29T00:00:00.000",,"Bridge inspections BIN 2231239","B210A;","John Allen Payne Park;",,"Staten Island;#Brooklyn","Multi Borough","SDOT","Bridge Component Rehabilitation","Borough Operations","Access-Only",,"Construction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CNYG.E.20190611",,,,,,,,"2019-05-30T11:58:00.000","2019-11-05T14:52:00.000","40.640071, -74.024097"
"Basketball Court Refurb at Park Slope Playground","2019-06-03T00:00:00.000",,"Basketball Court Refurb at Park Slope Playground","B320;","Park Slope Playground;","Lincoln Place & 5th Ave, Brooklyn","Brooklyn","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Arts & Antiquities","Staging;#Partial Park Closure;#Park Improvement",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"TBO Sitescapes","2019-06-04T00:00:00.000","B320.20190604","2019-06-03T00:00:00.000","Not Required",,,"2019-06-05T00:00:00.000",,"2019-06-05T00:00:00.000","2019-06-19T00:00:00.000",,,"2019-06-19T00:00:00.000",,,,,,,,,,"2019-06-04T16:17:00.000","2019-11-05T15:26:00.000","40.676960, -73.978379"
"N 5th St Pier Repair","2018-10-29T00:00:00.000",,"Hornblower's N 5th St pier repair due to 10/29 incident","B536;","North 5th Street Pier and Park;","North 5th Street & Kent","Brooklyn","Single Site","EDC",,"Borough Operations;#Planning and Parklands","Partial Park Closure",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Sound Marine Construction & Salvage Inc","2018-11-27T00:00:00.000","B536.20190318","2018-12-10T00:00:00.000","Not Required",,,"2019-03-18T00:00:00.000",,"2019-03-25T00:00:00.000","2019-04-30T00:00:00.000","2019-05-01T00:00:00.000","2019-05-01T00:00:00.000","2019-05-02T00:00:00.000","E - Extension through 5/2/3019",,,,,,,,,"2019-03-18T14:27:00.000","2019-11-05T14:52:00.000","40.720659, -73.965534"
"Bronx/Manhattan Sidewalks","2017-03-07T00:00:00.000","HWS2016XM","Citywide Sidewalk Repair","M132;","Little Flower Playground;","Madison between Rugers and Clinton","Bronx;#Manhattan","Multi Borough","DDC","Pedestrian Safety","Borough Operations;#Borough Forestry","Sidewalk Closure;#Park Improvement","35000","Presumed Complete",,,,,,,,,,,,,,,,"Vales Construction Corp","2017-03-07T00:00:00.000","CNYG.20170404",,"Approved","WSP110MF17",,"2017-04-04T00:00:00.000","2017-04-04T00:00:00.000","2017-04-04T00:00:00.000","2018-04-04T00:00:00.000",,,,,,,,,,,,,"2017-04-04T12:22:00.000","2019-11-05T16:02:00.000",
"207 Huntington Street – Brooklyn – Roll back chain link fence/reinstall fence, and temporary install a plywood construction fence","2018-12-18T00:00:00.000","B113B","Roll back chain link fence/reinstall fence, and temporary install a plywood construction fence","B113B;","Korean War Veterans Plaza;",,"Brooklyn","Single Site","Private Developer","Private Development","Borough Operations","Other",,"Construction",,,,,,,,,,,,,,,,"JAVA Management LLC","2018-12-13T00:00:00.000","B113B.20181214",,,,,"2019-05-31T00:00:00.000",,,"2019-05-01T00:00:00.000",,,,,,,,,,,,,"2019-06-03T14:23:00.000","2019-11-05T15:27:00.000",
"National Grid Groundwater Sampling","2019-01-28T00:00:00.000","NYSDEC Site No. 224055","Emerging Contaminant Groundwater Sampling for NYSDEC wells located on N 10th, N 11th, N 12th Streets between Kent Ave and East River.","B529;","Bushwick Inlet Park;","Kent Ave & North 11th Street, Brooklyn","Brooklyn","Single Site","Parks - Planning","Environmental Improvement/Remediation","Borough Operations;#Environmental Remediation;#Legal/MOUs;#Planning and Parklands","Access-Only",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"National Grid","2019-01-29T00:00:00.000","B529.20190205",,"Not Required",,"i.	Permittee shall be responsible for any and all fees, fines, violations and/or penalties imposed by any oversite agency due to Permittee’s Work.   
ii.	Permittee shall provide Parks with two week’s notice and a two week schedule prior to any Work being performed.   
iii.	Permittee shall not store any materials and drums on the Permitted Premises. 
iv.	Permittee shall promptly remove any and all drums from the site.  
v.	Permittee will use the following vehicle(s) to perform the work: 2015 Chevrolet Silverado",,,"2019-03-01T00:00:00.000","2019-03-31T00:00:00.000",,,"2019-03-31T00:00:00.000",,,,,,,,,,"2019-02-05T15:00:00.000","2019-11-05T14:52:00.000","40.723686, -73.960419"
"Reconstruction of Stone Walls in Fort Tryon Park","2019-03-12T00:00:00.000",,"Reconstruction of Stone Walls in Fort Tryon Park","M029;","Fort Tryon Park;","191 Street and Riverside Drive, Manhattan","Manhattan","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Conservancy","Park Improvement;#Staging",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"River Bend Construction Corp","2019-03-12T00:00:00.000","M029.20190319",,"Not Required",,"i.	Proper safety protocols must be followed for safeguarding the public during operation of machinery.
ii.	Signage about using alternate pathways as needed during repairs must be posted at the beginning of a pathway to easily direct people to open pathways and to avoid having them walk several blocks up a long pathway only to have to turn around due to a work closure.","2019-03-19T00:00:00.000",,"2019-04-01T00:00:00.000","2019-05-31T00:00:00.000",,,"2019-05-31T00:00:00.000",,,,,,,,,,"2019-03-19T17:40:00.000","2019-11-05T15:27:00.000","40.865784, -73.930890"
"Storm and Sanitary Sewers in College Place, Etc.","2014-09-19T00:00:00.000","SEQ200463","Storm and Sanitary Sewers in College Place, Etc - specifically an outfall via MacNeil Park","Q009;","Macneil Park;","Poppenhusen Ave at College Place","Queens","Single Site","DDC","Sewer/Water Main","CPI Site; Capital Projects;#Borough Operations;#Borough Forestry;#Natural Resources Group (NRG);#Capital Projects","Staging;#Excavation;#Partial Park Closure",,"Final-Accepted (Closed Out)",,,,,,,,,,,"RE",,,,,"Intercontracting Corp.","2016-05-03T00:00:00.000","Q009.20161107","2019-04-08T00:00:00.000","Approved","QP 16-514",,,"2016-11-07T00:00:00.000","2016-11-07T00:00:00.000","2018-11-07T00:00:00.000",,,,,,"2018-07-18T00:00:00.000","2019-04-08T00:00:00.000","2019-04-08T00:00:00.000",,"2018-09-18T00:00:00.000",,"2019-05-07T00:00:00.000","2016-12-15T10:57:00.000","2019-11-05T15:26:00.000","40.793041, -73.848907"
"43-25 Hunter Street Project","2014-10-14T00:00:00.000",,"Development of a building at 43-25 Hunter Street Impacting Rafferty Triangle","Q036A;","Rafferty Triangle;",,"Queens","Single Site","Private Developer",,"Borough Horticulture;#Borough Operations;#Borough Forestry;#Central Forestry",,,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,,,"Q036A.20190528",,,,,,,,,,,,,,,,,,,,"2019-05-23T00:00:00.000","2019-05-28T10:53:00.000","2019-11-05T14:57:00.000",
"110 West 123rd Street – Erect temporary construction fence with netting and Shed / Overhead protection","2018-01-11T00:00:00.000","M349","Erect temporary construction fence with netting and Shed / Overhead protection","M349;","New 123rd St Block Association Garden;","110 West 123 street -","Manhattan","Single Site","Private Developer","Private Development","Greenthumb","New Property",,"Construction",,,,,,,,,,,,,,,,"Touchstone Homes LLC","2018-01-11T00:00:00.000","M349.20190416",,,,"i.	Occupying, using or in any way affecting Parks premises, systems or resources other than that within the Permitted Premises,
ii.	Performing any activities within the Permitted Premises other than those described in  Attachment B, 
iii.	Performing any Work or other activities pursuant to the Permit not supported by industry standards, best practices or applicable construction or material codes, and
iv.	Using or connecting to any of Parks’ utilities, including but not limited to water and electric service. Permittee must independently source its own utility service.","2019-05-01T00:00:00.000",,,"2020-10-01T00:00:00.000",,,,,,,,,,,,,"2019-05-22T13:08:00.000","2019-11-05T15:27:00.000",
"Retaining Wall Restoration and Maintenance Contract","2019-04-18T00:00:00.000","XM18.60 D263918","Retaining Wall Restoration and Maintenance",,,,"Bronx;#Queens;#Manhattan;#Brooklyn","Multi Borough","SDOT","Parkway/Arterial Improvement",,"No Parkland Impact",,"Permitting",,,,,,,,,,,"EIC","NYSDOT","2019-05-07T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,"2019-04-22T13:48:00.000","2019-11-05T14:52:00.000",
"Con Ed Test Pit in Clara Coffey Park (Sutton Park South)","2019-03-28T00:00:00.000",,"Access to perform one (1) exploratory test pit within the limits of the park at E54th Street","M108P;","Sutton Parks;",,"Manhattan","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations;#Planning and Parklands;#Legal/MOUs","Excavation",,"Construction",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2019-04-03T00:00:00.000",,"2019-04-09T00:00:00.000","Approved",,"I. Permittee is prohibited from performing Work during the following dates:
5/4; 5/5; 5/6; 5/7; 5/8; 5/9; 5/10; 5/11; and 5/12 
   
ii. Permittee shall ensure the excavation area is backfilled and patched immediately upon completion of the Work. The site shall be properly restored prior to the expiration of this Permit.","2019-04-09T00:00:00.000",,"2019-05-01T00:00:00.000","2019-05-26T00:00:00.000","2019-05-20T00:00:00.000","2019-05-21T00:00:00.000","2019-06-30T00:00:00.000","New Permit No. M108P.E.20190521 issued for this work at the request of Parks Legal.","M108P.E.20190416",,,,,,,,"2019-04-16T09:25:00.000","2019-11-05T15:08:00.000","40.755354, -73.961985"
"Inspections of East River Park Esplanade","2019-04-17T00:00:00.000","SANDRESM1","Inspections of East River Park Esplanade","M144;","John V. Lindsay East River Park;","East River Park Esplanade and Jackson Street, Manhattan","Manhattan","Single Site","DDC","Retaining Wall/Seawall","Borough Operations;#Capital Projects","Access-Only",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"CH2M Hill New York, Inc","2019-04-18T00:00:00.000","M144.20190422",,"Not Required",,,"2019-04-22T00:00:00.000",,"2019-04-24T00:00:00.000","2019-05-15T00:00:00.000",,,"2019-05-15T00:00:00.000",,,,,,,,,,"2019-04-22T12:57:00.000","2019-11-05T15:08:00.000","40.710521, -73.978451"
"Lighting Upgrade at Alice Austen House","2019-03-13T00:00:00.000",,"Lighting Upgrade at Alice Austen House","R117;","Alice Austen Park;","Hylan Blvd and Edgewater St, Staten Island","Staten Island","Single Site","Parks - Partner Group","Public Building","Borough Operations","Access-Only",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"GTS Electrical","2019-03-13T00:00:00.000","R117.20190320",,"Not Required",,,"2019-03-25T00:00:00.000",,"2019-04-08T00:00:00.000","2019-05-15T00:00:00.000",,,"2019-05-15T00:00:00.000",,,,,,,,,,"2019-03-20T10:36:00.000","2019-11-05T15:27:00.000","40.615089, -74.062958"
"Bridge Repairs  on the Bronx River Parkway Over Morris Park Ave & 180th Street in Bronx County (at Ranaqua Yard)","2016-06-01T00:00:00.000","X110.27 D263484 BIN 1067099","Rehabilitation of a Bronx River Parkway bridge over Bronx Park and Ranaqua Yard.","X002;","Bronx Park;","Morris Park Avenue & E 180 Street","Bronx","Single Site","SDOT","Bridge Component Rehabilitation","Borough Operations","Staging","8866647","Final-Accepted (Closed Out)",,,,,,,,,,,"EIC","NYSDOT","2017-10-03T00:00:00.000","2019-05-08T00:00:00.000","2019-05-08T00:00:00.000","El Sol Contracting",,"X002.20161202","2019-01-23T00:00:00.000","Not Required",,"i.	Work timing restrictions:
a)	Work and access in Ranaqua Yard is prohibited from June to August.
b)	Work and access in Ranaqua Yard is prohibited between 6-8 AM and 2-4 PM daily.
ii.	The multi-use path (Bronx River Greenway) must remain open, safe and usable at all times.
iii.	Permittee bears responsibility for labor and materials required to, to facilitate permittee’s work, reposition and preserve Parks’ access to its materials stored in the Ranqua Yard.
iv.	Laydown: Permittee may request and obtain from Parks permission for a protected laydown area directly against the north abutment, not blocking the multiuse path.",,"2016-12-02T00:00:00.000","2017-09-05T00:00:00.000","2019-03-29T00:00:00.000",,,,,,"2019-05-10T00:00:00.000","2019-05-10T00:00:00.000",,"2019-05-08T00:00:00.000",,"2019-05-10T00:00:00.000","2019-05-13T00:00:00.000","2016-10-19T15:43:00.000","2019-11-05T15:26:00.000","40.844484, -73.871672"
"CAPIS ID NO. PW348-64 -","2019-05-01T00:00:00.000","B057","CAPIS ID NO. PW348-64
Marine Park Garage
2900 Flatbush Avenue Brooklyn, NY
Block: 8590 Lot: 700
Request for Permit to Perform Work on Park Property - replace damaged groundwater monitoring well road boxes at three (3) well
locations. The wells, LMW-06, LMW-07, and MW-06. In addition to the well manhole replacements, two
wells, LMW-03 and LMW-09, will be replaced by drilling and installing new wells","B057;","Marine Park;",,"Brooklyn","Single Site","DDC",,"Borough Operations","Other",,"Construction",,,,,,,,,,,,,,,,"Aquifer Drilling & Testing, Inc","2019-05-01T00:00:00.000","B057.20190501",,,,,"2019-04-26T00:00:00.000",,"2019-05-15T00:00:00.000","2019-07-01T00:00:00.000",,,,,,,,,,,,,"2019-05-13T14:32:00.000","2019-11-05T14:52:00.000",
"Safe Routes to Transit Phase III - Bronx","2015-09-03T00:00:00.000","HWSRT200C","Safe Routes to Transit Phase III - Van Cortlandt Park- Intersection (Bainbridge Avenue / Jerome Avenue) Bronx","X092;","Van Cortlandt Park;",,"Bronx","Single Site","CDOT",,,,,"Presumed Complete",,,,,,,,,,,,,,,,"Law Construction Corporation",,"X092.20160728",,,,"Install approximately 7 linear feet of steel faced curb",,"2016-07-28T00:00:00.000","2016-08-02T00:00:00.000","2016-10-01T00:00:00.000",,,,,,,,,,,,,"2017-11-09T13:41:00.000","2019-11-05T15:59:00.000",
"Installation of Coastal Storm Mechanical Closure Devices (MCD's) at various locations in Manhattan","2015-06-13T00:00:00.000","A-37607","Installation of Coastal Storm Mechanical Closure Devices (MCD's) at various locations in Manhattan","M005;MZ25;","The Battery;GREENSTREET;",,"Manhattan","Multi Site","MTA NYCT","Resiliency","Capital Projects;#Borough Operations","Excavation;#Sidewalk Closure",,"Presumed Complete",,,,,,,,,,,,,,,,"MTA New York City Transit","2017-03-27T00:00:00.000","MG.20170504",,"Approved",,,"2017-06-06T00:00:00.000","2017-05-04T00:00:00.000","2017-05-04T00:00:00.000","2017-12-31T00:00:00.000",,,,,,,,,,,,,"2017-04-21T16:05:00.000","2019-11-05T16:02:00.000",
"Installation of Coastal Storm Mechanical Closure Devices (MCD's) at various locations in Manhattan","2015-06-13T00:00:00.000","A-37608","Installation of Coastal Storm Mechanical Closure Devices (MCD's) at various locations in Manhattan","M005;MZ25;","The Battery;GREENSTREET;",,"Manhattan","Multi Site","MTA NYCT",,,"Excavation;#Sidewalk Closure",,"Presumed Complete",,,,,,,,,,,,,,,,"MTA New York City Transit","2017-03-27T00:00:00.000","MG.20170601",,"Not Required",,,"2017-06-06T00:00:00.000","2017-06-01T00:00:00.000","2017-06-01T00:00:00.000","2017-12-31T00:00:00.000",,,,,,,,,,,,,"2017-04-21T16:53:00.000","2019-11-05T17:10:00.000",
