"license_number","entity_name","telephone_number","shl_endorsed","building","street","city","state","zip","type_of_base","latitude","longitude","date","time","location"
"B80107","FLUSHING VAN SERVICE INC","7182362082","No","86","BOWERY  2B","NEW YORK","NY","10013","COMMUTER VAN AUTHORITY BASE","40.717173","-73.995852","2022-08-29T00:00:00.000","18:00:20","
,  
(40.717173, -73.995852)"
"B80108","L & W EXPRESS VAN SERVICE CORP","9175436410","No","136-31","41ST AVENUE  4C","FLUSHING","NY","11355","COMMUTER VAN AUTHORITY BASE","40.759009","-73.828513","2022-08-29T00:00:00.000","18:00:20","
,  
(40.759009, -73.828513)"
"B80145","ALEXIS VAN LINES INC","9174341614","No","3712","FLATLANDS AVENUE  2F","BROOKLYN","NY","11234","COMMUTER VAN AUTHORITY BASE","40.618436","-73.939214","2022-08-29T00:00:00.000","18:00:20","
,  
(40.618436, -73.939214)"
"B80157","YOURS 'N MINE TRANSPORTATION SERVICE, INC.","7185275519","No","146-28","GUY R BREWER BOULEVARD","JAMAICA","NY","11434","COMMUTER VAN AUTHORITY BASE","40.662412","-73.768312","2022-08-29T00:00:00.000","18:00:20","
,  
(40.662412, -73.768312)"
"B80164","TRANSXPRESS SERVICES,INC","7188999348","No","34-52","60TH STREET","WOODSIDE","NY","11377","COMMUTER VAN AUTHORITY BASE","40.750472","-73.902523","2022-08-29T00:00:00.000","18:00:20","
,  
(40.750472, -73.902523)"
"B80169","ROYAL ROSE TRANSPORTATION LLC","3473855149","No","839","TROY AVENUE","BROOKLYN","NY","11203","COMMUTER VAN AUTHORITY BASE","40.652592","-73.935959","2022-08-29T00:00:00.000","18:00:20","
,  
(40.652592, -73.935959)"
"B80182","EIGHT STAR INC.","3476446822","No","136-31","41 AVENUE  PH","FLUSHING","NY","11355","COMMUTER VAN AUTHORITY BASE","40.74931","-73.821321","2022-08-29T00:00:00.000","18:00:20","
,  
(40.74931, -73.821321)"
"B80201","L & H (NY) TRANSPORTATION, INC.","7187853624","No","8908","ROOSEVELT AVENUE  1F","JACKSON HTS","NY","11372","COMMUTER VAN AUTHORITY BASE","40.747395","-73.887382","2022-08-29T00:00:00.000","18:00:20","
,  
(40.747395, -73.887382)"
"B80271","FLUSHING COMMUTER VAN MANAGEMENT CORP","7189393699","No","136-31","41 AVENUE","FLUSHING","NY","11355","COMMUTER VAN AUTHORITY BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B80276","GOGO BUS TOURS INC","8888820010","No","4216","8 AVENUE","BROOKLYN","NY","11232","COMMUTER VAN AUTHORITY BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B90032","RICHMOND COUNTY AMBLNC SVC INC","7182733555","No","1355","CASTLETON AVENUE","STATEN ISLAND","NY","10310","PARATRANSIT BASE","40.634011","-74.128061","2022-08-29T00:00:00.000","18:00:20","
,  
(40.634011, -74.128061)"
"B90034","NEW YORK CITY AMBULETTE, LLC","7188052500","No","601","BRIGHTON BEACH AVENUE  UNIT #2","BROOKLYN","NY","11235","PARATRANSIT BASE","40.577898","-73.961479","2022-08-29T00:00:00.000","18:00:20","
,  
(40.577898, -73.961479)"
"B90058","AHAVA ACCESS INC","7182521111","No","6002","FOSTER AVENUE","BROOKLYN","NY","11236","PARATRANSIT BASE","40.640231","-73.918947","2022-08-29T00:00:00.000","18:00:20","
,  
(40.640231, -73.918947)"
"B90097","CITYWIDE MOBILE RESPONSE CORP","7185976100","No","1624","STILLWELL AVENUE","BRONX","NY","10461","PARATRANSIT BASE","40.855619","-73.839821","2022-08-29T00:00:00.000","18:00:20","
,  
(40.855619, -73.839821)"
"B90139","APPLE HOME CARE,LTD.","7183721717","No","100-02","FARRAGUT ROAD","BROOKLYN","NY","11236","PARATRANSIT BASE","40.651866","-73.895856","2022-08-29T00:00:00.000","18:00:20","
,  
(40.651866, -73.895856)"
"B90140","VEGA TRANSPORTATION CO INC","7185070500","No","83-03","24 AVENUE  2ND FLOOR","EAST ELMHURSTS","NY","11370","PARATRANSIT BASE","40.765173","-73.885915","2022-08-29T00:00:00.000","18:00:20","
,  
(40.765173, -73.885915)"
"B90275","EVE CONSOLIDATED BUS ENT INC","7182529797","No","3611","14 AVENUE  SUITE #223","BROOKLYN","NY","11218","PARATRANSIT BASE","40.600796","-73.906588","2022-08-29T00:00:00.000","18:00:20","
,  
(40.600796, -73.906588)"
"B90288","MAJOR AMBULETTE CORP","7182653333","No","2201","AVENUE X","BROOKLYN","NY","11235","PARATRANSIT BASE","40.593214","-73.948115","2022-08-29T00:00:00.000","18:00:20","
,  
(40.593214, -73.948115)"
"B90334","TAMAR TRANSP CORP","7183681111","No","601","BRIGHTON BEACH_AVE","BROOKLYN","NY","11235","PARATRANSIT BASE","40.577898","-73.961479","2022-08-29T00:00:00.000","18:00:20","
,  
(40.577898, -73.961479)"
"B90395","VOLGA TRANSP CORP","7187437979","No","2732","GERRITSEN AVENUE","BROOKLYN","NY","11229","PARATRANSIT BASE","40.593221","-73.946019","2022-08-29T00:00:00.000","18:00:20","
,  
(40.593221, -73.946019)"
"B90419","D & J SERVICES INC","7188288888","No","1200","ZEREGA AVENUE","BRONX","NY","10462","PARATRANSIT BASE","40.833354","-73.843531","2022-08-29T00:00:00.000","18:00:20","
,  
(40.833354, -73.843531)"
"B90469","MERCY CARE TRANSPORTATION INC.","7182663355","No","2699","RICHMOND TERRACE","STATEN ISLAND","NY","10303","PARATRANSIT BASE","40.637594","-74.150488","2022-08-29T00:00:00.000","18:00:20","
,  
(40.637594, -74.150488)"
"B90496","ASCONA AMBLT SVC INC","7186461611","No","2421","BATH AVENUE","BROOKLYN","NY","11214","PARATRANSIT BASE","40.595422","-73.992368","2022-08-29T00:00:00.000","18:00:20","
,  
(40.595422, -73.992368)"
"B90522","UNIVERSAL CARRIER INC.","7186464444","No","1805","GRAVESEND NECK ROAD  2ND FLR","BROOKLYN","NY","11229","PARATRANSIT BASE","40.59599","-73.952765","2022-08-29T00:00:00.000","18:00:20","
,  
(40.59599, -73.952765)"
"B90533","ALL AROUND TRANS, INC.","7183326033","No","2433","KNAPP STREET  SUITE 101 D","BROOKLYN","NY","11235","PARATRANSIT BASE","40.591779","-73.960354","2022-08-29T00:00:00.000","18:00:20","
,  
(40.591779, -73.960354)"
"B90544","SAFA AMBULETTE LLC","6463580105","No","54","HIGHVIEW ROAD","FISHKILL","NY","12524","PARATRANSIT BASE","40.823432","-73.867924","2022-08-29T00:00:00.000","18:00:20","
,  
(40.823432, -73.867924)"
"B90545","M.J. TRANS CORP.","7183330400","No","1788","STILLWELL AVENUE","BROOKLYN","NY","11223","PARATRANSIT BASE","40.602774","-73.986703","2022-08-29T00:00:00.000","18:00:20","
,  
(40.602774, -73.986703)"
"B90568","AMG TRANSPORTATION INC.","7186460550","No","34","LORD AVE","LAWRENCE","NY","11559","PARATRANSIT BASE","40.658652","-73.580098","2022-08-29T00:00:00.000","18:00:20","
,  
(40.658652, -73.580098)"
"B90570","BANNER INTERNATIONAL CORP.","7185253497","No","226-12","144 AVENUE","LAURELTON","NY","11413","PARATRANSIT BASE","40.663994","-73.751771","2022-08-29T00:00:00.000","18:00:20","
,  
(40.663994, -73.751771)"
"B90579","MASSIVE TRANSPORTATION INC","9146643124","No","145","BROOKSIDE AVENUE","MOUNT VERNON","NY","10553","PARATRANSIT BASE","40.910101","-73.816897","2022-08-29T00:00:00.000","18:00:20","
,  
(40.910101, -73.816897)"
"B90612","ESTHER TRANSPORTATION INC.","7189871555","No","71","BAY 14 STREET","BROOKLYN","NY","11214","PARATRANSIT BASE","40.607591","-74.007126","2022-08-29T00:00:00.000","18:00:20","
,  
(40.607591, -74.007126)"
"B90625","LSLAT,INC","7182651584","No","2402","GERRITSEN AVENUE","BROOKLYN","NY","11229","PARATRANSIT BASE","40.598149","-73.931408","2022-08-29T00:00:00.000","18:00:20","
,  
(40.598149, -73.931408)"
"B90635","SOVEREIGN TRANSPORTATION INC","7184350700","No","3123","CROPSEY AVENUE","BROOKLYN","NY","11224","PARATRANSIT BASE","40.579351","-73.984993","2022-08-29T00:00:00.000","18:00:20","
,  
(40.579351, -73.984993)"
"B90647","APOLLO NY-CITY AMBULETTE INC.","7182243331","No","208-01","NORTHERN BOULEVARD  #4B","BAYSIDE","NY","11361","PARATRANSIT BASE","40.759033","-73.775428","2022-08-29T00:00:00.000","18:00:20","
,  
(40.759033, -73.775428)"
"B90653","LAKEVILLE AMBULETTE TRANSPORTATION LLC","7182892289","No","92","MADISON AVE","HEMPSTEAD","NY","11550","PARATRANSIT BASE","40.755518","-73.707367","2022-08-29T00:00:00.000","18:00:20","
,  
(40.755518, -73.707367)"
"B90662","MAYOOR TRANSPORTATION INC.","9142354700","No","498","MAIN STREET  SUITE 4","NEW ROCHELLE","NY","10801","PARATRANSIT BASE","40.908868","-73.781264","2022-08-29T00:00:00.000","18:00:20","
,  
(40.908868, -73.781264)"
"B90664","SALMA TRANSPORTATION LLC","5165022018","No","253","JERICHO TKPE","NEW HYDE PARK","NY","11040","PARATRANSIT BASE","40.732829","-73.682281","2022-08-29T00:00:00.000","18:00:20","
,  
(40.732829, -73.682281)"
"B90680","U & ME TRANSPORT INC.","9179629880","No","623","BARRETTO STREET","BRONX","NY","10474","PARATRANSIT BASE","40.812662","-73.889152","2022-08-29T00:00:00.000","18:00:20","
,  
(40.812662, -73.889152)"
"B90681","SENIOR RIDE TRANSPORTATION LLC","7187133700","No","700","HAVEMEYER AVENUE","BRONX","NY","10473","PARATRANSIT BASE","40.821906","-73.845107","2022-08-29T00:00:00.000","18:00:20","
,  
(40.821906, -73.845107)"
"B90684","TRANSCARE SOLUTIONS INC.","7186766757","No","1400","AVENUE Z  SUITE#403","BROOKLYN","NY","11235","PARATRANSIT BASE","40.587767","-73.954925","2022-08-29T00:00:00.000","18:00:20","
,  
(40.587767, -73.954925)"
"B90687","WORLD AMBULETTE TRANSPORTATION, INC.","7184453070","No","40-29","149 STREET","FLUSHING","NY","11354","PARATRANSIT BASE","40.762448","-73.815763","2022-08-29T00:00:00.000","18:00:20","
,  
(40.762448, -73.815763)"
"B90696","CENTURY AMBULANCE SERVICE INC","7182359000","No","87-30","123 STREET","RICHMOND HILL","NY","11418","PARATRANSIT BASE","40.699742","-73.827209","2022-08-29T00:00:00.000","18:00:20","
,  
(40.699742, -73.827209)"
"B90701","CATHAY EXPRESS TRANSPORTATION INC","2123373333","No","98-51","QUEENS BOULEVARD  SUITE #2G","REGO PARK","NY","11374","PARATRANSIT BASE","40.728061","-73.856072","2022-08-29T00:00:00.000","18:00:20","
,  
(40.728061, -73.856072)"
"B90703","UNIVERSAL AMBULETTE SERVICES, INC.","7188504989","No","239-06","87 AVENUE  2ND FL","BELLEROSE","NY","11426","PARATRANSIT BASE","40.730869","-73.726908","2022-08-29T00:00:00.000","18:00:20","
,  
(40.730869, -73.726908)"
"B90710","ROYALTY TRANSPORTATION,LLC","7187715100","No","414","UTICA AVENUE  2ND FLOOR","BROOKLYN","NY","11213","PARATRANSIT BASE","40.664234","-73.931867","2022-08-29T00:00:00.000","18:00:20","
,  
(40.664234, -73.931867)"
"B90713","ELEGANTE SERVICES, INC.","7184927680","No","1804","RANDALL AVENUE","BRONX","NY","10473","PARATRANSIT BASE","40.816803","-73.862557","2022-08-29T00:00:00.000","18:00:20","
,  
(40.816803, -73.862557)"
"B90717","ANNSUNCHO CONSULTANTS LTD","9149301790","No","30","FAWN RIDGE DR","CORTLANDT MANOR","NY","10567","PARATRANSIT BASE","41.31664","-73.878666","2022-08-29T00:00:00.000","18:00:20","
,  
(41.31664, -73.878666)"
"B90725","WECAN ONE CORPORATION","3478436565","No","3800","BRONXWOOD AVENUE","BRONX","NY","10469","PARATRANSIT BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B90726","BLOOM TRANS SERVICES LLC","6462474839","No","11","WEST PROSPECT AVENUE  SUITE #5J","MOUNT VERNON","NY","10550","PARATRANSIT BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B90727","GRACE AMBULETTE, INC","5164486638","No","153-32","73 AVENUE","FLUSHING","NY","11367","PARATRANSIT BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B90729","GREEN TRIPS,INC.","7183536800","No","847","EAST   43 STREET","BROOKLYN","NY","11210","PARATRANSIT BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B90731","AGNES TRANSPORTATION LIMITED LIABILITY COMPANY","7184901563","No","119-22","196 STREET","ST.ALBANS","NY","11412","PARATRANSIT BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B90736","REEKAV TRANSPORTATION, LLC","3475950552","No","107-41","WATSON PLACE","JAMAICA","NY","11433","PARATRANSIT BASE",,,"2022-08-29T00:00:00.000","18:00:20",
"B90738","ABC, A BETTER CHOICE INC.","5168383880","No","27","CENTER LANE","LEVITTOWN","NY","11756","PARATRANSIT BASE",,,"2022-08-29T00:00:00.000","18:00:20",
