"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","Out of School Time","P.S. 102 BAY VIEW SCHOOL","Brooklyn","Heartshare Human Services","(718) 567-2365","Elementary","211 72nd Street
,  11209
(40.634115356514, -74.02934312422)","11209","40.63402","-74.029036","10","43","68","3146491","3058900001","Bay Ridge                                                                  "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","P.S. 138","Brooklyn","Research Foundation of CUNY on behalf of Medgar Evers College","718.270.6908","High School","760 Prospect Place
,  11216
(40.674353675202, -73.9514119617)","11216","40.67438","-73.951443","8","36","31701","3330794","3012330026","Crown Heights North                                                        "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Mercy Center","Bronx","New York Legal Assistance Group (NYLAG)","212-613-5000","All Ages","377 145th St
,  10454
(40.813855830175, -73.92035529273)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 105 BLYTHEBOURNE SCHOOL","Brooklyn","Brooklyn Chinese American Association","(718) 438-0008","Elementary","1031 59 STREET
,  11219
(40.63300376502, -74.003813362768)","11219","40.632936","-74.00374","12","38","214","3140612","3057020001","Borough Park                                                               "
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Washington Heights Ecumenical Food Pantry (WHEFP)","Manhattan","Catholic Charities Community Service, Archdiocese of N Y","212-419-3700","All Ages","4111 Broadway
,  10033
(40.84516033875, -73.938788841624)","10033","40.845128","-73.938763","12","10","263","1063501","1021420133","Washington Heights South                                                   "
"After-School Programs","Out of School Time","M.S./H.S. 141 DAVID A. STEIN R","Bronx","Riverdale Community Center, Inc.","(718) 796-4724","High School","660 237th Street
,  10463
(40.888267323329, -73.913187318551)",,,,,,,,,
"After-School Programs","Out of School Time","Washington Houses","Manhattan","Union Settlement Association","(212) 828-6120","Elementary","1775 Third Avenue
,  10029
(40.787046638823, -73.947929348156)","10029","40.786574","-73.948303","11","8","15602","1079203","1016470001","East Harlem South                                                          "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Hellenic American Neighborhood Action Committee (HANAC)","Queens","Hellenic American Neighborhood Action Committee (HANAC)","718-204-2325 ","14 to 24","23 16 30th Ave
flr,  11102
(40.771524024514, -73.926435450735)","11102","40.76916","-73.926258","1","22","73","4436861","4005720032","Old Astoria                                                                "
"After-School Programs","Teen Action Program","HEALTH OPPORTUNITIES HIGH SCHOOL (X670)","Bronx","East Side House, Inc.","718.402.5421","13 to 21","350 Gerard Avenue
,  10451
(40.815929079791, -73.930388700335)","10451","40.815938","-73.930386","1","8","63","2001027","2023440096","West Concourse                                                             "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","South Bronx Overall Economic Development Corp.","Bronx","South Bronx Overall Economic Development Corp.","718-292-3113","14 to 24","555 Bergen Avenue
,  10455
(40.815944415254, -73.916415911483)","10455","40.815959","-73.916354","1","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","YWCA of Queens","Queens","Manhattanville Houses Senior Center","(718) 353-4553"," High School","42 07 Parsons Blvd
,  11355
(40.751299796948, -73.821478547897)","11355","40.757857","-73.819077","7","20","861","4583346","4053750006","East Flushing                                                              "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Tremont Crotona Center","Bronx","Tremont Crotona Day Care Center, Inc","(718) 378-5600","OST","1600 Crotona Park
,  10460
(40.836686602373, -73.891307011738)","10457","40.837941","-73.895254","3","17","163",,,"park-cemetery-etc-Bronx                                                    "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S./I.S. 124 OSMOND A. CHURCH","Queens","South Asian Youth Action","(347) 272-0740","OST","129 15 150 Avenue
,  11420
(40.673345242689, -73.817707171649)","11420","40.665058","-73.811701","10","28","84602","4257530","4118820001","South Ozone Park                                                           "
"Runaway & Homeless Youth","Crisis Shelter","Ali Forney Center","Brooklyn","Ali Forney Center","212.206.0574",,"241 Taffee Place
,  11205
(40.691595783202, -73.959639288816)",,,,,,,,,
"After-School Programs","Beacon","MS 210","Queens","YMCA Cross Island","718.659.7710","6 and up","93 11 101st Avenue
,  11416
(40.684578097002, -73.849601668482)","11416","40.683858","-73.84747","9","32","38","4188567","4090670001","Woodhaven                                                                  "
"After-School Programs","Beacon","IS 198","Queens","Police Athletic League (PAL)","718.945.7845 ext.10","6 and up","365 Beach 56 Pl
,  11692
(40.592363657028, -73.786560374175)",,,,,,,,,
"After-School Programs","Out of School Time","Apartments","Bronx","New Settlement Apartments","(718) 716-8000","Elementary","1512 Townsend Avenue
,  10452
(40.842289963686, -73.915026305893)","10452","40.842478","-73.914915","4","14","209","2092057","2028450007","West Concourse                                                             "
"Jobs & Internships","Young Adult Internship Program","Good Shepherd Services","Brooklyn","Good Shepherd Services","718.366.7240","16 to 24","82 Wyckoff Avenue
,  11237
(40.704730537808, -73.919962038937)","11237","40.70469","-73.919855","4","37","445","3073648","3032370031","Bushwick North                                                             "
"After-School Programs","Out of School Time","Edith & Carl Marks PS","Brooklyn","Edith and Carl Marks Jewish Community House of Bensonhurst","(718) 331-6800","Elementary","7802 Bay Parkway
,  11214
(40.606424326706, -73.989192742721)","11214","40.606369","-73.989235","11","44","270","3162352","3062640030","Bensonhurst West                                                           "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Intermediate School 168 - Parsons School","Queens","Queens Child Guidance Center","718.651.7770","High School","158 40 76th Road
,  11366
(40.728164407262, -73.792268173937)","11366","40.724458","-73.810216","8","24","1257","4147847","4068260001","Kew Gardens Hills                                                          "
"After-School Programs","Out of School Time","P.S. 260 BREUCKELEN SCHOOL","Brooklyn","Groundwork Inc.","(718) 346-2200","Middle School","875 Williams Avenue
,  11207
(40.654016736913, -73.894829659974)","11207","40.654031","-73.894854","18","42","982","3229155","3081580035","Canarsie                                                                   "
"After-School Programs","Out of School Time","Brownsville Community Center","Brooklyn","The Salvation Army ","(718) 345-7050","Elementary","280 Riverdale Avenue
,  11212
(40.661349382365, -73.906076156407)","11212","40.661364","-73.906124","16","42","918","3082390","3036050010","Brownsville                                                                "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Bridges Juvenile Center","Bronx","Burnside Avenue Office","(718) 732-7523"," High School","1221 Spofford Avenue
,  10474
(40.813944681349, -73.890640373087)","10474","40.813893","-73.890566","2","17","93","2005938","2027380035","Hunts Point                                                                "
"After-School Programs","Teen Action Program","South Asian Youth Action (SAYA)","Queens","South Asian Youth Action (SAYA!)","718.651.3484","13 to 21","54 05 Seabury Street
,  11373
(40.738710402563, -73.878351155182)","11373","40.735303","-73.877474","4","25","475","4064688","4028520006","Elmhurst                                                                   "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","School of Science & (X300)","Bronx","Good Shepherd Services","(917) 709-1378","OST","2050 PROSPECT AVENUE
,  10457
(40.846015052888, -73.887576025246)","10457","40.846236","-73.887405","6","15","371","2012957","2031090001","East Tremont                                                               "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 135 SHELDON BROOKNER SCHOOL","Brooklyn","Episcopal Social Services","(718) 282-3143","Elementary","684 Linden Blvd
,  11203
(40.653578123344, -73.933118105713)","11203","40.65364","-73.933114","17","41","870","3102005","3046730001","East Flatbush-Farragut                                                     "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","CAMBA","Brooklyn","CAMBA","(718) 940-1737 x 424","16+","885 Flatbush Avenue
,  11226
(40.6503755945, -73.958664777259)","11226","40.650229","-73.958658","14","40","794","3117223","3051030028","Erasmus                                                                    "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Council of Jewish Orgainzations of Flatbush, Inc.","Brooklyn","CAMBA Adult Literacy Center","(718) 377-2900"," High School","1550 Coney Island Avenue
,  11230
(40.619697574375, -73.964314154293)","11230","40.619517","-73.964188","12","44","454","3171988","3065460011","Ocean Parkway South                                                        "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Harlem Temple Community Center","Manhattan","The Salvation Army ","(212) 862-3900","OST","540 Lenox Ave
,  10037
(40.815696857939, -73.93961071124)","10037","40.815601","-73.939754","10","9","212","1053901","1017350001","Central Harlem North-Polo Grounds                                          "
"After-School Programs","Out of School Time","CAS-Rhinelander","Manhattan","The Childrens Aid Society","(212) 876-0500","Elem/MS/HS","350 88th Street
,  10128
(40.77864263427, -73.949592584941)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","LaGuardia Community College Immigration Center - CUNY","Queens","Research Foundation of CUNY","718-482-5139","All Ages","10 Thompson Av
,  11101
(40.745702449808, -73.938669029252)",,,,,,,,,
"After-School Programs","Beacon","JHS 45","Manhattan","Supportive Children's Advocacy Network (SCAN)","212.722.4090","6 and up","2351 1st Avenue
,  10035
(40.798869844575, -73.93335561512)","10035","40.798884","-73.933319","11","8","194","1054786","1017970100","East Harlem North                                                          "
