"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_estimated_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_estimated_expense","manhattan_cooperatives_comparable_properties_expense_per_sqft","manhattan_cooperatives_comparable_properties_net_operating_income","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"1-01563-0031","448 84 STREET
New York, NY 
(40.623956031316, -74.027220136339)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","20","1910","9225","332192","36.01","92066","9.98","240126","1772000","192.09","1-01563-0017","443 83 STREET
New York, NY 
(40.62444422171, -74.026379744563)","UPPER EAST SIDE (79-96)","C1-WALK-UP","15","1910","9456","340473","36.01","94395","9.98","246078","1816000","192.05","0","1-01563-0016","441 83 STREET
New York, NY 
(40.624472115619, -74.026425211634)","UPPER EAST SIDE (79-96)","C1-WALK-UP","11","1905","9456","326547","34.53","72684","7.69","253863","1880000","198.82","0","1-01563-0002","1604 1 AVENUE","UPPER EAST SIDE (79-96)","C7-WALK-UP","18","1915","8,875","362,181","40.81","64,262","7.24","297,919","2,250,000","253.52","0"
"1-00864-0041","16 PARK AVENUE
New York, NY 
(40.747636166761, -73.981087443232)","1","10016","40.747696","-73.981208","6","2","74","1017106","1008640041","Midtown-Midtown South                                                      ","MURRAY HILL","D4-ELEVATOR","67","1924","58841","2069438","35.17","585468","9.95","1483970","10976000","186.54","1-00887-0014","121 31 STREET
New York, NY 
(40.598996279769, -73.995557390437)","MURRAY HILL","D3-ELEVATOR","96","1930","58321","2050910","35.17","580070","9.95","1470840","10879000","186.54","0.18","1-00862-0009","9 32 STREET
New York, NY 
(40.600765526017, -73.992569169695)","MURRAY HILL","D9-ELEVATOR","77","1930","39740","1827000","45.97","495256","12.46","1331744","10015000","252.01","0.14","1-00888-0031","153 EAST 32 STREET","MURRAY HILL","D5-ELEVATOR","71","1920","62,188","2,461,481","39.58","815,478","13.11","1,646,003","12,444,000","200.1","0.22"
"1-01523-0001","1197 PARK AVENUE
New York, NY 
(40.785380712331, -73.953262419645)","1","10128","40.785149","-73.953562","8","4","15801","1048384","1015220001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","149","1961","210988","6629243","31.42","2040254","9.67","4588989","34249000","162.33","1-01524-0001","1225 PARK AVENUE
New York, NY 
(40.786055203853, -73.95278577897)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","86","1925","165834","4358929","26.28","1514748","9.13","2844181","20582000","124.11","0.05","1-01624-0045","1501 LEXINGTON AVENUE
New York, NY 
(40.786423925885, -73.950528480676)","HARLEM-EAST","D6-ELEVATOR","161","2001","133370","5334285","40","1688835","12.66","3645450","27552000","206.58","0.14","1-01516-0013","1290 LEXINGTON AVENUE","UPPER EAST SIDE (79-96)","D6-ELEVATOR","123","1962","151,184","4,750,837","31.42","1,462,338","9.67","3,288,499","24,543,000","162.34","0.35"
"1-01392-0046","52 78 STREET
New York, NY 
(40.630994523987, -74.035930811312)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","48","1920","28080","1204913","42.91","303826","10.82","901087","6796000","242.02","1-01412-0012","117 77 STREET
New York, NY 
(40.631199887925, -74.033238618216)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","40","1929","29500","1384419","46.93","380450","12.9","1003969","7545000","255.76","0.1","1-01391-0002","952 5 AVENUE
New York, NY 
(40.775329430265, -73.964904228432)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","38","1923","41287","1605662","38.89","361009","8.74","1244653","9415000","228.04","0.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01507-0001","1140 5 AVENUE
New York, NY 
(40.787323247914, -73.956140250139)","1","10128","40.787205","-73.95594","8","4","16001","1047418","1015070001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","44","1922","77858","2221289","28.53","610407","7.84","1610882","12103000","155.45","1-01602-0033","1240 PARK AVENUE
New York, NY 
(40.786837614018, -73.952515982361)","UPPER EAST SIDE (96-110)","D7-ELEVATOR","39","1920","47822","1628817","34.06","570038","11.92","1058779","7849000","164.13","0.11","1-01602-0050","1391 MADISON AVENUE
New York, NY 
(40.787673983506, -73.953846978964)","UPPER EAST SIDE (96-110)","D7-ELEVATOR","48","1920","44184","1206931","27.32","340829","7.71","866102","6247000","141.39","0.11",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01323-0036","230 50 STREET
New York, NY 
(40.648655911773, -74.016259621121)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","43","1927","53694","2037150","37.94","841385","15.67","1195765","9051000","168.57","1-01324-0042","214 51 STREET
New York, NY 
(40.648307335946, -74.01717959734)","MIDTOWN EAST","D1-ELEVATOR","65","1927","28458","1193848","41.95","312644","10.99","881204","6651000","233.71","0.05","1-01320-0018","235 46 STREET
New York, NY 
(40.587999759579, -73.989276123648)","MIDTOWN EAST","D1-ELEVATOR","63","1938","49914","2234339","44.76","727099","14.57","1507240","11345000","227.29","0.15","1-01342-0045","320 EAST 50 STREET","MIDTOWN EAST","D1-ELEVATOR","36","1960","23,442","811,202","34.6","229,015","9.77","582,187","4,311,000","183.9","0.14"
"1-01795-0035","342 119 STREET
New York, NY 
(40.806853126393, -73.955229068496)","1",,,,,,,,,,"HARLEM-EAST","D4-ELEVATOR","41","2004","59411","1099104","18.5","286955","4.83","812149","5841000","98.32","1-01600-0026","19 116 STREET
New York, NY 
(40.800939332754, -73.947022649585)","HARLEM-CENTRAL","D1-ELEVATOR","38","2008","46774","845710","18.08","234501","5.01","611209","4400000","94.07","0.69","1-01821-0055","132 112 STREET
New York, NY 
(40.799984192877, -73.952829148374)","HARLEM-CENTRAL","D1-ELEVATOR","29","2004","35987","693290","19.27","166916","4.64","526374","3405000","94.62","0.96",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01849-0023","14 MORNINGSIDE AVENUE
New York, NY 
(40.804887007147, -73.958253656908)","1","10026","40.805052","-73.958215","10","9","20102","1055869","1018490023","Central Harlem South                                                       ","MANHATTAN VALLEY","D4-ELEVATOR","36","1903","55458","809687","14.6","389870","7.03","419817","2370000","42.74","1-01845-0014","350 CATHEDRAL PARKWAY
New York, NY 
(40.801217773267, -73.959971361984)","MANHATTAN VALLEY","D1-ELEVATOR","35","1906","31596","503596","15.94","184294","5.83","319302","1545000","48.9","0.3","1-01925-0036","1990 ADAM
New York, NY 
(40.756053999992, -73.986951000288)","HARLEM-CENTRAL","D1-ELEVATOR","45","1940","52680","698668","13.26","433660","8.23","265008","1760000","33.41","0.31",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00908-0037","236 28 STREET
New York, NY 
(40.598874582732, -73.999448716143)","1",,,,,,,,,,"GRAMERCY","D4-ELEVATOR","31","1920","14981","478793","31.96","146514","9.78","332279","2477000","165.34","1-00908-0035","240 28 STREET
New York, NY 
(40.59883948736, -73.999484836197)","GRAMERCY","C7-WALK-UP","31","1920","17569","461460","26.27","193689","11.02","267771","1938000","110.31","0","1-00908-0006","203 27 STREET
New York, NY 
(40.659186156661, -73.998836872127)","GRAMERCY","D7-ELEVATOR","55","1920","25777","970129","37.64","220052","8.54","750077","5512000","213.83","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01789-0005","205 124 STREET
New York, NY 
(40.808434014051, -73.949073605239)","1",,,,,,,,,,"HARLEM-EAST","C6-WALK-UP","20","1930","17400","230550","13.25","131718","7.57","98832","656000","37.7","1-01786-0041","216 122 STREET
New York, NY 
(40.807334723177, -73.950518563603)","HARLEM-EAST","C4-WALK-UP","24","1920","26400","329472","12.48","170808","6.47","158664","913000","34.58","0.15","1-01772-0020","149 123 STREET
New York, NY 
(40.807076466196, -73.947814044645)","HARLEM-CENTRAL","C4-WALK-UP","17","1900","15050","199355","13.25","113919","7.57","85436","567000","37.67","0.13","1-01772-0055","2026 LEXINGTON AVENUE","HARLEM-CENTRAL","C7-WALK-UP","18","1920","18,000","196,683","10.93","118,217","6.57","78,466","485,000","26.94","0.21"
"1-02248-0001","91 PAYSON AVENUE
New York, NY 
(40.868136325467, -73.926759399442)","1","10034","40.868055","-73.926843","12","10","295","1065063","1022480001","Marble Hill-Inwood                                                         ","INWOOD","D4-ELEVATOR","72","1935","82272","1074472","13.06","489518","5.95","584954","3896000","47.36","1-02248-0117","100 SEAMAN AVENUE
New York, NY 
(40.868406122076, -73.92425029098)","INWOOD","D1-ELEVATOR","84","1929","90298","1102969","12.21","468073","5.18","634896","4031000","44.64","0","1-02248-0024","139 PAYSON AVENUE
New York, NY 
(40.868783837328, -73.924960755383)","INWOOD","D1-ELEVATOR","61","1927","61584","856577","13.91","379133","6.16","477444","3145000","51.07","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01120-0017","17 67 STREET
New York, NY 
(40.63960432835, -74.030169187398)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","73","1930","61568","1991725","32.35","469764","7.63","1521961","11329000","184.01","1-01117-0055","56 65 STREET
New York, NY 
(40.640465655095, -74.025510173689)","UPPER WEST SIDE (59-79)","D1-ELEVATOR","53","1937","33312","1193025","35.81","242492","7.28","950533","7021000","210.76","0.14","1-01143-0020","133 71 STREET
New York, NY 
(40.635378987735, -74.031516142339)","UPPER WEST SIDE (59-79)","D3-ELEVATOR","36","1928","30712","887166","28.89","244770","7.97","642396","4823000","157.04","0.26",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01186-0059","321 78 STREET
New York, NY 
(40.629116633195, -74.027824380665)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","56","1925","95992","2623461","27.33","821692","8.56","1801769","12996000","135.39","1-01186-0009","325 77 STREET
New York, NY 
(40.629874338684, -74.027658598517)","UPPER WEST SIDE (59-79)","D3-ELEVATOR","48","1920","41931","1031169","24.59","337447","8.05","693722","5043000","120.27","0.05","1-01229-0006","265 81 STREET
New York, NY 
(40.627355969617, -74.030515608048)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","36","1900","41137","1236899","30.07","372536","9.06","864363","6474000","157.38","0.18",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01579-0005","505 82 STREET
New York, NY 
(40.624253804375, -74.024565323246)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","54","1950","47680","1390826","29.17","347587","7.29","1043239","7828000","164.18","1-01576-0049","1510 YORK AVENUE
New York, NY 
(40.771944841213, -73.95002486034)","UPPER EAST SIDE (79-96)","D1-ELEVATOR","26","1937","22902","622705","27.19","249174","10.88","373531","2695000","117.68","0.15","1-01472-0034","440 78 STREET
New York, NY 
(40.628063410359, -74.024967128814)","UPPER EAST SIDE (59-79)","D1-ELEVATOR","47","1936","44856","1428691","31.85","369557","8.24","1059134","7898000","176.07","0.29",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01582-0023","120 END AVENUE
New York, NY 
(40.563412711897, -74.178754947608)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","34","1931","211270","6439510","30.48","2345097","11.1","4094413","30617000","144.92","1-01565-0035","430 86 STREET
New York, NY 
(40.622354181728, -74.02770022085)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","133","1931","205967","6202875","30.12","2207926","10.72","3994949","29918000","145.26","0.14","1-01547-0023","351 84 STREET
New York, NY 
(40.624709467036, -74.029033943208)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","187","1970","261150","8168036","31.28","2589964","9.92","5578072","41643000","159.46","0.28",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01249-0029","565 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","100","1938","155906","3833729","24.59","1719643","11.03","2114086","15368000","98.57","1-01249-0057","155 RIVERSIDE DRIVE
New York, NY 
(40.791046441116, -73.979558595782)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","64","1930","87129","2415834","27.73","979620","11.24","1436214","10347000","118.75","0","1-01236-0010","2401 BROADWAY
New York, NY 
(40.789823363156, -73.975439700888)","UPPER WEST SIDE (79-96)","D6-ELEVATOR","79","1924","164530","4045715","24.59","1637270","9.95","2408445","17508000","106.41","0.13","1-01235-0010","2381 BROADWAY","UPPER WEST SIDE (79-96)","D7-ELEVATOR","44","1900","60,500","1,469,611","24.29","576,395","9.53","893,216","6,498,000","107.4","0.12"
"1-00484-0001","84 MERCER STREET
New York, NY 
(40.72303970926, -73.999910253305)","1","10012","40.722937","-74.000007","2","1","49","1083498","1004840001","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","D0-ELEVATOR","26","1880","125590","4218568","33.59","1198129","9.54","3020439","22427000","178.57","1-00178-0016","217 BROADWAY
New York, NY 
(40.711627312708, -74.008408846482)","CIVIC CENTER","D6-ELEVATOR","8","2005","26981","903594","33.49",,,"903594","11295000","418.63","0.4","1-00372-0060","274 2 STREET
New York, NY 
(40.675867254419, -73.987892314336)","ALPHABET CITY","D7-ELEVATOR","103","1997","80500","2764792","34.35","660879","8.21","2103913","15587000","193.63","1.05",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01407-0051","1017 LEXINGTON AVENUE
New York, NY 
(40.77091062088, -73.961841951805)","1","10021","40.771","-73.961774","8","4","128","1042858","1014070051","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","46","1923","97328","3300392","33.91","975227","10.02","2325165","17254000","177.28","1-01409-0021","1033 LEXINGTON AVENUE
New York, NY 
(40.771908868332, -73.961122494181)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","35","1923","71189","2336130","32.82","868302","12.2","1467828","10916000","153.34","0.1","1-01409-0042","192 75 STREET
New York, NY 
(40.632130015803, -74.030723663133)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","43","1927","40249","1408542","35","315371","7.84","1093171","8088000","200.95","0.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01501-0056","1246 MADISON AVENUE
New York, NY 
(40.783168380139, -73.957120511151)","1","10128","40.783083","-73.957203","8","4","15002","1046978","1015010056","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","60","1929","166317","4310937","25.92","1496853","9","2814084","20240000","121.7","1-01497-0009","1150 MADISON AVENUE
New York, NY 
(40.780542359813, -73.959045060294)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","360","1923","472600","14804490","31.33","4531971","9.59","10272519","76683000","162.26","0.2","1-01521-0059","130 93 STREET
New York, NY 
(40.619530049611, -74.036926446652)","UPPER EAST SIDE (79-96)","D1-ELEVATOR","27","1925","20375","528034","25.92","183334","9","344700","1540000","75.58","0.25","1-01521-0064","118 EAST 93 STREET","UPPER EAST SIDE (79-96)","D3-ELEVATOR","38","1926","42,857","977,770","22.81","205,313","4.79","772,457","5,642,000","131.65","0.25"
"1-01333-0042","304 41 STREET
New York, NY 
(40.591022599781, -73.992174910319)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","200","1928","128798","4241318","32.93","1569735","12.19","2671583","19865000","154.23","1-00944-0001","710 2 AVENUE
New York, NY 
(40.747474288796, -73.973919846658)","KIPS BAY","D6-ELEVATOR","157","1930","122247","3859313","31.57","985095","8.06","2874218","21445000","175.42","0.1","1-01317-0030","230 44 STREET
New York, NY 
(40.589697075385, -73.989843881531)","MIDTOWN EAST","D6-ELEVATOR","166","1963","135315","4455640","32.93","1261075","9.32","3194565","23753000","175.54","0.19","1-01300-0050","140 EAST 46 STREET","MIDTOWN CBD","D6-ELEVATOR","202","1924","131,175","4,831,016","36.83","1,354,602","10.33","3,476,414","25,598,000","195.14","0.34"
"1-00263-0008","453 F D R DRIVE
New York, NY 
(40.756053999992, -73.986951000288)","1","10002","40.712862","-73.977798","3","2","202","1083400","1002630008","Lower East Side                                                            ","LOWER EAST SIDE","D4-ELEVATOR","836","1955","923000","21127470","22.89","9248460","10.02","11879010","86759000","94","1-00246-0001","257 SOUTH STREET
New York, NY 
(40.71006725939, -73.98995471254)","LOWER EAST SIDE","D6-ELEVATOR","254","1978","262875","6647247","25.29","2111998","8.03","4535249","31565889","120.08","0.45","1-00273-0017","191 MADISON STREET
New York, NY 
(40.712580594059, -73.990764148267)","LOWER EAST SIDE","D1-ELEVATOR","24","1910","8995","205854","22.89","90133","10.02","115721","845000","93.94","0.62","1-00354-0022","149 NORFOLK STREET","LOWER EAST SIDE","D1-ELEVATOR","35","1912","22,404","328,004","14.64","108,280","4.83","219,724","1,517,000","67.71","0.64"
"1-01245-0039","326 83 STREET
New York, NY 
(40.625485746769, -74.029418519194)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","30","1920","19362","508059","26.24","162641","8.4","345418","2500000","129.12","1-01247-0013","349 85 STREET
New York, NY 
(40.624047492389, -74.029371848042)","UPPER WEST SIDE (79-96)","D2-ELEVATOR","36","1920","24192","560459","23.17","193147","7.98","367312","2681000","110.82","0.15","1-01247-0015","343 85 STREET
New York, NY 
(40.624084783686, -74.029527849967)","UPPER WEST SIDE (79-96)","D2-ELEVATOR","47","1920","24216","678633","28.02","180463","7.45","498170","3586000","148.08","0.15",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01253-0004","224 RIVERSIDE DRIVE
New York, NY 
(40.795120369908, -73.976087212749)","1","10025","40.795152","-73.976163","7","6","183","1034176","1012530004","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","D4-ELEVATOR","29","1910","25270","570091","22.56","255732","10.12","314359","2298000","90.94","1-01253-0016","311 94 STREET
New York, NY 
(40.617828725558, -74.03301918208)","UPPER WEST SIDE (79-96)","D1-ELEVATOR","24","1930","22290","704879","31.62","182236","8.18","522643","1991000","89.32","0","1-01252-0024","308 93 STREET
New York, NY 
(40.618672735919, -74.032715071379)","UPPER WEST SIDE (79-96)","D1-ELEVATOR","48","1927","25890","693201","26.77","230807","8.91","462394","3342000","129.08","0.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01393-0009","7 78 STREET
New York, NY 
(40.631658459452, -74.038125383157)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","12","1920","12214","448620","36.73","114934","9.41","333686","2458000","201.24","1-01391-0002","952 5 AVENUE
New York, NY 
(40.775329430265, -73.964904228432)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","38","1923","41287","1605662","38.89","361009","8.74","1244653","9415000","228.04","0.1","1-01390-0009","7 75 STREET
New York, NY 
(40.633587245453, -74.036619171326)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","20","1910","13580","469477","34.57","136775","10.07","332702","2464000","181.44","0.15",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01444-0043","310 70 STREET
New York, NY 
(40.634723017233, -74.026144644203)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","136","1959","119000","3568810","29.99","915110","7.69","2653700","19878000","167.04","1-01424-0010","219 69 STREET
New York, NY 
(40.636396520941, -74.028079748202)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","145","1957","163875","4914187","29.99","1259445","7.69","3654742","27376000","167.05","0.14","1-01447-0005","311 72 STREET
New York, NY 
(40.633459448284, -74.026606697169)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","131","1929","121234","3749269","30.93","1393762","11.5","2355507","17598000","145.16","0.15","1-01447-0023","1347 1 AVENUE","UPPER EAST SIDE (59-79)","D6-ELEVATOR","145","1962","165,527","4,861,515","29.37","1,778,511","10.74","3,083,004","23,123,000","139.69","0.15"
"1-01724-0033","2042 5 AVENUE
New York, NY 
(40.807279203744, -73.941616199366)","1","10035","40.807189","-73.941713","10","9","208","1053567","1017240033","Central Harlem North-Polo Grounds                                          ","HARLEM-CENTRAL","D4-ELEVATOR","48","1940","39888","442358","11.09","260868","6.54","181490","1120000","28.08","1-01912-0008","147 127 STREET
New York, NY 
(40.809657923425, -73.94585604488)","HARLEM-CENTRAL","D1-ELEVATOR","24","1910","21096","193757","9.18","114813","5.44","78944","470000","22.28","0.19","1-01729-0052","50 132 STREET
New York, NY 
(40.810040935446, -73.937152838893)","HARLEM-CENTRAL","D3-ELEVATOR","47","1972","38680","502543","12.99","295395","7.64","207148","1381000","35.7","0.24",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
