"ceqr","project_name","project_description","borough","lead_agency","url"
"02BSA016Q","101-93 Astoria Boulevard aka 27-31 Kearney Street","Construction of a one story building for use as retail stores","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2957-02BSA016Q"
"02BSA028M","245 East 36th Street","A variance from the NYC BSA for the following:  commerical use provided above the second floor, height and setback controls for tower on a base, rear yard equivalents for commercial, transparency at 37th St and increased accessory parking.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4673-02BSA028M"
"04BSA175Q","103-16 Roosevelt Avenue","Two Changes to the existing 3 story commerical building. To permit the redevelopment of a mixed use building which does not comply with the ZR for commerical floor area, commerical uses above the 2nd floor, off street parking and loading berths","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4225-04BSA175Q"
"15BSA161X","5510 Broadway","Special Permit (§73-36) to allow the operation of a physical culture establishment within portions of a existing building.  C8-2 (OP) zoning district","Bronx","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11262-15BSA161X"
"04BSA157K","Variance 459 Carroll Street","A variance to convert an existing light manufacturing building to a 2 family residence","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3998-04BSA157K"
"01BSA096K","137 Taaffe Place","New residential building (Use Group 2)","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3569-01BSA096K"
"02BSA001X","1153 Grand Concourse","The legalization of a grocery store and record store Application July 2, 2001 - under Z.R. §72- 21, to permit the legalization of a retail and commercial use (grocery store and record shop) located in an R8 zoning district, which is non-conforming and therefore is contrary to Z.R.§22-00, §22-10 and §122-03.","Bronx","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2946-02BSA001X"
"04BSA179M","124 West 24th Street Variance","Pursuant to Sec 72-21 of the Z R to allow the conversion of the upper floors of a 6 story blding to residential use. The 31, 763 sq ft building would have 20 apartments. Current M1-6 zoning prohibits residential use. Exisiting ground floor retail will remain","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4175-04BSA179M"
"04BSA155M","526 West 22nd Street","Pursuant to Sec 72-21 of the ZR to request a variance of Sec 42-00 to permit construction of a mixed-use and commerical building within an M1-5 zoning district","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4015-04BSA155M"
"04BSA137Q","Coliseum Gym and Fitness Center","Pursuant to Sec 73-36 of the ZR to permit in a M1-1 zoning district, the legalization of a change in occupancy from a factory & storage building to a physical culture establishment, requiring a special permit from the BSA","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4017-04BSA137Q"
"04BSA174M","500 Canal Street Project","Use and Bulk variance pursuant to Sec 72-21 of the ZR to permit construction and operatio of a mixed-use building in an M1-5 zoning district located within an Area B-2 of the Special Tribeca Mixed-Use District.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4167-04BSA174M"
"01BSA094K","103 Taaffe Place","New residential building (Use Group 2)","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3567-01BSA094K"
"04BSA145M","866 Third Avenue","72-21 to vary the 23-47 rear yard requirement for an existing blding in which Condo Unit #3, located on floors 12-30 of the building, would be converted from the current hotel use to a proposed 200 (or a max of 209) residential dewelling units","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4011-04BSA145M"
"02BSA011R","135 Parkinson Avenue aka 1217 Hylan Boulevard","The reduction in the number of required parking spaces for not for profit offices, which requires a special permit as per ZR 73-44","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2952-02BSA011R"
"04BSA143M","Park East Day School","Bulk variance under sec 72-21 of the ZR, which would permit construction of an 8 story addition adjacent to an existing 8 story school building. It would enable the school to increase the flr area by approximately 3762 sq ft over the allowable FAR.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4021-04BSA143M"
"04BSA120Q","Aldona Fire Protection","A variance pursuant to Sec 72-21 of the ZR to modify the permitted floor area, yard and height and setback regulations in an M1-1 zoning district for the enlargement of an existing 2 story building for AFP Holding Inc.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3940-04BSA120Q"
"15BSA016M","11 Avenue A","Variance (§72-21) to permit multi-family residential use at the Premises within an R8A/C2-5 zoning district","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10631-15BSA016M"
"01BSA149Q","73-15 Parsons Boulevard","The construction of a new auto service station/convenience store/installation of underground gasoline storage tanks","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2902-01BSA149Q"
"04BSA162K","Rapelye Street Residential","Pursuant to Sec 72-21 of the ZR to permit in an M1-1 zoning district, the construction of a 4 unit mulitple dwelling on a vacant lot, which is contrary to the district use regulations. It would permit construction of a 4 story and cellar, 4 family dwelling","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4003-04BSA162K"
"04BSA191K","182 Malcom X Boulevard","Pursuant to Sec 72-21 of the Z R to vary secton 23-141 (lot coverage and floor area) 23-45 (front yards) 25-23 (parking) 23-631 (hgt) and 23-22 (dwelling units) The variance seeks to authorize a 4 story residential development located in a R5 zoning district","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4177-04BSA191K"
"01BSA119Q","134-02 Cross Bay Boulevard","The legalization of commercial use in an existing 2-story building","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2917-01BSA119Q"
"20DCP134R","SD SS 3651 Richmond Avenue","A private application by Frank Barton requesting CPC certification of future subdivision from one zoning lot to four zoning lots pursuant to ZR 119-08 at 3651 Richmond Avenue in Eltingville neighborhood within Special South Richmond District, Staten Island","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15021-20DCP134R"
"01BSA144Q","105-45 Crossbay Boulevard","The enlargement of an existing eating and drinking establishment","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2899-01BSA144Q"
"01BSA146K","2591-2613 Atlantic Avenue aka 53-59 Georgia Avenue","The enlargement of an existing structure for use as an automobile laundry, lubrication and detailing establishment","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2900-01BSA146K"
"11BSA007M","Jivamukti Yoga Studio/841 Broadway","Special Permit to operate a physical culture establishment (Jivamukti Yoga Studio).","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7303-11BSA007M"
"19DEP013Y","Proposed Rules Concerning Drilling and Excavation",,"Citywide","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13950-19DEP013Y"
"11BSA072M","86-88 Franklin Street","Special Permit 73-36 to allow the operation of a physical culture establishment (Acqua Ancien Bath) C6-2A zoning district","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7808-11BSA072M"
"18DEP010M","Replacement of Main Hydraulic System at North River WTTP","Replacement of main hydraulic system including sluice gates and actuators.","Manhattan","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13223-18DEP010M"
"13BSA001K","2373 East 70th Street","Application filed for special permit in legalizing a discontinuation of a one car garage within an existing one family home. Converting the space into a recreational area inconjunction with same use.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8969-13BSA001K"
"13DCP038Q","Air Train Area Streetscape Text Amendment","The proposed text amendment would change rules affecting street wall location, required setbacks, sidewalk widenings, ground floor transparency, curb cut restrictions in a portion of the Special Downtown Jamaica District in Queens Community District 12.","Queens","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9162-13DCP038Q"
"19BSA018M","2130 	Broadway","Special Permit (§73-36) to permit the operation of a Physical Cultural Establishment (Flywheel Sports) to be in a portion of the cellar of an existing building Contrary to ZR §32-10.  C4-6A Special Enhanced Commercial District, NYC Designated Interior Landmark Building.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14065-19BSA018M"
"11TLC026X","Azteca Car Service","Application to relocate a livery car service.  The proposed location for the dispatch office and off-street parking facility is at 2898 Jerome Avenue a.k.a. 5 Minerva Place, Bronx, N.Y. 10468.","Bronx","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7591-11TLC026X"
"11DEP048U","Catskill Aqueduct Influent Chamber Alum Discharge SPDES Permit Renewal","DEP proposes to renew the Catskill Aqueduct Influent Chamber (CATIC) Alum Discharge SPDES Permit that was issued by the New York State Department of Environmental Conservation (NYSDEC). The purpose of the SPDES permit renewal is to allow DEP to continue to use aluminum sulfate and sodium hydroxide to control turbidity from the Catskill Aqueduct when it discharges into Kensico Reservoir.","Upstate","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7927-11DEP048U"
