"contracting_company","company_representative","representative_phone","representative_email","site_address","block","lot","borough","work_description","keywords","contract_amount","start_date","zip_code","cb","upload_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Carthage Nexus Canada LP","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","20 West 116 Street","1599","44","Manhattan","Commerical, new building","electrical, sprinklers, plumbing, windows, elevators, etc.","$14,000,000.00","2020-03-01T00:00:00.000","10026","Manhattan 10","2021-09-26T09:18:55.000","40.800942","-73.947143","10","9","190","1051420","1015990044","Central Harlem South"
"Chick-Fil-A, Inc.","Ryan, LLC","412 889-6434","michael.falleroni@ryan.com","144 Fulton Street","79","25","Manhattan","Retail, alteration","demolition, concrete, masonry, arch. Metal & glass, roofing, storefronts, windows, drywall, hvac, tile and stone, elevators, sprinkler, plumbing, etc.","$6,500,000.00","2016-08-15T00:00:00.000","10038","Manhattan 1","2021-09-26T09:18:55.000","40.710577","-74.008466","1","1","1502","1001223","1000790025","Battery Park City-Lower Manhattan"
"GO HPS LLC","Tuchman, Korngold, Weiss, Liebman & Lindemann, LLP","212 687-3747","bgottlieb@tkwll.com","1-15 57th Avenue","6","30","Queens","New Building, commercial, retail, residential","Foundations, Superstructure, Roofing, Sprinkler, Storefront, HVAC, Electric, Plumbing.","$2,898,000.00","2020-01-01T00:00:00.000","11101","Queens 2","2021-09-26T09:18:55.000","40.739054","-73.961601","2","26","1","4000000","4000060030","Hunters Point-Sunnyside-West Maspeth"
"25-30 Columbia Heights (Brooklyn) LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","51-65 Furman Street","204","1","Brooklyn","Commercial, alteration","electrical, carpentry, hvac, plumbing, etc.","$30,000,000.00","2017-05-01T00:00:00.000","11201","Brooklyn 2","2021-09-26T09:18:55.000","40.701709","-73.995438","2","33","1","3426951","3002080002","Brooklyn Heights-Cobble Hill"
"DOLP 825 Properties II LLC","Rosenberg & Estis PC","212 551-1257","dbernstein@rosenbergestis.com","825 Third Avenue","1324","1","Manhattan","Commercial, retail, alteration","concrete, masonry, structural, steel, millwork, roofing, electric, waterproofing, drywall, ceramic, stone, painting, elevators, fire protection, hvac","$102,358,945.00","2019-05-01T00:00:00.000","10022","Manhattan 6","2021-09-26T09:18:55.000","40.755733","-73.970171","6","4","98","1081185","1013240001","Turtle Bay-East Midtown"
"Skyhill LLC","Law Office of Thomas Berinato","718 575-3400","tberinato@verizon.net","70-25 Queens Boulevard","1352","32","Queens","Commercial, retail, new building","Plumbing, electric, carpentry, etc.","$26,916,700.00","2017-07-01T00:00:00.000","11354","Queens 2","2021-09-26T09:18:55.000","40.739798","-73.893326","2","26","485","4607500","4013520009","Elmhurst-Maspeth"
"4201 Main Street","Robert S. Altman Esq. PLLC","212 232-8713","rsalaw@nyctaxbreak.com","136-18 Maple Avenue","5135","3","Queens","Commercial, new building","foundation, plumbing, sprinkler, electric, hvac, interior/exterior work, elevator","$3,000,000.00","2020-04-01T00:00:00.000","11355","Queens 5","2021-09-26T09:18:55.000","40.755534","-73.827890","7","20","853","4000000","4051350003","Flushing"
"Luciano LLC","Law Office of Thomas Berinato","718 575-3400","tberinato@verizon.net","124-22 Queens Boulevard","3359","21","Queens","Commercial, residential, new bldg.","electrical, structural foundation","$10,000,000.00","2015-12-01T00:00:00.000","11415","Queens 9","2021-09-26T09:18:55.000","40.712743","-73.827214","9","29","216","4080160","4033590021","Kew Gardens"
"707 11 Owner LLC","Tener Consulting Services LLC","212 337-0120","dtener@tener.net","601 West 50th Street","1098","29","Manhattan","Commercial, Alteration","electrical, plumbing, hvac, etc.","$10,025,000.00","2020-01-30T00:00:00.000","10019","Manhattan 4","2021-09-26T09:18:55.000","40.766019","-73.994932","4","3","135","1027134","1010980029","Clinton"
"147th Place LLC","Ben Rottenstein Associates","718 855-6110","aj@jackjaffa.com","97-26 147th Place","10031","15","Queens","Hotel, new building","electric, plumbing, elevator, hvac, etc.","$7,000,000.00","2016-08-01T00:00:00.000","11435","Queens 12","2021-09-26T09:18:55.000","40.697375","-73.804870","12","28","208","4000000","4100310014","Jamaica"
"477 Madison LLC","Tener Consulting Services LLC","212 337-0120","dtener@tener.net","477 Madison Avenue","1287","21","Manhattan","Commercial, Retail, Alteration","hvac, electrical, plumbing, etc.","$20,000,000.00","2019-09-25T00:00:00.000","10022","Manhattan 5","2021-09-26T09:18:55.000","40.758715","-73.974956","5","4","102","1035471","1012870021","Midtown-Midtown South"
"Curbcut Queens Boulevard LLC","Tuchman, Korngold, Weiss, Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwlg.com","38-01 Queens Boulevard","219","9","Queens","Commercial, retail, new building","concrete, structure, thermal & moisture protection, partitions, doors, finishes, elevator, fire protection, plumbing hvac, electrical","$70,000,000.00","2016-11-01T00:00:00.000","11101","Queens 2","2021-09-26T09:18:55.000","40.744123","-73.926910","2","26","179","4000000","4002190009","Hunters Point-Sunnyside-West Maspeth"
"JLR Brooklyn RE LLC","The Eagleton Kathe Company","305 234-1944","jim@eagletonkathe.com","809 Neptune Avenue","7247","113","Brooklyn","Commercial, retail, new building","electrical, carpentry, hvac, plumbing","$20,000,000.00","2017-01-01T00:00:00.000","11224","Brooklyn 13","2021-09-26T09:18:55.000","40.579814","-73.976402","13","47","348","3000000","3072470113","Seagate-Coney Island"
"FRV Phase 1 Commercial LLC","Tuchman, Korngold, Weiss, Leibman & Lindermann, LLP","212 687-3747","bgottlieb@tkwlg.com","1725 Village Lane","15537","1","Queens","Commercial","earthwork, foundation, excavation, underpipping, superstructure, brick, structural steel, wood & plastics, roofing, waterproffing, fireproofing, doors, storefront, drywall, carpentry, tile, stone, painting, signage, fire suppressionhvac, electrical, plumbing, specialties, equipment,","$7,866,704.00","2019-02-15T00:00:00.000","11691","Queens 14","2021-09-26T09:18:55.000",,,,,,,,
"Harmony Rockaway LLC","Brandt, Steinberg, Lewis & Blond LLP","212 629-4272","ikeating@bsl-taxcert.com","90-01 Beach Channel Drive","16124","33","Queens","commercial, alteration, addition","hvac, electrical, plumbing","$11,758,960.00","2016-04-01T00:00:00.000","11693","Queens 14","2021-09-26T09:18:55.000","40.589316","-73.815656","14","32","94202","4303515","4161240033","Hammels-Arverne-Edgemere"
"2701 Emmons Avenue Project LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","2701 Emmons Avenue","8790","59","Brooklyn","Commercial, alteration, addition to new space","carpentry, steel, painting, plumbing, hvac, etc.","$5,000,000.00","2016-10-21T00:00:00.000","11235","Brooklyn 15","2021-09-26T09:18:55.000","40.583811","-73.941360","15","48","608","3247426","3087900059","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"85 Jay Street Brooklyn Venture LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","85 Jay Street","54","1","Brooklyn","Commercial, retail, new building","foundation, fa̤ade, window, electrical, plumbing, metal work, concrete, etc.","$60,000,000.00","2017-12-01T00:00:00.000","11201","Brooklyn 2","2021-09-26T09:18:55.000","40.702063","-73.986703","2","33","21","3000000","3000540001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"4201 Main Street","Robert S. Altman Esq. PLLC","212 232-8713","rsalaw@nyctaxbreak.com","136-20 Maple Avenue","5135","3","Queens","Commercial, new building","foundation, plumbing, sprinkler, electric, hvac, interior/exterior work, elevator","$19,500,000.00","2020-04-01T00:00:00.000","11355","Queens 5","2021-09-26T09:18:55.000","40.755534","-73.827886","7","20","853","4000000","4051350003","Flushing"
"823 39th Street Brooklyn LLC","SJP Tax Consultants, Inc.","(718) 767-8216","sp@sjpny.com","833 39th Street","908","162","Brooklyn","New Building, Commercial","electrical, plumbing, hvac, etc.","$8,000,000.00","2015-07-01T00:00:00.000","11204","Brooklyn 12","2021-09-26T09:18:55.000","40.646778","-73.996461","12","38","90","3330494","3009080162","Sunset Park East"
"230 PAS LLC","Podell,Schwartz,Schechter","212 883-6500 x285","pgreco@pssb-law.com","230 Park Avenue South","847","40","Manhattan","Commercial alteration, retail","demolition, flooring, stone, carpet, cabinery, appliances, security (CCTV, turnstiles, access control), carpentry, painting, wall covering, drywall, doors/hollow metal, doors/wood, framing, acoustical, electrical, lighting, fire alarm, life safety, sprinkler, plumbing, hvac, sheet metal/ductwork, Architectural metal, steel, roofing, masonry, glazier, hardware, fireproofing, elevator, elevator cab, specialties, teledata/wiring specialties, signs, generator, furniture, window treatments","$45,000,000.00","2018-07-01T00:00:00.000","10003","Manhattan 5","2021-09-26T09:18:55.000","40.737882","-73.988749","5","2","52","1016152","1008470040","Hudson Yards-Chelsea-Flatiron-Union Square"
"Kelly's Properties LLC","Law Office of Thomas E. Berinato","718 575-3400","tberinato@verizon.net","84-11 37 Avenue","1458","35","Jackson Heights","Commercial, residential, alteration, addition to existing space","plumbing, electrical, elevator, etc.","$8,000,000.00","2017-09-01T00:00:00.000","11372","Queens 3","2021-09-26T09:18:55.000","40.749971","-73.882244","3","25","281","4035834","4014580035","Jackson Heights"
"SIP Holdings Venture, LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","50 21st Street","635","13","Brooklyn","Commercial, new building","Fa̤ade, HVAC, electrical, carpentry, drywall, masonry, etc.","$50,000,00.00","2020-08-31T00:00:00.000","11232","Brooklyn 7","2021-09-26T09:18:55.000","40.664589","-73.998724","7","38","18","3009123","3006350100","Sunset Park West"
"300 East 42nd Street Owner LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","300 East 42nd Street aka 768 2nd Avenue","1334","1","Manhattan","Commercial, retail","demoliton, plumbing, elevator, electrical, HVAC, roof, fa̤ade, painting, capentry, etc.","$28,200,000.00","2019-12-26T00:00:00.000","10017","Manhattan 6","2021-09-26T09:18:55.000",,,,,,,,
"Triangle 613 LLC","Ben Rottenstein Associates","718 855-6110","aj@jackjaffa.com","1506 Coney Island Avenue","6536","28, 30, 34, 40, 41, 42, 43, 45","Brooklyn","Commercial, retail, new building","electrical, concrete, plumbing, hvac, demolition, etc.","$86,058,101.00","2019-04-19T00:00:00.000","11230","Brooklyn 12","2021-09-26T09:18:55.000","40.620911","-73.964454","12","44","454","3000000","3065360045","Ocean Parkway South"
"Flushing Steward Holdings LLC","Ben Rottenstein Associates","718 855-6110","aj@jackjaffa.com","25 Steward Avenue","2994","75","Brooklyn","Retail, Hotel, new building","hvac, Glass & Glazing, Drywall, Carpentry, Masonry, Plbg., etc.","$25,459,875.00","2017-04-15T00:00:00.000","11237","Brooklyn 1","2021-09-26T09:18:55.000",,,,,,,,
"378 Schermerhorn Street LLC","Seiden & Schein PC","212 935-1400","taxincentives@seidenschein.com","489 State Street","174","13, 9, 10, 11","Brooklyn","Commercial, retail, new building","electrical, sprinklers, plumbing, windows, elevators, etc.","$3,500,000.00","2020-05-01T00:00:00.000","11217","Brooklyn 2","2021-09-26T09:18:55.000","40.685637","-73.979408","2","33","39",,,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Ellis Storage LLC Insite Property Group","Brandt, Steinberg, Lewis & Blond LLP","212 563-2200","ikeating@bsl-taxcert.com","16 Ellis Street","7987","1, 5, 15","Staten Island","Commercial renovation","electrical, plumbing, hvac, etc.","$14,600,000.00","2020-01-01T00:00:00.000","10307","Staten Island 3","2021-09-26T09:18:55.000","40.517379","-74.241109","3","51","248",,,"Charleston-Richmond Valley-Tottenville"
"LaGuardia Assoc. LP","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","104-04 Ditmars Boulevard","1640","25","Queens","Alteration of Hotel","Electrical, Metal Work, Plumbing & Carpentry","$4,894,941.00","2015-07-01T00:00:00.000","11369","Queens 3","2021-09-26T09:18:55.000","40.767715","-73.866570","3","21","357","4312893","4016400025","East Elmhurst"
"215 Moore St Acquisition LLC","Ben Rottenstein Assoc.","718 855-6110","aj@jackjaffa.com","205, 207, 209, 215 Moore Street","3100","47, 56","Brooklyn","Commercial, new building","hvac, electric, plumbing, carpentry, elevators, concrete, windows","$4,500,000.00","2016-03-01T00:00:00.000","11206","Brooklyn 1","2021-09-26T09:18:55.000",,,,,,,,
"Shore Tower Group, LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","1301 Surf Ave.","7064","16","Brooklyn","Commercial, Alteration","demolition, electrical, hvac, etc.","$35,000,000.00","2017-01-15T00:00:00.000","11224","Brooklyn 13","2021-09-26T09:18:55.000","40.575574","-73.981296","13","47","348","3189607","3070640016","Seagate-Coney Island"
"40-05 Skillman Avenue LIC LLC","Ben Rotteinstein Associates","718 855-6110","aj@jackjaffa.com","40-05 Skillman Avenue","183","292","Queens","Industrial, commercial, alteration","electrical, plumbing, hvac, carpentry, etc.","$4,000,000.00","2020-09-01T00:00:00.000","11104","Queens 2","2021-09-26T09:18:55.000","40.747203","-73.923417","2","26","171","4002375","4001830292","Hunters Point-Sunnyside-West Maspeth"
"NRG Berrians East Development LLC","Sive, Paget & Riesel PC","646-378-7215","jpcurran@sprlaw.com","31-01 20th Avenue","850","1, 200","Queens","New Building, Alteration, Industrial","electrical, plumbing, hvac, etc.","$385,000,000.00","2021-06-01T00:00:00.000","11105","Queens 1","2021-09-26T09:18:55.000","40.779328","-73.905720","1","22","10701","4546438","4008500001","Steinway"
"YWA- Amsterdam LLC","Law Office of Thomas E. Berinato","718 273-3080","acomo@nyrets.com","2420-2430 Amsterdam Avenue","10033","77, 83","Manhattan","Commercial, hotel, new building","concrete, steel, electrical, carpentry,  plumbing, masonry, fa̤ade, flooring","$165,087,171.00","2018-01-01T00:00:00.000","10014","Manhattan 12","2021-09-26T09:18:55.000","40.847552","-73.931315","12","10","269","1000000","1021520083","Washington Heights North"
"59-02 Borden Ave LLC","Akerman LLP","212 259-6402","joshua.rinesmith@akerman.com","59-02 Bprden Avenue","2657","50","Queens","Commercial, new building","electrical, plumbing, hvac, etc.","$16,058,000.00","2021-04-01T00:00:00.000","11378","Queens 2","2021-09-26T09:18:55.000",,,,,,,,
"221 Jamaica Ave LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","222-25 Jamaica Avenue","10741","248","Queens","Commercial, new building","GC, masonry, plumbing, etc.","$10,000,000.00","2018-11-15T00:00:00.000","11428","Queens 13","2021-09-26T09:18:55.000","40.720720","-73.731921","13","23","564","4000000","4107410048","Queens Village"
"One Penn Plaza LLC","Podell, Scwartz, Schechter & Banfield, LLP","212-883-6500","pgreco@pssb-law.com","1 Penn Plaza","783","70","Manhattan","Commercial, Retail, alteration","demolition, concrete, masonry, maintenance, etc.","$180,000,000.00","2018-09-15T00:00:00.000","10119","Manhattan 5","2021-09-26T09:18:55.000","40.751098","-73.992926","5","3","101","1014387","1007830070","Midtown-Midtown South"
"250 West 43 Owner LLC","Seiden & Schein PC","212 935-1400","jayseiden@seidenschien.com","250 West 43rd Street","1014","55","Manhattan","Commercial, hotel, alteration","elevator, masonry, hvac, windows, electrical, plumbing, concrete, concrete, etc.","$53,000,000.00","2017-01-01T00:00:00.000","10036","Manhattan 5","2021-09-26T09:18:55.000","40.757301","-73.987883","5","3","119","1085096","1010140055","Midtown-Midtown South"
"GCC, LLC","Ben Rottenstein Associates, Inc.","718 855-6110","aj@jackjaffa.com","125-12 31st Avenue","4381","1","Queens","Commercial abatement","foundation, steelwork, plumbing, sprinkler, partitions, sheet rock, electric, elevator, window, pile, air conditioning, masonry","$11,105,516.00","2014-09-01T00:00:00.000","11354","Queens 1","2021-09-26T09:18:55.000","40.769414","-73.843133","7","19","907","4000000","4043810001","College Point"
"Edge 147 LLC","Ben Rotterstein Associates","718-855-6110","aj@jackjaffa.com","218 West 147th Street","2032","17","Manhattan","Commercial, alteration","Demolition, carpentry/drywall, flooring, plumbing, electrical, lighting, painting & tile, HVAC, fire alarm, specialties, specialties, others","$2,800,000.00","2021-05-01T00:00:00.000","10039","Manhattan 10","2021-09-26T09:18:55.000","40.823310","-73.939043","10","9","234","1060503","1020320017","Central Harlem North-Polo Grounds"
