UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,DigiDMacht,Grondslag,Grondslaglabel,Grondslaglink
invoerrechten vrijstelling,http://standaarden.overheid.nl/owms/terms/invoerrechten_vrijstelling,X,,,,X,X,,B4,,,,,,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1186_2009_art_17,Artikel 17 Verordening (EG) Nr. 1186/2009 van de raad van 16 november 2009 betreffende de instelling van een communautaire regeling inzake douanevrijstellingen,https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:02009R1186-20091230&qid=1664445286268&from=NL
invorderingsrente,http://standaarden.overheid.nl/owms/terms/invorderingsrente,X,,,,X,X,,L5,,,,,,X,,http://standaarden.overheid.nl/owms/terms/IW_art_28,Artikel 28 Invorderingswet 1990,https://wetten.overheid.nl/jci1.3:c:BWBR0004770&hoofdstuk=V&artikel=28
ioaw-uitkering,http://standaarden.overheid.nl/owms/terms/ioaw-uitkering,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/IOAW_art_5,Artikel 5 Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte werkloze werknemers,https://wetten.overheid.nl/jci1.3:c:BWBR0004044&hoofdstuk=II&Paragraaf=1&artikel=5
ioaz-uitkering,http://standaarden.overheid.nl/owms/terms/ioaz-uitkering,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/IOAZ_art_5,Artikel 5 Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte gewezen zelfstandigen,https://wetten.overheid.nl/jci1.3:c:BWBR0004163&hoofdstuk=II&Paragraaf=1&artikel=5
iow-uitkering,http://standaarden.overheid.nl/owms/terms/iowUitkering,X,,,,X,,,B9,,,X,,,,,http://standaarden.overheid.nl/owms/terms/IOW_art_3,Artikel 3 Wet inkomensvoorziening oudere werklozen,https://wetten.overheid.nl/jci1.3:c:BWBR0024394&hoofdstuk=2&Paragraaf=1&artikel=3
jachtakte,http://standaarden.overheid.nl/owms/terms/jachtakte,X,,,,X,,,B8,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_natuurbescherming_art_3_28,Artikel 3.28 Wet natuurbescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0037552&hoofdstuk=3&Paragraaf=3.6&artikel=3.28
jeugdgezondheidszorg,http://standaarden.overheid.nl/owms/terms/jeugdgezondheidszorg,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wpg_art_5,Artikel 5 Wet publieke gezondheid,https://wetten.overheid.nl/jci1.3:c:BWBR0024705&hoofdstuk=II&Paragraaf=2&artikel=5
jeugdhulp,http://standaarden.overheid.nl/owms/terms/jeugdhulp,,,,X,X,X,,F1,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Jw_art_2_3,Artikel 2.3 Jeugdwet,https://wetten.overheid.nl/jci1.3:c:BWBR0034925&hoofdstuk=2&artikel=2.3
jeugdhulp klacht,http://standaarden.overheid.nl/owms/terms/jeugdhulpKlacht,X,,,,X,X,,F1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Jw_art_4_2_1,Artikel 4.2.1 Jeugdwet,https://wetten.overheid.nl/jci1.3:c:BWBR0034925&hoofdstuk=4&Paragraaf=4.2&sub-paragraaf=4.2.a&artikel=4.2.1
jeugdhulpdossier,http://standaarden.overheid.nl/owms/terms/jeugdhulpdossier,X,,,,X,,,I1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Jw_art_7_3_8,Artikel 7.3.8 Jeugdwet,https://wetten.overheid.nl/jci1.3:c:BWBR0034925&hoofdstuk=7&Paragraaf=7.3&artikel=7.3.8
jeugdige bijrijder vrachtauto verklaring,http://standaarden.overheid.nl/owms/terms/jeugdBijrVrAutoVerkl,X,,,,X,,,C5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/ATB_vervoer_art_2_7_4,Artikel 2.7:4 Arbeidstijdenbesluit vervoer,https://wetten.overheid.nl/jci1.3:c:BWBR0009386&hoofdstuk=2&Paragraaf=2.7&artikel=2.7:4
jeugdsportsubsidie,http://standaarden.overheid.nl/owms/terms/jeugdsportsubsidie,,,,X,,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
jongeren met een handicap onderwijsvoorziening,http://standaarden.overheid.nl/owms/terms/jongHandicOndVoorz,X,,,,X,,,E1,,,,,,,,http://standaarden.overheid.nl/owms/terms/WOOS_art_19a,Artikel 19a Wet overige OCW-subsidies,https://wetten.overheid.nl/jci1.3:c:BWBR0009458&Paragraaf=2&artikel=19a
kabels- en leidingenvergunning,http://standaarden.overheid.nl/owms/terms/kabels-_en_leidingenvergunning,X,X,,X,,X,X,N1,X,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Ver_wkl_art_5,Artikel 5 Model Verordening werkzaamheden kabels en leidingen,
kabels- en leidingenvergunning,http://standaarden.overheid.nl/owms/terms/kabels-_en_leidingenvergunning,X,X,,X,,X,X,N1,X,X,X,,,,,http://standaarden.overheid.nl/owms/terms/pr_vw_vo,provinciale (vaar)wegenverordening,
kadastrale gegevens kopie,http://standaarden.overheid.nl/owms/terms/kadastrale_gegevens_kopie,X,,,X,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Kadw_art_99,Artikel 99 Kadasterwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004541&hoofdstuk=7&titeldeel=1&afdeling=1&artikel=99
kalksteenwinningsvergunning,http://standaarden.overheid.nl/owms/terms/kalkstwinverg,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mijnbouwbesluit_art_146,Artikel 146 Mijnbouwbesluit,https://wetten.overheid.nl/jci1.3:c:BWBR0014394&hoofdstuk=10&Paragraaf=10.2&artikel=146
kampeerautotarief motorrijtuigenbelasting,http://standaarden.overheid.nl/owms/terms/kampAutTatMrb,X,,,,X,X,,B4,,,,,,X,,http://standaarden.overheid.nl/owms/terms/MRB_art_23a,Artikel 23a Wet op de motorrijtuigenbelasting 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006324&hoofdstuk=IV&afdeling=2&artikel=23a
kampeerontheffing,http://standaarden.overheid.nl/owms/terms/kampeeronth,,,,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_4_18,Artikel 4:18 Model Algemene plaatselijke verordening,
kansspelautomaatvergunning,http://standaarden.overheid.nl/owms/terms/kansspelautomaatvergunning,,,,X,,X,X,N1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WKS_art_30b,Artikel 30b Wet op de kansspelen,https://wetten.overheid.nl/jci1.3:c:BWBR0002469&titeldeel=VA&Paragraaf=2&artikel=30b
kansspelvergunning,http://standaarden.overheid.nl/owms/terms/kansspelvergunning,X,,,X,,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WKS_art_3,Artikel 3 Wet op de kansspelen,https://wetten.overheid.nl/jci1.3:c:BWBR0002469&titeldeel=I&artikel=3
kentekenbewijs,http://standaarden.overheid.nl/owms/terms/kentekenbewijs,X,,,,X,X,,C5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/KR_art_17,Artikel 17 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=4&artikel=17
kentekenoverschrijving  bij overlijden,http://standaarden.overheid.nl/owms/terms/kentekOverschOverl,X,,,,X,,,C5,,,,,,X,,http://standaarden.overheid.nl/owms/terms/KR_art_29,Artikel 29 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=4&artikel=29
kentekenoverschrijving bij overdracht particulieren,http://standaarden.overheid.nl/owms/terms/kentekOverschOverdrPart,X,,,,X,,,C4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/KR_art_26,Artikel 26 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=4&artikel=26
kentekenregister inzage,http://standaarden.overheid.nl/owms/terms/kentekRegInz,X,,,,X,X,,C5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/KR_art_10,Artikel 10 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=3&artikel=10
kentekenschorsing,http://standaarden.overheid.nl/owms/terms/kentekenschorsing,X,,,,X,X,,C5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/KR_art_50,Artikel 50 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=7&artikel=50
keur,http://standaarden.overheid.nl/owms/terms/keur,,,X,,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/Wschw_art_78,Artikel 78 Waterschapswet,https://wetten.overheid.nl/jci1.3:c:BWBR0005108&titeldeel=III&hoofdstuk=X&artikel=78
keurmerk,http://standaarden.overheid.nl/owms/terms/keurmerk,X,,,,X,X,,M8,,,X,,,,,,,
kiezerspas,http://standaarden.overheid.nl/owms/terms/kiezerspas,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/KW_art_K_1,Artikel K 1 Kieswet,https://wetten.overheid.nl/jci1.3:c:BWBR0004627&afdeling=II&hoofdstuk=K&artikel=K_1
kinderbijslag,http://standaarden.overheid.nl/owms/terms/kinderbijslag,X,,,,X,,,G1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/AKW_art_7,Artikel 7 Algemene Kinderbijslagwet,https://wetten.overheid.nl/jci1.3:c:BWBR0002368&hoofdstuk=III&Paragraaf=1&artikel=7
kindercentrum,http://standaarden.overheid.nl/owms/terms/kindercentrum,,,,X,X,X,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wko_art_1_1,Artikel 1.1 Wet kinderopvang,https://wetten.overheid.nl/jci1.3:c:BWBR0017017&hoofdstuk=1&afdeling=1&artikel=1.1
kinderdagopvang inrichtingseisen,http://standaarden.overheid.nl/owms/terms/kindopvinreis,X,,,,X,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Besluit_kwal_kinderopvang_art_10,Artikel 10 Besluit kwaliteit kinderopvang,https://wetten.overheid.nl/jci1.3:c:BWBR0039936&hoofdstuk=2&Paragraaf=1&artikel=10
kinderdagverblijf medisch,http://standaarden.overheid.nl/owms/terms/kinderdagverblijf_medisch,,,,X,X,X,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Jw_art_2_3,Artikel 2.3 Jeugdwet,https://wetten.overheid.nl/jci1.3:c:BWBR0034925&hoofdstuk=2&artikel=2.3
kinderopvangtoeslag,http://standaarden.overheid.nl/owms/terms/kinderopvangtoeslag,X,,,,X,,,G1;E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wko_art_1_5,Artikel 1.5 Wet kinderopvang,https://wetten.overheid.nl/jci1.3:c:BWBR0017017&hoofdstuk=1&afdeling=2&Paragraaf=2&artikel=1.5
kinderopvangtoeslag tegemoetkoming,http://standaarden.overheid.nl/owms/terms/KinderOpvToeslagTegemoetk,,,,X,X,,,G1;E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wko_art_1_13,Artikel 1.13 Wet kinderopvang,https://wetten.overheid.nl/jci1.3:c:BWBR0017017&hoofdstuk=1&afdeling=2&Paragraaf=4&artikel=1.13
kindgebonden budget,http://standaarden.overheid.nl/owms/terms/kindGebBud,X,,,,X,,,G1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_KB_art_2,Artikel 2 Wet op het kindgebonden budget,https://wetten.overheid.nl/jci1.3:c:BWBR0022751&artikel=2
klacht,http://standaarden.overheid.nl/owms/terms/klacht,X,X,X,X,X,X,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_9_1,Artikel 9:1 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=9&titeldeel=9.1&afdeling=9.1.1&artikel=9:1
klacht ombudsman,http://standaarden.overheid.nl/owms/terms/klacht_ombudsman,X,X,X,,X,X,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_9_18,Artikel 9:18 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=9&titeldeel=9.2&afdeling=9.2.1&artikel=9:18
klacht vergunninghouder interlandelijke adoptie,http://standaarden.overheid.nl/owms/terms/klachtVerghInterlAdopt,X,,,,X,X,,G1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wobka_art_24a,Artikel 24a Wet opneming buitenlandse kinderen ter adoptie,https://wetten.overheid.nl/jci1.3:c:BWBR0004447&hoofdstuk=5A&artikel=24a
klacht zorgaanbieder,http://standaarden.overheid.nl/owms/terms/klachtZorgaanbieder,X,,,,X,X,,F1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wkkgz_art_14,"Artikel 14 Wet kwaliteit, klachten en geschillen zorg",https://wetten.overheid.nl/jci1.3:c:BWBR0037173&hoofdstuk=3&Paragraaf=1&artikel=14
klacht zorgaanbieder,http://standaarden.overheid.nl/owms/terms/klachtZorgaanbieder,X,,,,X,X,,F1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wkkgz_art_21,"Artikel 21 Wet kwaliteit, klachten en geschillen zorg",https://wetten.overheid.nl/jci1.3:c:BWBR0037173&hoofdstuk=3&Paragraaf=2&artikel=21
klacht zorgverlener,http://standaarden.overheid.nl/owms/terms/klachtZorgverlener,X,,,,X,X,,F1,,,,,,,,http://standaarden.overheid.nl/owms/terms/BIG_art_65,Artikel 65 Wet op de beroepen in de individuele gezondheidszorg,https://wetten.overheid.nl/jci1.3:c:BWBR0006251&hoofdstuk=VII&Paragraaf=4&artikel=65
klein vaarbewijs,http://standaarden.overheid.nl/owms/terms/klVaarbew,X,,,,X,,,C2,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Binnenvaartbesluit_art_16,Artikel 16 Binnenvaartbesluit,https://wetten.overheid.nl/jci1.3:c:BWBR0025631&hoofdstuk=3&Paragraaf=3&artikel=16
kleine landschapselementensubsidie,http://standaarden.overheid.nl/owms/terms/kleine_landschapselementensubsidie,,X,,X,X,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
kleine landschapselementensubsidie,http://standaarden.overheid.nl/owms/terms/kleine_landschapselementensubsidie,,X,,X,X,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
koninklijk predicaataanvraag,http://standaarden.overheid.nl/owms/terms/koninklijk_predicaataanvraag,,,,X,,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Richtl_Pred_Kon,Richtlijnen voor de toekenning van het recht tot het voeren van het predikaat Koninklijk,
koninklijke onderscheiding voordracht,http://standaarden.overheid.nl/owms/terms/koninklijke_onderscheiding_voordracht,,X,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/RegOrdNedLee,Reglement op de Orde van de Nederlandse Leeuw en de Orde van Oranje-Nassau,https://wetten.overheid.nl/jci1.3:c:BWBR0007391
koolwaterstoffenwinning-afdracht,http://standaarden.overheid.nl/owms/terms/koolwaterstoffenwinning_afdracht,,X,,,,X,,N1,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Mijnbouwwet_art_76,Artikel 76 Mijnbouwwet,https://wetten.overheid.nl/jci1.3:c:BWBR0014168&hoofdstuk=5&afdeling=5.1.2&artikel=76
koop registergoed inschrijving,http://standaarden.overheid.nl/owms/terms/koopRegGdInschr,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_3,Artikel 3 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=1&afdeling=1&artikel=3
koopzondageninformatie,http://standaarden.overheid.nl/owms/terms/koopzondageninformatie,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Winkeltijdenwet_art_3,Artikel 3 Winkeltijdenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0007952&artikel=3
kostentoedeling,http://standaarden.overheid.nl/owms/terms/kostentoedeling,,X,X,,X,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wschw_art_120,Artikel 120 Waterschapswet,https://wetten.overheid.nl/jci1.3:c:BWBR0005108&titeldeel=IV&hoofdstuk=XVII&artikel=120
kunstkoopregeling,http://standaarden.overheid.nl/owms/terms/kunstkoopreg,X,,,,X,,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/KunstKoopregeling,KunstKoopregeling,https://wetten.overheid.nl/jci1.3:c:BWBR0013322
kunstzinnige vormingsubsidie,http://standaarden.overheid.nl/owms/terms/kunstzinnige_vormingsubsidie,,,,X,X,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
laadpaalverzoek,http://standaarden.overheid.nl/owms/terms/laadpaalverzoek,,,,X,X,X,X,,,X,X,,,,,,,
landgoed-aanmerking,http://standaarden.overheid.nl/owms/terms/landgoedAanmerking,X,,,,,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Nsw_art_2,Artikel 2 Natuurschoonwet 1928,https://wetten.overheid.nl/jci1.3:c:BWBR0001939&artikel=2
landinrichtingsplan,http://standaarden.overheid.nl/owms/terms/landinrichtingsplan,,X,,,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wilg_art_17,Artikel 17 Wet inrichting landelijk gebied,https://wetten.overheid.nl/jci1.3:c:BWBR0020748&hoofdstuk=4&artikel=17
lange duur vakantieproduct,http://standaarden.overheid.nl/owms/terms/langduurvakpr,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_50a,Artikel 50a Boek 7 Burgerlijk Wetboek,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=1a&artikel=50a
leeftijdsgrenzen speciaal onderwijs ontheffing,http://standaarden.overheid.nl/owms/terms/leeftijdsgrSpecOndOnth,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WEC_art_39,Artikel 39 Wet op de expertisecentra,https://wetten.overheid.nl/jci1.3:c:BWBR0003549&titeldeel=II&afdeling=1&Paragraaf=3&artikel=39
leerlingenvervoer,http://standaarden.overheid.nl/owms/terms/leerlingenvervoer,,,,X,X,X,,,,X,X,,,,X,http://standaarden.overheid.nl/owms/terms/WEC_art_4,Artikel 4 Wet op de expertisecentra,https://wetten.overheid.nl/jci1.3:c:BWBR0003549&titeldeel=I&artikel=4
leerlingenvervoer,http://standaarden.overheid.nl/owms/terms/leerlingenvervoer,,,,X,X,X,,,,X,X,,,,X,http://standaarden.overheid.nl/owms/terms/WPO_art_4,Artikel 4 Wet op het primair onderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0003420&hoofdstuk=I&titeldeel=I&artikel=4
leerlingenvervoer,http://standaarden.overheid.nl/owms/terms/leerlingenvervoer,,,,X,X,X,,,,X,X,,,,X,http://standaarden.overheid.nl/owms/terms/WVO_art_4,Artikel 4 Wet op het voortgezet onderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0002399&titeldeel=I&artikel=4
leerlinggebonden financiering,http://standaarden.overheid.nl/owms/terms/leerlinggebonden_financiering,,,,X,,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Tw_Reg_bekost_pers_PO,Tweede Regeling bekostiging personeel PO 2021–2022 en vaststelling bedragen voor ondersteuning van leerlingen in het PO en VO 2021–2022,https://wetten.overheid.nl/jci1.3:c:BWBR0045350
leerplichtverzuimmelding,http://standaarden.overheid.nl/owms/terms/leerplichtverzuimmelding,,,,X,X,,,,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/LPW_art_21a,Artikel 21a Leerplichtwet 1969,https://wetten.overheid.nl/jci1.3:c:BWBR0002628&Paragraaf=4&artikel=21a
leerplichtvrijstelling,http://standaarden.overheid.nl/owms/terms/leerplichtvrijstelling,X,,,X,X,,,E1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/LPW_art_11,Artikel 11 Leerplichtwet 1969,https://wetten.overheid.nl/jci1.3:c:BWBR0002628&Paragraaf=3&artikel=11
leerwegondersteunend onderwijs toelating,http://standaarden.overheid.nl/owms/terms/leerwegonderstOndToel,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WVO_2020_art_2_42,"Wet voortgezet onderwijs 2020, artikel 2.42",http://wetten.overheid.nl/jci1.3:c:BWBR0044212&hoofdstuk=2&Paragraaf=4&artikel=2.42
legalisatie document,http://standaarden.overheid.nl/owms/terms/legalisatie_document,X,,,,X,,,B3,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BesBuiDoc_art_2,Artikel 2 Besluit vaststelling gedragslijn beoordeling buitenlandse documenten door middel van legalisatie en verificatie,https://wetten.overheid.nl/jci1.3:c:BWBR0019727&artikel=2
legalisatie document,http://standaarden.overheid.nl/owms/terms/legalisatie_document,X,,,,X,,,B3,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Uw_HLVd_art_I,Artikel I Uitvoeringswet Verdrag tot afschaffing vereiste legalisatie buitenlandse openbare akten,https://wetten.overheid.nl/jci1.3:c:BWBR0002482&artikel=I
legalisatie handtekening,http://standaarden.overheid.nl/owms/terms/legalisatie_handtekening,,,,X,X,,,,,X,,,,,,,,
leges,http://standaarden.overheid.nl/owms/terms/leges,X,X,X,X,X,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Gemw_art_229,Artikel 229 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&Paragraaf=3&artikel=229
leges,http://standaarden.overheid.nl/owms/terms/leges,X,X,X,X,X,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/PW_art_223,Artikel 223 Provinciewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005645&titeldeel=IV&hoofdstuk=XV&Paragraaf=2&artikel=223
leges,http://standaarden.overheid.nl/owms/terms/leges,X,X,X,X,X,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wschw_art_115,Artikel 115 Waterschapswet,https://wetten.overheid.nl/jci1.3:c:BWBR0005108&titeldeel=IV&hoofdstuk=XVI&artikel=115
leraren promotiebeurs,http://standaarden.overheid.nl/owms/terms/lerarenPromBeurs,X,,,,X,,,E1,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/NWO_subreg_2017,NWO Subsidieregeling 2017,https://wetten.overheid.nl/jci1.3:c:BWBR0039531
lerarenbeurs,http://standaarden.overheid.nl/owms/terms/lerarenbeurs,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Subs_reg_Lerarenb,Artikel 7 Subsidieregeling lerarenbeurs,https://wetten.overheid.nl/jci1.3:c:BWBR0039319&hoofdstuk=1&artikel=7
lerarenbeurs,http://standaarden.overheid.nl/owms/terms/lerarenbeurs,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/TRLerBeuSch_art_2,Artikel 2 Tijdelijke regeling lerarenbeurs voor scholing,https://wetten.overheid.nl/jci1.3:c:BWBR0024246&Paragraaf=1&artikel=2
lesgeld,http://standaarden.overheid.nl/owms/terms/lesgeld,X,,,,X,,,E1,,,,,,X,,http://standaarden.overheid.nl/owms/terms/LCW_art_3,Artikel 3 Les- en cursusgeldwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004188&hoofdstuk=II&artikel=3
lesgeld buiteninvorderingstelling,http://standaarden.overheid.nl/owms/terms/lesgeldBuitInvSt,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/LCW_art_9b,Artikel 9b van de Les- en cursusgeldwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004188&hoofdstuk=IV&artikel=9b
lesgeld terugbetaling,http://standaarden.overheid.nl/owms/terms/lesgeldTerBet,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/LCW_art_5,Artikel 5 Les- en cursusgeldwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004188&hoofdstuk=II&artikel=5
levenlanglerenkrediet,http://standaarden.overheid.nl/owms/terms/levenlanglerenkrediet,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_3_1,Artikel 3.1 Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=3&Paragraaf=3.1&artikel=3.1
levensmiddelenbedrijferkenning,http://standaarden.overheid.nl/owms/terms/levmiddbedrerk,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Warenwetreg_proc_art_4,Artikel 4 Warenwetregeling procedures registratie en erkenning van levensmiddelenbedrijven,https://wetten.overheid.nl/jci1.3:c:BWBR0019442&artikel=4
levensmiddelenbedrijfregistratie,http://standaarden.overheid.nl/owms/terms/levmiddbedrreg,X,,,,,X,X,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Warenwetreg_proc_art_2,Artikel 2 Warenwetregeling procedures registratie en erkenning van levensmiddelenbedrijven,https://wetten.overheid.nl/jci1.3:c:BWBR0019442&artikel=2
lichaamsmateriaaldonortestvergunning,http://standaarden.overheid.nl/owms/terms/lichmatdontstverg,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wvkl_art_12,Artikel 12 Wet veiligheid en kwaliteit lichaamsmateriaal,https://wetten.overheid.nl/jci1.3:c:BWBR0014682&hoofdstuk=III&artikel=12
lichaamsmateriaalerkenning,http://standaarden.overheid.nl/owms/terms/lichmaterk,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wvkl_art_9,Artikel 9 Wet veiligheid en kwaliteit lichaamsmateriaal,https://wetten.overheid.nl/jci1.3:c:BWBR0014682&hoofdstuk=III&artikel=9
ligplaatsvergunning,http://standaarden.overheid.nl/owms/terms/ligplaatsvergunning,X,,,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
liquide middelen aangifte bij binnenkomst of verlaten EU,http://standaarden.overheid.nl/owms/terms/liqMiddAangBinnenkVerlEU,X,,,,X,,,A2,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1889_2005_art_3,Artikel 3 Verordening (EG) nr. 1889/2005 van het europees parlement en de raad van 26 oktober 2005 betreffende de controle van liquide middelen die de Gemeenschap binnenkomen of verlaten,http://eur-lex.europa.eu/eli/reg/2005/1889/oj
logeerhuis,http://standaarden.overheid.nl/owms/terms/logeerhuis,,,,X,X,,,,,X,X,,,,,,,
lokale omroepsubsidie,http://standaarden.overheid.nl/owms/terms/lokale_omroepsubsidie,,,,X,,X,,,,X,X,X,,,,http://standaarden.overheid.nl/owms/terms/Mediawet_art_2_170b,Artikel 2.170b Mediawet 2008,https://wetten.overheid.nl/jci1.3:c:BWBR0025028&hoofdstuk=2&titeldeel=2.6&afdeling=2.6.5&artikel=2.170b
loon premie volksverzekering inhouding ,http://standaarden.overheid.nl/owms/terms/loonpvvinh,X,,,,X,X,,K2,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wfsv_art_58,Artikel 58 Wet financiering sociale verzekeringen,https://wetten.overheid.nl/jci1.3:c:BWBR0017745&hoofdstuk=4&Paragraaf=1&artikel=58
