"project_no","title","county","school_district","census_tract","how_far_north","how_far_east","number","direction","name","suffix","location","completion_year_estimate","status","cost_in_millions_of_dollars","overall_classification_type","primary_project_type","primary_activity_type","primary_use_type","complex_project_type","complex_activity_type","complex_use_type","housing_sub_type","office_square_feet","retail_and_commercial_square_feet","industrial_warehouse_heavy_commercial_sq_ft","hotel_rooms","housing_units","description","developer","also_in_1983_to_1989_database","also_in_river_crown_plaza_housing_database"
"1037","Town of Kansas Footbridge","Jackson","Kansas City","152","* 2,764,491","* 1,072,389",," "," "," ","       ","2002","Completed","* 4","City Capital Improvement","Infrastructure","New","Bridge","Infrastructure","New","Bridge"," ",,,,," ","new 650-foot footbridge plus a 30-foot river overlook extension","City of Kansas City, MO","No","No"
"621","Praxair Surface Technologies Plant","Jackson","Kansas City","155","* 2,787,426","* 1,072,376","6701"," ","St. John","Av","6701   St. John Av","1998","Completed","* 30","Non-Residential","Building","Renovation","Industrial","Building","Renovation","Industrial"," ",,,,," ","$30 million industrial building renovation","Praxair Surface Technologies Inc.","No","No"
"1569","Second Street Upgrade","Jackson","Kansas City","152","* 2,765,310","* 1,072,127",," "," "," ","       ","2009","Completed","* 4","City Capital Improvement","Infrastructure","Upgrade","Road","Infrastructure","Upgrade","Road / Sidewalks / Sewer / Streetscape"," ",,,,," ","$4 upgrade of street, sidewalks, sewers, streetlights, curbs and gutters plus public art","City of Kansas City, MO","No","No"
"1945","Kite Singleton Streetcar Maintenance Facility","Jackson","Kansas City","3","* 2,767,168","* 1,072,108","701","E","3rd","St","701 E 3rd St","2015","Underway","* 10","Non-Residential","Building","New","Transportation","Building","New","Transportation"," ",,,,," ","new 25,000 sq. ft. streetcar maintenance facility","City of Kansas City, MO","No","No"
"975","Town of Kansas Archaeological Park TIF","Jackson","Kansas City","152","* 2,764,735","* 1,072,050",," "," "," ","       ","2002","Completed","* 11","City Capital Improvement","Open Space","New","Site Preparation","Open Space / Infrastructure","New / Upgrade","Site Preparation / Road"," ",,,,," ","$11 million for purchase, relocation, clearance and street reconstruction associated with archaeological park site","City of Kansas City, MO","No","No"
"2017","Port of Kansas City","Jackson","Kansas City","152","* 2,758,849","* 1,071,981","1518",,"Woodswether","Rd","1518  Woodswether Rd","2020","Underway","* 15","Non-Residential","Building","Renovation","Transportation","Building","Renovation","Transportation / Distribution",,,,,,,"renovation of barge dock, 70,000 sq. ft. of warehouse space, grain elevator and 50-ton crane","Port Authority of Kansas City","No","No"
"1886","Second and Delaware","Jackson","Kansas City","152","* 2,764,413","* 1,071,975","141",,"Delaware","St","141  Delaware St","2016","Approved","* 59","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 276","276 new apartments","Jonathan Arnold","No","Yes"
"1564","Columbus Park Developers Housing and Retail Phase I","Jackson","Kansas City","3","* 2,767,745","* 1,071,948","421",,"Holmes","St","421  Holmes St","2016","Approved","* 19","Residential","Building","New","Housing","Building","New","Housing / Recreation / Social Service","Multifamily",,,,,"* 108","108 new apartments and 6,000 sq. ft. of community activity space","Columbus Park Developers and Prairie Fire Development Group","No","Yes"
"1709","Market Station Apartments","Jackson","Kansas City","152","* 2,764,081","* 1,071,869","140"," ","Wyandotte","St","140   Wyandotte St","2009","Completed","* 46","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 323","323  new multifamily units","Morgan Group","No","Yes"
"562","Sheffield Junction Flyover Railroad Bridge","Jackson","Kansas City","155","* 2,788,908","* 1,071,826",," "," "," ","       ","2000","Completed","* 74","Other Capital Improvement","Infrastructure","New","Bridge","Infrastructure","New","Bridge"," ",,,,," ","new $74 million 1.5 mile viaduct to carry Kansas City Terminal Railway tracks over  other tracks on both sides of the Blue River","Kansas City Terminal Railway","No","No"
"1465","Columbus Park Single Family Homes","Jackson","Kansas City","3","* 2,768,556","* 1,071,783","1127","E","5th","St","1127 E 5th St","2015","Underway","* 72","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 360","360 new single family housing units","Columbus Park LC","No","Yes"
"976","City Market Renovation","Jackson","Kansas City","152","* 2,765,395","* 1,071,469","400"," ","Grand","Av","400   Grand Av","2004","Completed","* 8","Non-Residential","Building","Renovation","Retail","Building / Infrastructure","Renovation","Retail"," ",,,,," ","$8 million project for market and open areas renovation and remodeling, and 195-space parking lot","City of Kansas City, MO","No","No"
"286","River Market Commercial/Res. Conversion","Jackson","Kansas City","152","* 2,764,989","* 1,071,370","501"," ","Delaware","St","501   Delaware St","2015","Underway","* 395","Residential","Building","Use Conversion","Housing","Building","Use Conversion / New / Renovation","Housing / Retail / Office / Hotel","Multifamily",,,,,"* 1,639","1,639 housing units, 319,000 sq. ft. of office space, 356,000 sq. ft. of retail space, and a 150-room hotel","many","Yes","Yes - Separated"
"1140","HOK Sport+Venue+Event Hq. & Parking","Jackson","Kansas City","152","* 2,764,327","* 1,071,333","300"," ","Wyandotte","St","300   Wyandotte St","2006","Completed","* 30","Non-Residential","Building","New","Office","Building","New","Office / Parking / Retail"," ",,,,," ","new 91,000 sq. ft. office building, with 7,000 sq. ft. of retail space, and a 384-space garage","Opus Northwest","No","No"
"1242","Riverfront Heritage Trail","Jackson","Kansas City","152","* 2,763,649","* 1,071,319",," "," "," ","       ","2010","Completed","* 22","City Capital Improvement","Infrastructure","New","Trail","Infrastructure","New","Trail"," ",,,,," ","new $22 million trail","City of Kansas City, MO","No","No"
"1647","City Homes Single Family","Jackson","Kansas City","152","* 2,766,327","* 1,071,299","503"," ","Oak","St","503   Oak St","2008","Completed","* 11","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 27","27 single family units built since 2007","George Birt and Taylor McKee","No","Yes"
"1707","Bridgeworks Lofts - I","Jackson","Kansas City","152","* 2,766,535","* 1,071,274","522"," ","Locust","St","522   Locust St","2005","Completed","* 15","Residential","Building","New","Housing","Building","New / Use Conversion","Housing","Multifamily",,,,,"* 47","47 new multifamily units","George Birt","No","Yes"
"1957","Northeast High School Renovation","Jackson","Kansas City","7","* 2,781,451","* 1,071,268","415",,"Van Brunt","Bl","415  Van Brunt Bl","2013","Completed","* 7","Non-Residential","Building","Renovation","Education","Building","Renovation","Education",,,,,,,"$7 million school renovation","Kansas City School District","No","No"
"1885","RMWest","Jackson","Kansas City","152","* 2,763,927","* 1,071,267","228","W","4th","St","228 W 4th St","2015","Completed","* 16","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 137","new 137-unit apartment building","George Birt","No","Yes"
"1994","Centropolis on Grand","Jackson","Kansas City","152","* 2,765,973","* 1,071,213","501",,"Grand","Blvd","501  Grand Blvd","2015","Underway","* 9","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 56","new 56-unit apartment building","KC Commercial Realty Group","No","Yes"
"370","University of Health Sciences Educ. Pavilion","Jackson","Kansas City","10","* 2,771,331","* 1,070,987","1730"," ","Independence","Bl","1730   Independence Bl","1996","Completed","* 9","Non-Residential","Building","Expansion","Education","Building","Expansion","Education"," ",,,,," ","new 96,000 sq. ft. medical education pavilion","University of Health Sciences","No","No"
"1451","Univ. of Medicine & Biosciences Dybedal Center","Jackson","Kansas City","10","* 2,771,331","* 1,070,987","1730"," ","Independence","Bl","1730   Independence Bl","2004","Completed","* 7","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new 45,000 sq. ft. medical research center","University of Medicine and Biosciences","No","No"
"1452","Univ. of Medicine & Biosciences Auditorium & Library","Jackson","Kansas City","10","* 2,771,331","* 1,070,987","1730"," ","Independence","Bl","1730   Independence Bl","2010","Completed","* 14","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new 110,000 sq. ft. medical library, auditorium and student center","University of Medicine and Biosciences","No","No"
"2027","531 Grand Apartments","Jackson","Kansas City","152","* 2,766,038","* 1,070,930","531",,"Grand","Bl","531  Grand Bl","2017","Approved","* 24","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 140","new 140-unit apartment building with 10,000 sq. ft. of retail","Cornerstone Associates LLC","No","Yes"
"916","Chouteau Courts Apartment Renovation","Jackson","Kansas City","154","* 2,769,794","* 1,070,830","1220"," ","Independence","Av","1220   Independence Av","2003","Completed","* 4","Residential","Building","Renovation","Housing","Building","Renovation","Housing / Meeting Space / Entertainment","Multifamily",,,,,"* 134","renovation and conversion of 140 apartments into 134 apartments and renovation of a community center","Kansas City Housing Authority","No","No"
"913","Hubbell-Tyner Warehouse","Jackson","Kansas City","152","* 2,759,017","* 1,070,648","600"," ","Wyoming","St","600   Wyoming St","2001","Completed","* 6","Non-Residential","Building","New","Warehouse","Building","New","Warehouse"," ",,,,," ","new 110,000 sq. ft. warehouse","KC West Bottoms LLC","No","No"
"1950","Univ. of Medicine & Biosciences Academic Center Remodeling","Jackson","Kansas City","10","* 2,770,999","* 1,070,590","1750"," ","Independence","Bl","1750   Independence Bl","2014","Completed","* 6","Non-Residential","Building","Reconfiguration","Education","Building","Reconfiguration","Education"," ",,,,," ","$6 million reconfiguration of education building","University of Medicine and Biosciences","No","No"
"378","Independence Avenue Streetscaping","Jackson","Kansas City","154","* 2,773,518","* 1,070,407",," "," "," ","       ","2005","Completed","* 6","City Capital Improvement","Open Space","Upgrade","Streetscape","Open Space","Upgrade","Streetscape"," ",,,,," ","$6 million streetscaping project from the Paseo to Benton Blvd.","City of Kansas City, MO","No","No"
"2053","Northeast Middle School Renovation","Jackson","Kansas City","7","* 2,781,978","* 1,070,375","4904",,"Independence","Av","4904  Independence Av","2014","Completed","* 8","Non-Residential","Building","Renovation","Education","Building","Renovation","Education",,,,,,,"$8 million school renovation","Kansas City School District","No","No"
"1271","Custom Body Renovation of Armco Plant","Jackson","Kansas City","155","* 2,789,236","* 1,070,292","7000"," ","Winner","Rd","7000   Winner Rd","2006","Completed","* 4","Non-Residential","Building","Renovation","Heavy Commercial","Building","Renovation","Heavy Commercial"," ",,,,," ","renovation of 130,000 sq. ft. industrial plant for vehicle retrofitting business","Custom Body","No","No"
"623","Kansas City Community Release Center","Jackson","Kansas City","152","* 2,760,493","* 1,070,283","651"," ","Mulberry","St","651   Mulberry St","1998","Completed","* 8","Residential","Building","New","Social Service","Building","New","Social Service"," ",,,,," ","new 250-bed prison work-release center","State of Missouri","No","No"
"594","Garment District Loft Conversions","Jackson","Kansas City","157","* 2,763,998","* 1,070,246","318","W","7th","St","318 W 7th St","2007","Completed","* 120","Residential","Building","Use Conversion","Housing","Building","Use Conversion","Housing","Multifamily",,,,,"* 772","ongoing building renovation and conversion to housing: 772 dwelling units created since 1990","many","No","Yes - Separated"
"1562","Rivergate Business Center Renovation and Parking Deck","Jackson","Kansas City","11","* 2,763,569","* 1,070,228","600"," ","Broadway"," ","600   Broadway  ","2007","Completed","* 6","Non-Residential","Building","Renovation","Office","Building","Renovation / Expansion","Office / Parking"," ",,,,," ","$4 million office building renovation and $2 million parking deck addition for 100 new spaces","Rivergate Ventures LLC","No","No"
"599","Super 8 Motel - Downtown","Jackson","Kansas City","159","* 2,767,633","* 1,070,160","770"," ","Admiral","Bl","770   Admiral Bl","1998","Completed","* 4","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 115-room motel","Quality Lodging","No","No"
"893","Fern Company Office / Warehouse","Jackson","Kansas City","152","* 2,759,192","* 1,070,151","751"," ","Wyoming","St","751   Wyoming St","2002","Completed","* 7","Non-Residential","Building","New","Warehouse","Building","New","Office / Warehouse"," ",,,,," ","new 140,000 sq. ft. office / warehouse","K.C.West Bottoms LLC","No","No"
"1144","Western Union Bldg. Renovation","Jackson","Kansas City","157","* 2,765,618","* 1,070,148","100","E","7th","St","100 E 7th St","2004","Completed","* 8","Non-Residential","Building","Renovation","Office","Building","Renovation","Office / Retail"," ",,,,," ","renovation of building for 42,000 sq. ft. of office uses and 8,000 sq. ft. of retail uses","Watkins & Company","No","No"
"1031","Wenzel Garden Single Family Homes","Jackson","Kansas City","164","* 2,779,491","* 1,059,176","2729"," ","Spruce","Av","2729   Spruce Av","2008","Completed","* 9","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 55","55 single family homes built since 2002"," ","No","No"
"1254","The View Condo Conversion","Jackson","Kansas City","159","* 2,767,230","* 1,070,143","600"," ","Admiral","Bl","600   Admiral Bl","2005","Completed","* 27","Residential","Building","Style Conversion","Housing","Building","Style Conversion","Housing","Multifamily",,,,,"* 143","conversion of apartment building into 143 condos","View LLC","No","Yes"
