Project No.,Title,County,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
500,Cardinal Ridge Housing,Jackson,14200,E,49th,St,2004,Completed,16,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,199,"new mixed income apartment complex with 89 units for the elderly, 30 tax-credit apartments for working families below 60% of median income, 20 public housing units (10 off the main site), and 60 market-rate units",Kansas City Housing Authority,No,No,"14200 49th St
Kansas City, MO
(39.03179283500049, -94.41252067199969)",214,2,7,132
1182,Grey Oaks Single Family Homes,Clay,7807,N,Cherry,St,2004,Completed,10,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,46,46 single family homes built 1990 to 2004,Tony Cucchiara,No,No,"7807 Cherry St
Kansas City, MO
(39.23597413900046, -94.57437892899969)",243,6,4,154
934,Faultless Starch / Bon Ami Warehouse,Jackson,1100,W,8th,St,2004,Completed,8,Non-Residential,Building,New,Distribution,Building,New,Distribution, ,,,125000,,,"new 125,000 sq. ft. warehouse building",Faultless Starch / Bon Ami Co.,No,No,"1100 8th St
Kansas City, MO
(39.104067631000476, -94.56951929599967)",183,3,7,75
1042,Gates Plaza Shopping Center,Jackson,2120,E,12th,St,2004,Completed,6,Non-Residential,Building,New,Retail,Building,New,Retail, ,,50000,,,,new $6 million retail center,O.G. Investments,No,No,"2120 12th St
Kansas City, MO
(39.099068239000474, -94.55621008699967)",100,3,7,95
1078,Chouteau Crossings Capital Improvements,Clay,4401,N,Chouteau,Tfwy,2004,Completed,4,Other Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure / Building,Upgrade,Road / Housing,Mix,,,,,,$4 million upgrade to roads and housing in support of a commercial center,Chouteau Development Co.,No,No,"4401 Chouteau
Tfwy Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1204,Willow Glen Triplexes and Fourplexes,Clay,7200,N,Jefferson,Av,2004,Completed,8,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,49,21 triplex and 28 fourplex units, ,No,No,"7200 Jefferson Av
Kansas City, MO
(38.99783201600047, -94.59739555899966)",147,1,7,162
1160,Finance Bldg. Conversion - Offices to Apts.,Jackson,1009, ,Baltimore,St,2004,Completed,6,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,32,conversion of office building to 32 apartments,Dale Schulte,No,Yes,"1009 Baltimore St
Kansas City, MO
(39.101858707000474, -94.58417517999965)",5,4,7,72
1144,Western Union Bldg. Renovation,Jackson,100,E,7th,St,2004,Completed,8,Non-Residential,Building,Renovation,Office,Building,Renovation,Office / Retail, ,42000,8000,,,,"renovation of building for 42,000 sq. ft. of office uses and 8,000 sq. ft. of retail uses",Watkins & Company,No,No,"100 7th St
Kansas City, MO
(39.105478263000464, -94.58131956899967)",5,4,7,75
1200,Swope Ridge Gardens Elderly Housing,Jackson,3421,E,59th,St,2004,Completed,9,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,59,59 new multifamily units for the elderly,Catholic Diocese of Kansas City - St. Joseph and SR Foundation Inc.,No,No,"3421 59th St
Kansas City, MO
(39.01889318600047, -94.54536207899969)",16,2,7,157
507,Noland Road Bridge over Little Blue River,Jackson,, , , ,2004,Completed,5,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,new $5 million bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1122,Children's Mercy Parking Garage,Jackson,2401, ,Gillham,Rd,2004,Completed,12,Non-Residential,Building,New,Parking,Building,New,Parking, ,,,,,,new 860-space parking garage,Children's Mercy Hospital,No,No,"2401 Gillham Rd
Kansas City, MO
(39.08397100400049, -94.57899781199967)",11,4,7,92
982,The Madison Townhouses,Jackson,4549, ,Madison,St,2004,Completed,7,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,26,26 new townhouses,MacKenzie House LLC,No,Yes,"4549 Madison St
Kansas City, MO
(39.04477845700046, -94.5972451399997)",44,4,7,50
1151,Barrewoods Apartments,Clay,8701,N,Kansas,Av,2004,Completed,30,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,340,new 340-unit apartment complex,ePartment Communities,No,No,"8701 Kansas Av
Kansas City, MO
(39.251483917000485, -94.54496417499968)",30,6,4,126
1158,Ellison Apts. Conversion to Larger Units,Jackson,300,W,Armour,Blvd,2004,Completed,9,Residential,Building,Style Conversion,Housing,Building,Style Conversion,Housing,Multifamily,,,,,68,conversion of 130-apartment building to 68 apartments,Bank of America Community Development Corp.,No,Yes,"300 Armour Blvd
Kansas City, MO
(39.06394812600047, -94.58939961099969)",2,4,7,50
1283,Westport-Mill Townhomes,Jackson,400, ,Westport,Rd,2004,Completed,4,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,14,14 new townhomes,Doug Weltner,No,Yes,"400 Westport Rd
Kansas City, MO
(39.053256139000496, -94.59064477099969)",42,4,7,50
903,Cintas Plant,Clay,4500,N,Corrington,Av,2004,Completed,8,Non-Residential,Building,New,Industrial,Building,New,Industrial, ,,,53000,,,"new 53,000 sq. ft. industrial plant",Cintas Corp.,No,No,"4500 Corrington Av
Kansas City, MO
(38.90967117800045, -94.5085579309997)",151,1,7,143
920,501 Ward Parkway Single Family Homes,Jackson,501, ,Ward,Pkwy,2004,Completed,12,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,9,new gated community with 9 multi-million-dollar single family homes,B.B. Anderson,No,Yes,"501 Ward Pkwy
Kansas City, MO
(39.03907229700047, -94.59539112299967)",167,4,7,44
1154,Oak Street East Dormitory at UMKC,Jackson,5051, ,Oak,St,2004,Completed,22,Residential,Building,New,Housing,Building,New,Housing / Education,Group Quarters,,,,,,"new dormitories for 561 students plus three music practice rooms, a classroom and a lounge",UMKC,No,No,"5051 Oak St
Kansas City, MO
(39.03552558300049, -94.58259455399968)",235,4,7,165
1223,Christian Tabernacle Church Renovation,Jackson,7405, ,Paseo, ,2004,Completed,2,Non-Residential,Building,Renovation,Social Service,Building,Renovation,Social Service, ,,,,,,$2 million church renovation,Christian Tabernacle Church Renovation,No,No,"7405 Paseo
Kansas City, MO
(38.992708259000494, -94.56600515299965)",98,2,7,151
1211,Villa Greens Single Family Homes,Jackson,8718, ,Ridgeway,Ct,2004,Completed,4,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,9,9 single family homes built 1990 to 2004, ,No,No,"8718 Ridgeway Ct
Kansas City, MO
(38.96362172300047, -94.44484841699966)",8,2,7,98
1395,Schutte Lumber Yard,Jackson,3001, ,Southwest,Bl,2004,Completed,5,Non-Residential,Infrastructure,Replacement,Heavy Commercial,Infrastructure,Replacement,Heavy Commercial, ,,,,,,$5 million replacement lumber yard,Schutte Lumber Co.,No,No,"3001 Bl
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1229,St. Mark's Child & Family Development Cen.,Jackson,2008,E,12th,St,2004,Completed,5,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,"new 20,000 sq. ft. child care center",St. Mark's Church,No,No,"2008 12th St
Kansas City, MO
(39.09912154900047, -94.55813651799969)",100,3,7,95
896,New England Bank Building Renovation,Jackson,21,W,10th,St,2004,Completed,4,Non-Residential,Building,Renovation,Office,Building,Renovation / Use Conversion,Office / Retail, ,77000,7000,,,,"renovation of 77,000 sq. ft. of office space and conversion to 7,000 sq. ft. of restaurant space",Gary Mefford,No,No,"21 10th St
Kansas City, MO
(39.102203371000485, -94.58395132699968)",5,4,7,72
902,The Vineyards Single Family Homes,Clay,7001,N,Bell,St,2004,Completed,8,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,56,56 new single family homes,Bryan Bechler,No,No,"7001 Bell St
Kansas City, MO
(39.04460065800049, -94.60662968499969)",148,4,7,44
849,Amherst Single Family Homes,Platte,7812,N,Merrimac,Ct,2004,Completed,13,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,87,87 single family homes built 1990 to 2004, ,No,No,"7812 Merrimac Ct
Kansas City, MO
(39.236559238000495, -94.62780645999965)",186,5,3,66
647,Hotel Savoy Renovation,Jackson,219,W,9th,St,2004,Completed,16,Non-Residential,Building,Renovation,Lodging,Building,Renovation,Lodging, ,,,,100,,renovation of 120-room hotel,Don Lee,No,No,"219 9th St
Kansas City, MO
(39.103662563000455, -94.58644095599965)",5,4,7,72
1177,Dolce Vita Single Family Homes,Clay,1301,NE,82nd,Te,2004,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,10,10 single family homes built 2002 to 2004,CMZ Homes,No,No,"1301 82nd
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
926,Argentine Connection,Jackson,2600, ,Bi-State,Dr,2004,Completed,60,Other Capital Improvement,Infrastructure,New,Bridge,Infrastructure,New,Bridge, ,,,,,,"new $24 million 0.8 mile Kansas City portion of a $60 million 2 mile viaduct to carry Kansas City Terminal Railway tracks over other tracks from near Southwest Boulevard to the Argentine Railyard in Kansas City, Kansas",Burlington Northern Santa Fe Railway,No,No,"2600 Bi-State Dr
Kansas City, MO
(39.07905200400046, -94.60701428399966)",241,4,7,92
1115,350 Hy Rehab/Replace Bridge- I-435-Noland,Jackson,, , , ,2004,Completed,9,Other Capital Improvement,Infrastructure,Renovation,Road,Infrastructure,Renovation / Replacement,Road / Bridge, ,,,,,,$9 million worth of highway resurfacing and bridge replacement,Missouri Department of Transportation,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1451,Univ. of Medicine & Biosciences Dybedal Center,Jackson,1730, ,Independence,Bl,2004,Completed,7,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,"new 45,000 sq. ft. medical research center",University of Medicine and Biosciences,No,No,"1730 Independence
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1091,Paseo / Independence Ave. Impvts.,Jackson,, , , ,2004,Completed,1,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,"turn lanes, signals and drainage improvements at intersection","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1041,Veterans Hospital Renovation,Jackson,4801,E,Linwood,Bl,2004,Completed,8,Non-Residential,Building,Renovation,Medical,Building,Renovation,Medical, ,,,,,,$8 million renovation of hospital,U.S. Government,No,No,"4801 Linwood
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
585,Eastwood Tfwy. Reuse of Retail Space,Jackson,, , , ,2004,Completed,5,Non-Residential,Building,Use Conversion,Office,Building,Use Conversion,Office / Heavy Commercial, ,18000,,18000,,,conversion of former retail space into office and heavy commercial space, ,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
382,Essex Square Retail,Clay,, , , ,2004,Completed,33,Non-Residential,Building,New,Retail,Building,New,Retail, ,,223000,,,,"223,000 sq. ft. of new retail space", ,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
981,Western Auto Lofts Conversion,Jackson,2107, ,Grand,Bl,2004,Completed,30,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,157,conversion of office building complex to 157 condominium units,MCZ Development Corp. and Centrum Properties,No,Yes,"2107 Grand
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1265,Lydia Bridge over Indian Creek,Jackson,, , , ,2004,Completed,3,City Capital Improvement,Infrastructure,New,Bridge,Infrastructure,New,Bridge, ,,,,,,new $3 million bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1282,Penn-40 Lofts,Jackson,4000, ,Pennsylvania,Av,2004,Completed,5,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,28,conversion of non-residential space to 28 condos,Steve Block,No,Yes,"4000 Pennsylvania Av
Kansas City, MO
(39.05495600100045, -94.59314388899969)",42,4,7,50
998,The Oaks Single Family Homes,Clay,705,NW,52nd,Te,2004,Completed,21,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,81,81 single family homes built 1990 to 2004, ,No,No,"705 52nd
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
403,KCI Terminal Renovation,Platte,2, ,Amsterdam,Cir,2004,Completed,253,Non-Residential,Building,Renovation,Transportation,Building,Renovation / Expansion,Transportation, ,,,,,,"$253 million airport terminal improvements through upgrading of floors, walls, roofing, electrical sytems, HVAC, concessions, signs, displays, equipment and furnishings; expansions into sidewalk areas; and reallocation of uses","City of Kansas City, MO",No,No,"2 Amsterdam Cir
Kansas City, MO
(39.29928402200045, -94.71930302499965)",203,5,3,130
1258,Harvesters Food Bank Conversion,Jackson,3801, ,Topping,Av,2004,Completed,12,Non-Residential,Building,Use Conversion,Warehouse,Building,Use Conversion / Expansion,Warehouse, ,,,216000,,,"conversion of factory and expansion to 216,000 sq. ft. warehouse",Harvesters - The Community Food Network,No,No,"3801 Topping Av
Kansas City, MO
(39.05612977700048, -94.51655713499969)",231,3,7,155
1281,Manor Square Condos,Jackson,4050, ,Pennsylvania,Av,2004,Completed,10,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,58,conversion of non-residential space to 58 condos,Manor Square Development,No,Yes,"4050 Pennsylvania Av
Kansas City, MO
(39.053281333000484, -94.59181580699965)",42,4,7,50
1126,Cabot Westside Health Center,Jackson,2121, ,Summit,St,2004,Completed,6,Non-Residential,Building,New,Medical,Building,New,Medical, ,,,,,,"new 19,000 sq. ft. clinic",Cabot Westside Health Center,No,No,"2121 Summit St
Kansas City, MO
(39.086278983000454, -94.59370493999967)",149,4,7,92
834,Pine Lake Single Family Homes,Clay,11041,N,Baltimore,Av,2004,Completed,30,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,168,168 single family homes built 1990 to 2004, ,No,No,"11041 Baltimore Av
Kansas City, MO
(39.29507499200048, -94.58088607499968)",104,5,4,82
1196,Pioneer Place Residential,Jackson,2108,E,11th,St,2004,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Mix,,,,,15,12-unit apartment building and 3 single family homes built 2002 to 2004, ,No,No,"2108 11th St
Kansas City, MO
(39.10026804500046, -94.55664950199969)",100,3,7,95
976,City Market Renovation,Jackson,400, ,Grand,Av,2004,Completed,8,Non-Residential,Building,Renovation,Retail,Building / Infrastructure,Renovation,Retail, ,,,,,,"$8 million project for market and open areas renovation and remodeling, and 195-space parking lot","City of Kansas City, MO",No,No,"400 Grand Av
Kansas City, MO
(39.109626714000456, -94.58078076699968)",71,4,7,75
1155,Belleview Plaza Condos,Jackson,4528, ,Belleview,Av,2004,Completed,3,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,9,9 condo units converted from an office building,Wilson Group,No,Yes,"4528 Belleview Av
Kansas City, MO
(39.04559942500049, -94.59841045799965)",148,4,7,50
805,Highridge Manor Single Family Homes,Clay,7103,N,Corrington,Av,2004,Completed,40,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,276,276 single family homes built 1990 to 2004,Pursell Holdings,No,No,"7103 Corrington Av
Kansas City, MO
(39.222390146000464, -94.49475462799967)",244,6,4,135
441,Zona Rosa Lifestyle Center - I,Platte,7400,NW,86th,St,2004,Completed,100,Non-Residential,Building,New,Retail,Building,New,Retail / Office / Housing,Multifamily,45000,486000,,,24,"new mixed use complex with 486,000 sq. ft. of retail, 45,000 sq. ft. of offices, and 24 apartment units",Bonnie Poteet,No,No,"7400 86th St
Kansas City, MO
(38.967705374000445, -94.50290573399968)",179,2,7,98
1143,Folger Plant Renovation,Jackson,701, ,Broadway, ,2004,Completed,8,Non-Residential,Building,Renovation,Industrial,Building,Renovation,Industrial, ,,,170000,,,"renovation of 170,000 sq. ft. industrial plant",Folger Coffee Company,No,No,"701 Broadway
Kansas City, MO
(39.10531955200048, -94.58812518599967)",5,4,7,72
1224,KSHB TV Tower,Jackson,4600,E,84th,Te,2004,Completed,3,Non-Residential,Building,New,Industrial,Building,New,Industrial, ,,,60000,,,new $3 million television tower,KSHB TV,No,No,"4600 84th
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
855,Sunpointe Village Single Family Homes,Platte,3030,NW,57th,Te,2004,Completed,28,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,115,115 single family homes built 1990 to 2004,Sunpointe Village Single Development Co.,No,No,"3030 57th
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1164,Bennington Court Single Family Homes,Clay,4416,N,Fuller,Av,2004,Completed,6,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,42,42 single family homes built 1990 to 2004, ,No,No,"4416 Fuller Av
Kansas City, MO
(39.17553135100047, -94.50457575099966)",240,6,4,166
1199,Stoneridge Townhomes,Platte,3404,NW,67th,Ct,2004,Completed,4,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,17,17 townhouses, ,No,No,"3404 67th Ct
Kansas City, MO
(39.215928008000446, -94.61899682199964)",163,5,3,66
