"fiscal_year","service","department","program","revenue_category","recommended_amount","approved_amount","fund","fund_type","description","revenue_type"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","150000","150000","General Fund","General Fund","Taxicab & Livery Veh Permits","Licenses & Permits"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","0","0","Convention and Tourism","Convention and Tourism","Space Rental Charges","Rental Income"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","-2686600","-2686600","General Fund","General Fund","Power and Light Co-Emerg Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Rental Income","20400","20400","Golf Operations","Golf Operations","Rent Of Misc Bldgs & Lots","Rental Income"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","FEMA Flood East Fork Creek Line","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","2550000","2550000","General Fund","General Fund","Cigarette Stamp Tax","Licenses & Permits"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","0","0","KC Airports","KC Airports","Parking - Off Airport","KCI Airport"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","612675","612675","KC Airports","KC Airports","General Land Space Rent","KCI Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","1148017","1148017","HUD Lead-Based Paint Grant","HUD Lead-Based Paint Grant","HUD Lead Hazard Control","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","656672","656672","General Debt And Interest","General Debt And Interest","Rr & Util Tax Real Prop-Curr","Property Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Convention & Tourism Taxes Redirection","48000","48000","STIF Hotel President","STIF Hotel President","Restaurant - Contra","Convention & Tourism Taxes Redirection"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Environmental Health Services","Service Charges-Health","232500","232500","Health Levy","Health Levy","Food Handler Inspection Fees","Service Charges-Health"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-General Gov't","0","0","Arterial Street Impact Fee","Arterial Street Impact Fee","Line Creek Devel Impact Fee","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","200","200","STIF Tower-909 Walnut","STIF Tower-909 Walnut","Cable TV - Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Ryan White HIV/AIDS","Ryan White HIV/AIDS","HUD Lead Hazard Control","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Ryan White HIV/AIDS","Ryan White HIV/AIDS","HUD Lead Hazard Control","Federal Grants"
"2019","Public Safety","Municipal Court","Rehabilitative Services","Service Charges-General Gov't","0","0","Inmate Security","Inmate Security","Misc Fees For Information","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","0","0","STIF Midtown","STIF Midtown","Telephone Co-Emerg Contra","Utility Taxes - Contra"
"2019","Public Safety","Police","Police Revenues","Other Contributions","266052","266052","Police Drug Enforcement","Police Drug Enforcement","Dare Jaco Contribution","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","200","200","STIF East Village","STIF East Village","EAT-Zoo","Other Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","1300","1300","Parks and Recreation","Parks and Recreation","Aquatics-Other","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Licenses & Permits","1325000","1325000","Downtown Arena Project Fund","Downtown Arena Project Fund","Car Rental Fee - CVB","Licenses & Permits"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","100","100","TIF Special Allocation","TIF Special Allocation","Cable TV - Contra","Utility Taxes - Contra"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","180055337","180055337","Sewer","Sewer","City Sewer Service Charges","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","2500","2500","Golf Operations","Golf Operations","Other Rentals-Hodge Park","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","1311299","1311299","HOME Investment","HOME Investment","HUD Grants","Federal Grants"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Interest","2713","2713","DEA Drug Forfeiture","DEA Drug Forfeiture","Interest On Investments","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Local Use Tax - Contra","-227000","-227000","General Fund","General Fund","Local Use Tax - Contra","Local Use Tax - Contra"
"2019","Finance and Governance","Finance","Finance Revenues","Other Contributions","1716400","1716400","STIF Midtown","STIF Midtown","Contribution State TIF","Other Contributions"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","500","500","Parks and Recreation","Parks and Recreation","Swope Pool-Admissions and Other","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Environmental Health Services","Service Charges-Health","87000","87000","Health Levy","Health Levy","Air Quality Control Permits","Service Charges-Health"
"2019","Public Safety","Fire","Emergency Operations","Service Charges-Health","0","0","General Fund","General Fund","Ambulance Fees - South Platte","Service Charges-Health"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Rand-Addressing HIV Care","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","5000","5000","Parks and Recreation","Parks and Recreation","Comm Ctr Sports","Service Charges-Parks & Rec"
"2019","Public Safety","Municipal Court","Rehabilitative Services","Fines & Forfeitures","430649","430649","Inmate Security","Inmate Security","Neighborhood Court Fines","Fines & Forfeitures"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","-33000","-33000","Stormwater","Stormwater","Stormwater Refunds","Service Charges-Sewer"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","600","600","TIF Special Allocation","TIF Special Allocation","Telephone  - Contra","Utility Taxes - Contra"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","0","0","Convention and Tourism","Convention and Tourism","Arena User Fees","Rental Income"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","101961","101961","Sewer","Sewer","Blue Summit Sewer Serv Charges","Service Charges-Sewer"
"2019","Public Safety","Municipal Court","Court Operations","Service Charges-Public Safety","250","250","General Fund","General Fund","RCC Work Release Fees","Service Charges-Public Safety"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","400","400","STIF 12th and Wyandotte","STIF 12th and Wyandotte","Earnings Tax Profit-Contra","Earnings Tax - Contra"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","0","0","TIF Special Allocation","TIF Special Allocation","Steam - Contra","Utility Taxes - Contra"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-General Gov't","45320","45320","Development Services","Development Services","Misc Fees For Information","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","94494","94494","General Debt And Interest","General Debt And Interest","Interest On Investments","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","803100","803100","STIF 12th and Wyandotte","STIF 12th and Wyandotte","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","100000","100000","Water Working Capital","Water Working Capital","Sale of Vehicles","Miscellaneous Revenues"
"2019","Finance and Governance","Boards of Election Commissioners","Elections","Miscellaneous Revenues","0","0","General Fund","General Fund","Recoveries Of Prior Yrs Expend","Miscellaneous Revenues"
"2019","Finance and Governance","Boards of Election Commissioners","Elections","Miscellaneous Revenues","0","0","General Fund","General Fund","Recoveries Of Prior Yrs Expend","Miscellaneous Revenues"
"2019","Finance and Governance","Boards of Election Commissioners","Elections","Miscellaneous Revenues","0","0","General Fund","General Fund","Recoveries Of Prior Yrs Expend","Miscellaneous Revenues"
"2019","Finance and Governance","Boards of Election Commissioners","Elections","Miscellaneous Revenues","0","0","General Fund","General Fund","Recoveries Of Prior Yrs Expend","Miscellaneous Revenues"
"2019","Finance and Governance","Boards of Election Commissioners","Elections","Miscellaneous Revenues","0","0","General Fund","General Fund","Recoveries Of Prior Yrs Expend","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Cultural Facilities","Service Charges-Parks & Rec","0","0","Museum","Museum","SVSP Sponsorships","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","0","0","Parks and Recreation","Parks and Recreation","SPSV Championship Field Rental","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","30000","30000","Golf Operations","Golf Operations","Liquor Sales Swope","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Preservation","Licenses & Permits","0","0","General Fund","General Fund","Rental Registration Permit","Licenses & Permits"
