"nombreestablecimiento","direccion","telefono","codigo_etc","internado","correo_electronico"
"JARD INF USATAMA NORTE                                                                              ","DG. 22C NO.28-64","2682797","NUBIA PATRICIA CADENA",,"jardinusatama@hotmail.com                         "
"JARD INF UNIANDES                                                                                   ","CL 18 1 65","3324335 -- 3394949 EXT 3306","TERESA YADIRA BOLIVAR RINCON",,"jardin@uniandes.edu.co"
"JARD INF UNIVERSIDAD CENTRAL                                                                        ","CL 21 3 60","3417604","JANNETH VIVIANA PINZON",,"jardinucentral@hotmail.com"
"JARD INF TIMOTEO                                                                                    ","KR 7 B 145 81","2581734","ANGELA FRANCO DE GONFRIER",,"jardintimoteo@yahoo.es"
"GUARD THOMASITO LTDA                                                                                ","CL 22 B 44 A 77","2693404 -- 3684299","AURELLA GIOVANNA GAROTA NEGRI",,"jardinthomasito@yahoo.es"
"JARD INF TALLERIN                                                                                   ","CLL. 40K SUR NO.75C 78 CELULA C MZ. 3 CASA 15","4538545","ISABEL CELIS SANCHEZ",,"jardintallerin@hotmail.com                        "
"JARD INF SOLDADITOS                                                                                 ","DG 49 A SUR 32 43","2044077","MARTHA LIGIA GARCIA DIAZ",,"jardin.soldaditos@hotmail.com"
"JARDIN INFANTIL LOS AMIGOS DE SNOOPY                                                                ","CL 79 B 70 D 38","2760730","DIANA BEATRIZ GODOY MORA",,"jardinsnoopy@hotmail.com   amigossnoopy@yahoo.es                          "
"LICEO PEDAGÓGICO MI ABUELITA ROSSY                                                              ","KR 44 8 06 SUR","2021678","ROSAURA RANGEL LIZCANO",,"Jardinrossy@hotmail.com                           "
"JARD INF PSICOPEDAG ESTIMULACION TEMPRANA EDUCACION PERSONALIZADA                                   ","AV AMERICAS 73 61","2649429","MARTHA PATRICIA PEREZ HERRERA",,"jardinpsicopedagogico@gmail.com "
"JARD INF PERIQUITO                                                                                  ","CL 111 3 74","2152698 -- 6197564","MARÍA ISABEL DELGADO DE CUBIDES",,"jardinperiquito@hotmail.com"
"JARD INF EL PEQUEÑO INVESTIGADOR","KR 116 B 80 A 69","4411286","MARIA EUGENIA PEREA PUENTES",,"jardin_peque@hotmail.com -- jardinpereafuentes@hotmail.com"
"JARD INF MISTRAL                                                                                    ","CL 65 A 77 B 33","4343536","GLADYS MARÍA ZABALETA VILLALOBOS",,"jardin.mistral@hotmail.com"
"JARD INF MAURICIUS                                                                                  ","CL 64 A 83 15","2520992","ADRIANA VARGAS ZAMBRANO",,"jardinmauricius@hotmail.com"
"JARD INF MAGICA U                                                                                   ","DG. 71B NO.94A-03","2528964 / 4361854                                 ","BETSY BARBOSA ORTIZ",,"jardinmagicau@hotmail.com                         "
"JARD INF LERNER Y KLEIN                                                                             ","DG 53 43 75","2214582","MARIA ESPERANZA VASQUEZ VARGAS",,"jardinlernerklein@tutopia.com  "
"JARDÍN INFANTIL JUAN MATACHÍN","CL 118 60 13","2712523","CLAUDIA HERNANDEZ NOVOA",,"jardinjuanmatachin@hotmail.com"
"JARDIN INFANTIL SUEÑOS Y SONRISAS","KR 16 6 65 SUR","2096951 -- 3132363330","ADRIANA DEL PILAR DUNAND RODRIGUEZ",,"jardininfantilsuenosysonrisas@hotmail.com"
"JARDÍN INFANTIL PATTY                                                                               ","CL 22 SUR 5 14","3615457","PATRICIA FRANCO CARDENAS",,"jardininfantilpatty@hotmail.com"
"JARD OBRERO                                                                                         ","KR 5 33 61","2456167 -- 3230967","LEONOR ORTIZ DE SALAZAR",,"jardininfantilobrero@tutopia.com -- jio1937@gmail.com"
"JARD INF LOS PINGUINOS                                                                              ","CL 5 SUR 13 49","2339919 /  2891850 ","NANCY ESLAVA O.",,"jardininfantillospinguinos@hotmail.com"
"LICEO ARTISTICO SAN JOSE","KR 137 BIS 132 F 12","6973589","SANDRA MILENA FLORES FONSECA",,"jardininfantilenanostraviesos@hotmail.com  "
"JARD INF DING DONG DANG                                                                             ","CL 5 A 72 C 45","2654746","EDITH SOFIA BUENO RUIZ",,"jardininfantildingdongdang@hotmail.com"
"GUARD Y PREESC CAMINO A LA IMAGINACION                                                              ","KR 29 A 71 A 70","6303970","BERTHA LUCÍA MENDOZA C.",,"jardininfante@cable.net.co"
"JARD GUARD CURIOSEAR JUGAR Y APRENDER                                                               ","CR. 98A NO.144-46","6823264","JEANNETTE CEPEDA MUNEVAR",,"jardinguardcuriosearja@hotmail.com                "
"JARD INF U R EL GUALI                                                                               ","AC 64 C 68 B 98","6602687","MARTHA PATRICIA OSPINA PELAEZ",,"jardinguali@yahoo.com.ar"
"GIMNASIO PEDAGOGICO ANDES ","CL 159 21 62","6681211","LUZ MARY HERNANDEZ BARBOSA",,"jardingpa@hotmail.com"
"JARD INF GOMELITOS                                                                                  ","DG 11 SUR 11 05","2338619","MARIA DEL PILAR CIFUENTES",,"jardingnomitos@hotmail.com"
"JARDIN NEOPEDAGOGICO FABULAS Y CUENTOS","CL 16 H BIS 99 16","2670942 -- 4043407","VLADIMIR JAVIER ZAPATA BAUTISTA",,"jardinfabulasycuentos@gmail.com"
"PREESC EUGENIA RAVASCO                                                                              ","CL 12 SUR 7 A 79","2461723","HNA DIANA MARÍA GÓMEZ CASTAÑEDA",,"jardin.eugeniaravasco@hotmail.com"
"JARD INF EL PATITO DE GOMA                                                                          ","CL 39 A SUR 50 28","2706317","LUZ HELENA PRIETO BUITRAGO",,"jardinelpatitodegoma@hotmail.com"
"JARDÍN INFANTIL EL OSITO PELUSIN","CL 45 A BIS 19 36","2325049 -- 7006454 -- 3125233075","XIMENA LÓPEZ PATIÑO",,"jardin@elositopelusin.com"
"JARD INF ECOS Y SONRISAS DEL FUTURO                                                                 ","KR 56 BIS 132 29","6139042","SANDRA INES ALFONSO RODRIGUEZ",,"jardinecosysonrisasdelfuturo@hotmail.com"
"JARD INF DIVERLANDIA                                                                                ","CL 18 SUR 23 39","3611293 / 2391099 / 3611436                       ","FABIOLA NIETO ESPITIA",,"jardindiverlandia@gmail.com"
"JARD INF DATA SESAMO                                                                                ","KR 27 B 53 A 46","2126125 / 2488605","CONCEPCION ALFONSO DE DE LOS REYES",,"jardindata@hotmail.com"
"JARD INF CUNITAS Y CRAYOLAS                                                                         ","KR 51 67 A 31","4815340 -- 2315307 ","GABRIELA LOPEZ MEDINA ",,"jardincunitas@yahoo.com"
"JARD INF EL RINCON DEL TERCER PUENTE                                                                ","KR 22 168 87","6717290 -- 6749387","ESPERANZA TRIVIÑO RODRIGUEZ",,"jardincitoinfantil170@gmail.com"
"JARD INF CHIQUITOTO                                                                                 ","CLL. 84 NO.112F-05","4318204","ANA BETULIA ROMERO GUTIERREZ",,"jardinchuiquitot@starmedia.com                    "
"TALLER DE APRENDIZAJE Y JUEGO","KR 23 187 32","5284868","ESPERANZA ORTIZ SUAREZ",,"jardin_casita_feliz@yahoo.com -- tallerdeaprendizajeyjuego@lacasitafeliz.com"
"CAMPANITA BILINGUAL PRESCHOOL                                                                       ","CR. 72A NO.51-42","2630456 5487210                                   ","MILENE A. BERMUDEZ VANEGAS",,"jardincampanita@starmedia.com                     "
"JARD INF BRITANICO                                                                                  ","KR 72 B 23 G 25","2635252","MARTHA LILIANA OVIEDO LIZARAZO",,"jardinbritanico97@yahoo.com"
"JARD INF ANDY PANDA                                                                                 ","CL 53 78 A 15","2637310 / 2956051","MARIA DEL PILAR BENAVIDES",,"jardinandypanda@hotmail.com"
"JARD INF LOS AMIGOS DE PAULITA (JARD INF LIKYS)                                                     ","CL 51 66 A 21","2630070","MARISOL PINZON CARREO",,"jardinamigosdepaulita@hotmail.com   amigospaulita@hotmail.com                "
"JARD INF A-E-I-O-U                                                                                  ","CL 8 B 53 A 05","2607394","BLANCA YOLANDA MORALES",," jardin-aeiou@hotmail.com"
"JARD INFANTIL ABC SAUZALITO                                                                         ","CR. 69D NO.40-27","4166175 / 2955806                                 ","ROSA ELENA GARZON MOLINA",,"jardinabc@hotmail.com                             "
"JARD INF DE APRESTAMIENTO ESCOLAR ABC DE LA ALEGRIA                                                 ","CL 8 SUR 73 A 24","2932489","LOURDES RAMIREZ ALBORNOZ",,"jardinabc061@hotmail.com                          "
"JARD INF MUNDO DE LOS NIÑOS                                                                         ","CR. 66 NO.38B-97 SUR INT. 10","2649174","FANNY ELIZABETH RODRÍGUEZ",,"jardimundo@hotmail.com                            "
"COLEGIO NUEVA GENERACIÓN DUMBO","CL 3 A 71 A 03","4142933","AURA LILIA NUÑEZ DE VIVAS",,"jardiinfantildumbo@yahoo.com                      "
"JARD INF EL CASTILLO MAGICO                                                                         ","CL 27 SUR 1 A 46","2067281","LUZ MARINA ARANDIA VELANDIA",,"jarcasma@starmedia.com"
"JARD INF LA FRESITA FELIZ                                                                           ","DG. 8A NO.48C-04","2616359","LUZ JANETH ROJAS GAMBA",,"janeth-o-marisolrojas@hotmail.com                 "
"COL PARROQ NSTRA SRA DE CHIQUINQUIRA                                                                ","KR 13 51 82","2554163","FRAY JORGE FERDINANDO RODRIGUEZ RUIZ",,"jah234639@hotmail.com -- chiquinquira2@terra.com.co"
"JARD INF CANCIONES Y GARABATOS                                                                      ","KR 18 4 56 SUR","5611347 / 2468417                                 ","ROSALBA MORENO",,"jacanga_90@hotmail.com"
"INST EDUC DIST LA SALLE JUAN LUIS LONDO¿O","KR 1 C ESTE 66 A 20 SUR","7670800 -- 7733395","JAIRO ANTONIO HERNANDEZ JAUREGUI",,"j3lasalle@yahoo.com"
"INST SAN IGNACIO","AC 72 81 A 06","2514831 -- 2514851","ITALA YANETH GONZALEZ",,"iygonzalez07@hotmail.com"
"INST GERARDO VALENCIA CANO (LA AZUCENA DE BOS                                                       ","KR 77 J 65 I 22 SUR","7755223 / 7809976                                 ","AYDEÉ VELASCO PEÑA",,"ivalenciacano@latinmail.com                       "
"COLEGIO INSTITUTO TECNICO INDUSTRIAL PILOTO (IED)","KR 35 51 B 87 SUR","7410956 -- 7410958","JOHN WILLIAM VASQUEZ MORA",,"itindpiloto6@redp.edu.co"
"INST TEC CIAL RESTREPO                                                                              ","KR 22 A 7 43 SUR","2330014 / 2465685                                 ","MARLENE TERESA ROA B.",,"itcrestrepo@yahoo.com                             "
"LICEO BETHESDA","CL 2 9 42","5618545 -- 3283970 -- 5618546","LIGDA GOMEZ SANCHEZ",,"itcb@cmb.org.co"
"GIMN ISRAEL","KR 69 A 61 45 SUR","5645473","CLAUDIA GUZMAN BERNAL",,"israelschool@colombiaprende.edu.co   gimnasioisrael@hotmail.com"
"INST SAN PABLO APOSTOL                                                                              ","KR 24 B 29 A 02 SUR","2020657 -- 5661399","PADRE ABELARDO GOMEZ SERRANO",,"ispa_libertador@ispaeducacion.edu.co"
"INST SAN PABLO APOSTOL                                                                              ","KR 46 B 73 B 65 SUR","7176295 -- 7311380","PADRE LAUREANO BARÓN CASAS",,"ispa_jerusalen@hotmail.com"
"INST SOCIAL NOCT DE ENSEÑANZA MEDIA ISNEM                                                           ","CL 81 SUR 42 09","7172495","MAURICIO SANABRIA GONZALEZ",,"isnem@007mundo.com  isnem@etb.net.co                               "
"INST SIERVAS DE LA MADRE DE DIOS                                                                    ","TV 8 A ESTE 8 A 12","2337399 -- 2806865","NANCY JANNETH QUINTERO QUINTERO",,"ismds@yahoo.com"
"COL ISIDRO MOLINA                                                                                   ","CL 78 SUR 1 H 16 ESTE","7684345 -- 7695560","CARLOS FERNANDO DIAZ PINTO",,"isimolin@mixmail.com -- colegioisidro@gmail.com"
"INST SANTA MARIA DE LA CRUZ                                                                         ","CL 68 D BIS 49 A 03 SUR","7151177","NOHORA LILIA MOLINA DE MORENO",," isantamariac@hotmail.com"
"INST SURORIENTAL SAN JORGE NOCTURNO                                                                 ","KR 10 18 48 SUR","2726296","MARIA RANGEL DE RIOS",,"isanjorge@hotmail.com -- sanjorgecesco_sosiego@hotmail.com"
"LIC  MODERNO SALVADOR ALLENDE","KR 87 B 63 A 18 SUR","7839663","NIBIA ISABEL MOSCOSO ALBA",,"isa7641@hotmail.com"
"INST PSICOPEDAG INTEGRAL                                                                            ","CL 48 J SUR 5 H 08","5684878","WILLIAM LOZANO SALAZAR",,"ipsii@hotmail.com                                 "
"INST PEDAG NACIONAL                                                                                 ","AC 127 11 20","6276927 -- 5941894","YOLANDA LADINO OSPINA",,"ipn@pedagogica.edu.co"
"COLEGIO SAN FRANCISCO DE ASIS (IED)","DG 1 19 79","3332708 -- 3332733 -- 3332711 -- 3332718","DUMER ANTONIO PEDRAZA ORDOÑEZ",,"ipnfemenino14@redp.edu.co"
"INST PSICOPEDAG EMMANUEL MOUNIER                                                                    ","KR 73 2 A 65","2992040","EDITH MUÑOZ RODRIGUEZ",,"ipem@etb.net.co"
"INST PEDAG ARTURO RAMIREZ MONTUFAR                                                                  ","KR 30 45 03 ED 431","3165000 EXT 11717","VICTOR MANUEL NEIRA RODRIGUEZ",,"iparm_bog@unal.edu.co -- ailemusa@unal.edu.co"
"COLEGIO INSTITUTO TECNICO DISTRITAL REPUBLICA DE GUATEMALA (IED)","CL 78 BIS 68 A 45","2518759 / 2515341 /","PAULO AUGUSTO QUEVEDO SERRANO",,"intdirepdeguatemal10@redp.edu.co"
"COLEGIO INSTITUTO TECNICO  LAUREANO GOMEZ  (IED)","CL 90 A 95 D 56","4345708 / 4339567 /","JOSE ARNULFO PULIDO ROJAS",,"intdilaureanogomez10@redp.edu.co"
"COLEGIO INSTITUTO TECNICO  JUAN DEL CORRAL (IED)","KR 63 79 87","2409608 / 2503781 /","LUIS ALFONSO RIVERA DUARTE",,"intdijuandelcorral10@redp.edu.co"
"COLEGIO INSTITUTO TECNICO INDUSTRIAL FRANCISCO JOSE DE CALDAS  (IED)","KR 68 F 63 B 02","2400616 -- 2403900","JUAN CARLOS LEON GUERRA",,"intdifranciscojose10@redp.edu.co"
"COLEGIO TECNICO DOMINGO FAUSTINO SARMIENTO  (IED)","IND TR. 41 NO.95-51","2367748 / 2367766 /","MARCO AURELIO VARGAS MORALES",,"intdidomingofausti12@redp.edu.co"
