"title","date_and_time","begins","ends","city_or_town","neighbourhood_id","neighbourhood","where","cost","event_category","event_type","event_link","event_venue","event_id","where_to_purchase_tickets","tickets_phone","category_calendar","web_link","public_engagement_category","short_description","project_name","additional_information","notes_1","notes_2"
"Music is Medicine 2022","Friday, August 5, 2022, 12 - 1pm","2022-08-05T11:00:00.000","2022-08-05T13:00:00.000","Edmonton","5200","Garneau","Across from the University of Alberta Hospital's 112 St Entrance (at the picnic tables)","Free","Performing Arts / Culture","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160825021","Old Strathcona,University of Alberta,Other","160825021",,,"City of Edmonton|Concerts / Performances","https://www.friendsofuah.org/news-1-1/2022/7/6/music-is-medicine-2022-line-up",,"Music is Medicine music series is back for another summer!",,,"The Friends of University Hospital's annual Music is Medicine music series is back for another summer! We’re thrilled that so many local musicians will be coming by the University of Alberta Hospital and performing for the community! This year’s line-up includes some of our past performers such as The Aquarius Duo (performed in 2021), Lindon Carter (performed in 2021), Karimah (performned in 2019), and Kimberley MacGregor (performed in 2021). Joining our Music is Medicine family are VISSIA, Josh Sahunta, and Matthew and The Keys! We’re incredibly excited to see so many amazing performers! Performers and dates are listed below. Performances will be held at the picnic tables across from the University of Alberta Hospital’s 112 St Entrance. All performances are subject to rescheduling if the weather chooses not to cooperate, though we will try to reschedule if it happens. Welcome to summer!",
"Music is Medicine 2022","Friday, July 29, 2022, 12 - 1pm","2022-07-29T11:00:00.000","2022-07-29T13:00:00.000","Edmonton","5200","Garneau","Across from the University of Alberta Hospital's 112 St Entrance (at the picnic tables)","Free","Performing Arts / Culture","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160825020","Old Strathcona,University of Alberta,Other","160825020",,,"City of Edmonton|Concerts / Performances","https://www.friendsofuah.org/news-1-1/2022/7/6/music-is-medicine-2022-line-up",,"Music is Medicine music series is back for another summer!",,,"The Friends of University Hospital's annual Music is Medicine music series is back for another summer! We’re thrilled that so many local musicians will be coming by the University of Alberta Hospital and performing for the community! This year’s line-up includes some of our past performers such as The Aquarius Duo (performed in 2021), Lindon Carter (performed in 2021), Karimah (performned in 2019), and Kimberley MacGregor (performed in 2021). Joining our Music is Medicine family are VISSIA, Josh Sahunta, and Matthew and The Keys! We’re incredibly excited to see so many amazing performers! Performers and dates are listed below. Performances will be held at the picnic tables across from the University of Alberta Hospital’s 112 St Entrance. All performances are subject to rescheduling if the weather chooses not to cooperate, though we will try to reschedule if it happens. Welcome to summer!",
"CFB Edmonton Base Commander's Lobsterfest","Saturday, August 20, 2022, 5:30pm - 12am","2022-08-20T16:30:00.000","2022-08-21T00:00:00.000","Edmonton",,"Abbottsfield,Albany,Alberta Avenue,Aldergrove,Allard,Allendale,Ambleside,Argyll,Aspen Gardens,Athlone,Avonmore,Balwin,Bannerman,Baranow,Baturyn,Beacon Heights,Bearspaw,Beaumaris,Belgravia,Belle Rive,Bellevue,Belmead,Belmont,Belvedere,Bergman,Beverly Heights,Bisset,Blackburne,Blackmud Creek,Blue Quill,Blue Quill Estates,Bonnie Doon,Boyle Street,Brander Gardens,Breckenridge Greens,Brintnell,Britannia Youngstown,Brookside,Bulyea Heights,Caernarvon,Calder,Callaghan,Callingwood North,Callingwood South,Cameron Heights,Canon Ridge,Canora,Canossa,Capilano,Carlisle,Carlton,Carter Crest,Casselman,Central McDougall,Chambery,Chappelle Area,Charlesworth,Clareview Campus,Clareview Town Centre,Cloverdale,Crawford Plains,Crestwood,Cromdale,Cumberland,Daly Grove,Dechene,Delton,Delwood,Donsdale,Dovercourt,Downtown,Duggan,Dunluce,Eastwood,Eaux Claires,Edgemont,Ekota,Ellerslie,Elmwood,Elmwood Park,Elsinore,Empire Park,Ermineskin,Evansdale,Evergreen,Falconer Heights,Forest Heights,Fraser,Fulton Place,Gariepy,Garneau,Glastonbury,Glengarry,Glenora,Glenridding Area,Glenwood,Gold Bar,Goodridge Corners,Grandview Heights,Granville,Greenfield,Greenview,Griesbach,Grovenor,Haddow,Hairsine,Hawks Ridge,Hazeldean,Henderson Estates,High Park,Highlands,Hillview,Hodgson,Hollick-Kenyon,Holyrood,Homesteader,Hudson,Idylwylde,Inglewood,Jackson Heights,Jamieson Place,Jasper Park,Kameyosek,Keheewin,Kenilworth,Kensington,Kernohan,Kildare,Kilkenny,Killarney,King Edward Park,Kiniski Gardens,Kirkness,Klarvatten,La Perle,Lago Lindo,Lansdowne,Larkspur,Lauderdale,Laurel,Laurier Heights,Lee Ridge,Leger,Lendrum Place,Lewis Farms (Normandeau Gardens),Lorelei,Lymburn,Lynnwood,MacEwan,MacTaggart Area,Magrath Heights,Magrath Heights Area,Malmo Plains,Maple,Maple Ridge,Matt Berry,Mayfield,Mayliewan,McCauley,McConachie Area,McKernan,McLeod,McQueen,Meadowlark Park,Menisa,Meyokumin,Meyonohk,Michaels Park,Mill Woods Town Centre,Miller,Minchau,Montrose,Newton,North Glenora,Northmount,Ogilvie Ridge,Oleskiw,Oliver,Ormsby Place,Ottewell,Overlanders,Oxford,Ozerna,Parkallen,Parkdale,Parkview,Patricia Heights,Pembina,Place LaRue,Pleasantview,Pollard Meadows,Potter Greens,Prince Charles,Prince Rupert,Queen Alexandra,Queen Mary Park,Quesnell Heights,Ramsay Heights,Rapperswill,Rhatigan Ridge,Richfield,Richford,Rideau Park,Rio Terrace,Ritchie,Riverdale,Rosenthal,Rossdale,Rosslyn,Royal Gardens,Rundle Heights,Rural West,Rutherford,Sakaw,Satoo,Schonsee,Secord,Sherbrooke,Sherwood,Sifton Park,Silver Berry,Skyrattler,Spruce Avenue,Starling,Steinhauer,Strathcona,Strathearn,Suder Greens,Summerlea,Summerside,Sunwapta Industrial,Sweet Grass,Tamarack,Tawa,Terra Losa,Terrace Heights,Terwillegar South,Terwillegar Towne,The Hamptons,The Orchards at Ellerslie,Thorncliff,Tipaskan,Trumpeter Area,Tweddle Place,Twin Brooks,Virginia Park,Walker,Webber Greens,Wedgewood Heights,Weinlos,Wellington,West Jasper Place,West Meadowlark Park,Westbrook Estates,Westmount,Westridge,Westview Village,Westwood,Wild Rose,Windermere,Windsor Park,Woodcroft,York","Canadian Forces Base Edmonton, Lamplighter Lounge (Building 210), 210 Ortona Rd, Lancaster Park, AB T0A 2H0","$70","Family / Children,Non-Profit Fundraiser","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160783543","Other","160783543","1. On eventbrite https://cfbedmontonlobsterfest2022.eventbrite.ca 2. Call 780-973-4011 ext 6300","7809734011 ext 6300","City of Edmonton|Other","https://cfbedmontonlobsterfest2022.eventbrite.ca",,"A fundraising initiative by the Edmonton Garrison Milititary Family Resource Centre to support the military family.",,,"Come on we goes! Join us for an evening of fun during our second annual CFB Edmonton Base Commander’s Lobsterfest!About this eventThis 18+ event will feature steak and maritime lobster dinner with ?all the fixings, raffles, and live entertainment by the Glasglow Kiss Band! Dress is casual/festive.Cocktails: 5:30 pm (cash bar) Dinner: 6:30 pm Dance: 7:30 pmLamplighter Lounge, Bldg 210, CFB Edmonton$70/per ticket. (Non-refundable)Tickets can be purchase in-person at the MFRC or online via EventbriteFor more information: call 780-973-4011 ext. 6300 or email funddev@mfrcedmonton.comBy order of the Base Commander, face coverings are mandatory inside all of CFB Edmonton’s establishments. Masking will be required inside the Lamplighter Lounge when not consuming food or drink. Thank you for keeping our community safe!",
"Cariwest Caribbean Arts Festival","Friday, August 5, 7pm - Sunday, August 7, 2022, 9pm","2022-08-05T18:00:00.000","2022-08-07T21:00:00.000","Edmonton","1090","Downtown","Sir Winston Churchill Square","Free","Family / Children,Festivals,Major Events","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160768635","Sir Winston Churchill Square","160768635","N/A",,"City of Edmonton|Festivals","https://www.cariwest.ca/",,"Cariwest Caribbean Arts Festival - Edmonton's most vibrant festival",,,"Edmonton’s 2022 Cariwest Caribbean Arts Festival takes place from August 5th to 7th.The 3-day event includes a Friday Night Costume Extravaganza, a Saturday Parade and a Caribbean Village thorough the weekend including live entertainment, a Kids Korner, savory Caribbean cuisine and the Caribbean Marketplace.",
"Edmonton Terry Fox Run","Sunday, September 18, 2022","2022-09-18T00:00:00.000","2022-09-19T00:00:00.000","Edmonton",,,"Kinsmen Park, 9100 Walterdale Hill NW, Edmonton","Free","Non-Profit Fundraiser,Run / Walk","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160758811","Kinsmen Park","160758811",,,"City of Edmonton|Run / Walk","https://run.terryfox.ca/3185",,"No registration fee, no minimum donation, and is fully inclusive and noncompetitive.",,"Register yourself, a friend or family member for this years Edmonton Terry Fox Run @ https://run.terryfox.ca/3185",,
"Rundle Bash 2022","Saturday, August 6, 2022, 11am - 9pm","2022-08-06T10:00:00.000","2022-08-06T21:00:00.000","Edmonton","2660","Rundle Heights","Rundle Park Edmonton","free","Family / Children,Non-Profit Fundraiser,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160755389","ACT/Rundle Family Centre","160755389","n/a","n/a","City of Edmonton|Family",,,"All ages Bash",,"Everything from Face Painting to Beer.No charge event. In lieu of payment donate to the Edmonton Food Bank with a non perishable food item or a Donation to the Charity or Cause of your choice.","Food and Drink service.Face PaintingLive Bands/MusicDJ's/Dance floorPhoto BoothsAll amenities of the Parketc.",
"CNIB Night Steps","Wednesday, September 21, 2022, 6 - 10pm","2022-09-21T17:00:00.000","2022-09-21T22:00:00.000","Edmonton",,,"Walterdale Museum/Kinsmen Park",,"Education,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160753310","Other","160753310",,,"City of Edmonton|Other",,,"Charity Event to Raise Awareness and Funds for people with Vision Loss",,,,
"Open House","Wednesday, August 24, 2022, 10am - 3pm","2022-08-24T09:00:00.000","2022-08-24T15:00:00.000","Edmonton","1170","Prince Rupert","11113 113 Street NW, Edmonton, AB, T5N 2V1","Free","Free / Budget,Seniors","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160742531","Other","160742531",,,"City of Edmonton|Other","http://www.centrallions.org",,"Enjoy demos for pickleball, fitness, art, and more! Free BBQ lunch, play Bingo, Spin-the-wheel, and prizes!",,,"Our aim is to provide a welcoming environment for persons 55 years of age and older by presenting exercise, art, music, and educational classes that enrich mind, body, and spirit to enhance longevity and quality of life.Seniors of every age, interest, and fitness level will ﬁnd something to enjoy at CLSA. We invite you to come to CLSA for the programs, and stay for the people!Please visit our website www.centrallions.org for our program guide.",
"Victoria Promenade Digital Engagement","Wednesday, June 29, 11am - Monday, August 1, 2022, 11:55pm","2022-06-29T10:00:00.000","2022-08-01T23:55:00.000","Edmonton",,,"Online",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160681812",,"160681812",,,"Public Engagement|External","https://engaged.edmonton.ca/victoria-promenade","Digital Engagement",,"Victoria Promenade",,"The goal of the 2022/2023 Victoria Promenade Project is to create a safe and accessible space for people of all ages and abilities, to walk, bike and roll.The City values your ongoing feedback. Insights shared will be incorporated into the project evaluation, which will occur this fall to inform future adjustments to the installation.<a href=""https://engaged.edmonton.ca/victoria-promenade"" target=""_blank""><strong>Visit our Engaged Edmonton Page here</strong></a>",
"Wolf Willow Residential Parking Program Digital Engagement","Wednesday, July 6, 11am - Tuesday, September 6, 2022, 11:55pm","2022-07-06T10:00:00.000","2022-09-06T23:55:00.000","Edmonton",,,"Online",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160681721",,"160681721",,,"Public Engagement|External","https://engaged.edmonton.ca/wolfwillow","Digital Engagement",,"Wolf Willow Stair Access",,"On November 1, 2021, the City initiated a one-year resident-only parking program at Wolf Willow Crescent stairs access point. The trial is being conducted to explore ways to balance the needs of residents to be safe and reduce traffic and parking congestion while providing Edmontonians access to the river valley. Until September 6 Edmontonians are invited to share their feedback about the trial by responding to an online survey, attending online meetings and sharing their experience at&nbsp;<a href=""https://engaged.edmonton.ca/wolfwillow"" target=""_blank""><strong>engaged.edmonton.ca/WolfWillow</strong></a>.",
