"organization_name","location","tax_identification_number","kcegp_code","website","short_description","category","category_3","category_2","link_1","link_2","link_3","link_4","status","community_of_opportunity","current_pledges","link_1_description","link_2_description","link_3_description","link_4_description","communities_served_1","communities_served_2","communities_served_3"
"Jane Goodall Institute for Wildlife Research, Education, and Conservation","1595 Spring Hill Rd Ste 550
Vienna, VA 22182
(38.926531, -77.245845)","94-2474731","2551","https://www.janegoodall.org","Works to create healthy ecosystems, promote sustainable livelihoods and nurture new generations of committed, active citizens around the world.","Environment",,"Animals",,,,,"Returning","No",,,,,,,,
"Renton Regional Community Foundation",,"23-7069988","10817","https://www.rentonfoundation.org","We help our region flourish by connecting nonprofits of various causes with donors of similar values.","Social & Economic Justice","Food & Hunger","Health (General)",,"https://www.guidestar.org/profile/23-7069988",,,"Number Change","No",,,"https://www.guidestar.org/profile/23-7069988",,,,,
"Seattle University","901 12th Ave PO Box 222000
Seattle, WA 98122
(47.60821, -122.316795)","91-0565006","9876","https://www.seattleu.edu","Seattle University is dedicated to educating the whole person, to professional formation, and to empowering leaders for a just and humane world.","Education & Literacy","Spiritual Development","Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910565006","https://www.guidestar.org/profile/91-0565006",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910565006","https://www.guidestar.org/profile/91-0565006",,,,,
"Burke Museum of Natural History and Culture",,"91-2151686","9851","https://www.burkemuseum.org","Designated the Washington State Museum of Natural History & Culture, the Burke is an active research museum caring for 16 million objects from Washington State & around the world.","Arts, Culture, & Humanities",,"Environment","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912151686","https://www.guidestar.org/profile/91-2151686",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912151686","https://www.guidestar.org/profile/91-2151686",,,"Children & Youth","American Indian, Alaskan Native","Native Hawaiian, Pacific Islander"
"Food Empowerment Education Sustainability Team (FEEST)","605 SW 108th St
Seattle, WA 98146
(47.506626, -122.342821)","46-2268038","9630","https://feestseattle.org","FEEST is an organization led by youth of color working to improve health in their schools.","Health (General)",,"Social & Economic Justice",,"https://www.guidestar.org/profile/46-2268038",,,"Returning","Yes",,,"https://www.guidestar.org/profile/46-2268038",,,"Children & Youth","Economically Disadvantaged People",
"Snow Leopard Trust","4649 Sunnyside Ave N
Seattle, WA 98103
(47.663831, -122.330171)","91-1144119","2725","https://www.snowleopard.org","Nearly extinct due to poaching, loss of habitat and food, and lack of protection. Our tireless work can protect these majestic cats. Help save them!","Animals",,,,,,,"Returning","No",,,,,,,,
"Muscular Dystrophy Association","161 N Clark St Ste 3550
Chicago, IL 60601
(41.884708, -87.630937)","13-1665552","4111","https://www.mda.org","We're here to transform the lives of people living with neuromuscular diseases by funding research breakthroughs and caring for empowering our families from day one.","Health (General)","Education & Literacy","Disease, Disorders, & Medical Research",,"https://www.guidestar.org/profile/13-1665552",,,"Returning","No",,,"https://www.guidestar.org/profile/13-1665552",,,"People With Disabilities","Children & Youth","Women & Girls"
"Cancer Research And Biostatistics","1505 Westlake Ave N Ste 750
Seattle, WA 98109
(47.632526, -122.340886)","91-1828539","9536","https://www.crab.org","Dedicated to helping cancer patients through our commitment to expert cancer clinical research.","Disease, Disorders, & Medical Research","Education & Literacy","Health (General)","https://www.charitynavigator.org/ein/911828539","https://www.guidestar.org/profile/91-1828539",,,"Returning","No",,"https://www.charitynavigator.org/ein/911828539","https://www.guidestar.org/profile/91-1828539",,,,,
"Facing Homelessness","4001 9th Ave NE
Seattle, WA 98105
(47.656167, -122.318813)","46-2376967","9789","https://www.facinghomelessnes.org","We invite all of us to come closer, and to contribute our unique passions and skills toward the effort of ending homelessness.","Housing & Employment","Community Development","Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=462376967","https://www.guidestar.org/profile/46-2376967",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=462376967","https://www.guidestar.org/profile/46-2376967",,,,,
"Neurological Vocational Services","325 9th Ave/Box 359744
Seattle, WA 98104
(47.604084, -122.323372)","91-1412467","2733","https://www.nvsrehab.org","People with neurological conditions (traumatic brain injury, stroke, multiple sclerosis, epilepsy). Funding supports counseling, training, tryouts, job site support.","Disease, Disorders, & Medical Research",,,,,,,"Returning","No",,,,,,,,
"AIDS Research Foundation (amfAR)","120 Wall St 13th Fl
New York, NY 10005
(40.704382, -74.00645)","13-3163817","4078","https://www.amfar.org","Invests in AIDS and COVID-19 research; advocates increased funding for research/prevention/treatment and protecting the rights of all people affected by HIV/AIDS.","Disease, Disorders, & Medical Research","Health (General)","Social & Economic Justice",,"https://www.guidestar.org/profile/13-3163817",,,"Returning","No",,,"https://www.guidestar.org/profile/13-3163817",,,"Economically Disadvantaged People","Women & Girls","LGBTQIA"
"American Battlefield Trust","1156 15th St NW Ste 900
Washington, DC 20005
(38.905335, -77.03458)","54-1426643","2869","https://www.battlefields.org/","We work tirelessly to preserve and protect our nation's Revolutionary War, War of 1812, and Civil War battlefields from development and destruction.","Education & Literacy",,,,,,,"Returning","No",,,,,,,,
"Pike Place Market Foundation","93 Pike St Rm 310
Seattle, WA 98101
(47.608736, -122.340698)","91-1197625","9899","https://www.pikeplacemarketfoundation.org","The Foundation helps our low-income neighbors who work, learn, and live in and around the Market thrive. We help the Market you love remain a vibrant, caring community.","Community Development",,"Food & Hunger",,,,,"Returning","No",,,,,,"Seniors",,
"North Cascades Institute","810 State Route 20
Sedro-Woolley, WA 98284
(48.510451, -122.22718)","91-1327775","10033","https://ncascades.org/","Inspires environmental stewardship through transformative learning experiences in nature.","Environment",,"Education & Literacy","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7396","https://www.guidestar.org/profile/91-1327775",,,"Number change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7396","https://www.guidestar.org/profile/91-1327775",,,"Children & Youth",,
"Puget Sound Sage","414 Maynard Ave S
Seattle, WA 98104
(47.59903, -122.325069)","20-8974030","9331","https://www.pugetsoundsage.org","Puget Sound Sage charts a path to a living economy in the South Salish Sea and Duwamish River Valley regions by developing community power to influence, lead and govern.","Environment","Community Development","Social & Economic Justice",,,,,"Returning","No",,,,,,"Asian, Asian American","Black, African American, African","Latino/Latina/Latinx, Hispanic"
"Keep A Child Alive","17 State St Ste 2100
New York, NY 10004
(40.702703, -74.014173)","73-1682844","4144","https://keepachildalive.org","KCA is committed to helping children and young people around the world reach their potential, and live healthier, happier lives.","Disease, Disorders, & Medical Research","Human & Civil Rights","Food & Hunger",,"https://www.guidestar.org/profile/73-1682844",,,"New","No",,,"https://www.guidestar.org/profile/73-1682844",,,"Children & Youth","Economically Disadvantaged People","Immigrants, Migrants, Refugees"
"National Down Syndrome Society","8 E 41st St 8th Fl
New York, NY 10017
(40.752558, -73.980746)","13-2992567","5062","https://www.ndss.org","Strives to be the national advocate for the value, acceptance and inclusion of people with Down Syndrome, focusing on public policy & public awareness.","Human & Civil Rights",,,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6733#.VxZqlvkrKJA","https://www.guidestar.org/profile/13-2992567",,"https://greatnonprofits.org/org/national-down-syndrome-society","Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6733#.VxZqlvkrKJA","https://www.guidestar.org/profile/13-2992567",,"https://greatnonprofits.org/org/national-down-syndrome-society","People With Disabilities",,
"Kennedy Catholic High School","140 S 140th St
Burien, WA 98168
(47.477752, -122.330864)","91-0815228","9941","https://www.kennedyhs.org","Four-year Archdiocesan co-ed Catholic high school with a mission to graduate leaders following Christ in a school community that is accessible, diverse and committed to students.","Education & Literacy","Spiritual Development","Youth Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910815228","https://www.guidestar.org/profile/91-1108716",,,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910815228","https://www.guidestar.org/profile/91-1108716",,,"Children & Youth",,
"Community Roots Housing Foundation (formerly Capitol Hill Housing Foundation)","1620 12th Ave Ste 205
Seattle, WA 98122
(47.61572, -122.316865)","27-1682190","5704","https://www.communityrootshousing.org/","Provides affordable housing with an emphasis on serving families, develops and preserves buildings with “green” features, and leads community development efforts.","Housing & Employment","Environment","Community Development",,"https://www.guidestar.org/organizations/27-1682190/capitol-hill-housing-foundation.aspx",,,"Returning","No",,,"https://www.guidestar.org/organizations/27-1682190/capitol-hill-housing-foundation.aspx",,,,,
"Seattle Indian Health Board","611 12th Ave S
Seattle, WA 98144
(47.59708, -122.317229)","91-0869056","9380","https://www.sihb.org","Provides primary care for American Indian/Alaska Natives in King County including medical, dental, chemical dependency, mental health, DV case management, youth & elders services.","Health (General)","Arts, Culture, & Humanities","Mental Health, Disabilities, & Substance Abuse","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910869056","https://www.guidestar.org/profile/910869056","https://www.bbb.org/western-washington/charity-reviews/charity-american-indian/seattle-indian-health-board-in-seattle-wa-22379192",,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910869056","https://www.guidestar.org/profile/910869056","https://www.bbb.org/western-washington/charity-reviews/charity-american-indian/seattle-indian-health-board-in-seattle-wa-22379192",,"American Indian, Alaskan Native",,
"American Heart Association","7272 Greenville Ave
Dallas, TX 75231
(32.878439, -96.760239)","13-5613797","4077","https://www.heart.org","We fight heart disease and stroke – the world’s two leading causes of death – through innovative research, public education/training, changes to public policy.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/13-5613797",,,"Returning","No",,,"https://www.guidestar.org/profile/13-5613797",,,"Economically Disadvantaged People","Women & Girls","Seniors"
