Organization Name,Location,Category,Tax Identification Number,Short Description,Category 2,Category 3,City Kc Area,Zip Codes,2017 Census Tracts WA State
KiloWatts for Humanity,,International Relief & Development,47-2813911,KWH fights energy poverty in Africa through solar power and sustainable business opportunities.,Community Development,Social & Economic Justice,,,
Kindering,"16120 NE 8th St
Bellevue, WA 98008
(47.616971, -122.125315)",Youth Development,91-0816827,"Kindering embraces children of diverse abilities and their families by providing the finest education and therapies to nurture hope, courage and the skills to soar.","Mental Health, Disabilities, & Substance Abuse",Health (General),6,31854,147
Kindred Souls Foundation,,Animals,38-3707806,"Provides sanctuary to abandoned, abused, and neglected cats and dogs, holistic care, outreach, education. Programs for senior, medically fragile, special needs, and animals of DV.",Community Development,,,,
King County HOPE (Helping Our People in Emergencies),,Emergency & Disaster Services,45-4547368,Emergency financial assistance for King County employees who have experienced a catastrophic event in their lives.,Housing & Employment,Food & Hunger,,,
King County Law Library Foundation,,Legal Advocacy,83-0969459,The KCLLF supports the King County Law Library in providing vital legal information services to the residents of King County.,Social & Economic Justice,Education & Literacy,,,
King County Library System Foundation,"960 Newport Way NW
Issaquah, WA 98027
(47.539993, -122.050648)",Education & Literacy,91-1505230,"Promotes literacy, learning and libraries by providing support beyond public funding enabling KCLS to provide equal access to ideas and information to all members of the community.",Community Development,,21,17354,871
King County Parks Foundation,"201 S Jackson St Ste 700
Seattle, WA 98027
(47.599201, -122.330843)",Environment,91-6013536,"Devoted to connecting communities to King County's regional trails, open space and parks. We are a component fund of the Seattle Foundation.",Social & Economic Justice,,101,18379,786
King County Police Activity League,,"Recreation, Sports, Leisure, & Athletics",81-0606836,We are part of the National Police Activities League. Our mission is to mentor and partner deputies with at-risk youth in various programs.,Youth Development,Education & Literacy,,,
King County Search and Rescue Association,,Emergency & Disaster Services,91-1331555,"Exists to promote cooperation between its 9 Member Units, to represent and be their unified voice and to advocate for matters that affect or require the support of multiple units.",Environment,"Recreation, Sports, Leisure, & Athletics",,,
King County Search Dogs,,Emergency & Disaster Services,91-1814938,"All volunteer unit providing trained human and K-9 searchers to assist with locating and recovering lost or missing people, living or deceased, in urban and wilderness areas.",Animals,Community Development,,,
King County Sexual Assault Resource Center (KCSARC),,Legal Advocacy,91-0967255,"Victim advocacy and therapy, including comprehensive services to children, teens, and adult sexual assault survivors and prevention education around sexual assault.",,,,,
Kin On Health Care Center,"4416 S Brandon St
Seattle, WA 98118
(47.553396, -122.278727)",Health (General),91-1620786,"Kin On Health Care Center provides nursing and rehab care to low-income, non/limited English-speaking Asian elderly in a culturally appropriate environment.","Recreation, Sports, Leisure, & Athletics",,101,18800,124
Kirkland Arts Center,"620 Market St
Kirkland, WA 98033
(47.680218, -122.209555)","Arts, Culture, & Humanities",91-6059395,"Transforming lives through the power of art; educational programming, exhibitions, & events providing opportunity for connection through art in the historic Peter Kirk Building.",Education & Literacy,,77,17373,1340
Kirkland Police Explorer Post #2084,"11750 NE 118th St
Kirkland, WA 98034
(47.706357, -122.184984)",Youth Development,91-6001255,"Youth, ages 14-20, who are volunteers for the Kirkland Police Department, receive hands-on opportunities for growth, through law enforcement mentorship and civilian partnership.",Community Development,,77,17376,132
Kitsap Humane Society,"9167 Dickey Rd NW
Silverdale, WA 98383
(47.645712, -122.719224)",Animals,91-0728353,"Kitsap Humane Society is the West Sound region’s largest nonprofit animal shelter. We rescue, rehabilitate and rehouse more than 6,000 pets in need annually!",Environment,Community Development,,12228,243
Kitsap Mental Health Services,"5455 Almira Dr NE
Bremerton, WA 98311
(47.61191, -122.623477)","Mental Health, Disabilities, & Substance Abuse",91-1020106,Kitsap Mental Health Services provides recovery-based behavioral healthcare for people of all ages. Services are each designed to best support an individual's recovery.,,,,10799,582
Knitted Knockers Support Foundation,"1780 Iowa St
Bellingham, WA 98229
(48.756425, -122.451019)",Health (General),47-2406424,"Providing free breast prostheses to women who have had mastectomies. They are handmade by volunteers. Supporting 1,600 medical clinics and 1,000s per month given out.",Education & Literacy,,,18647,642
KNKX 88.5,"930 Broadway
Tacoma, WA 98402
(47.254266, -122.440326)","Arts, Culture, & Humanities",81-1095651,"Broadcasting from both Seattle and Tacoma and covering the Puget Sound Region as a whole. We pride ourselves as being the region's leading source of jazz, blues, and local news.",Education & Literacy,Community Development,,12600,941
Kubota Garden (Foundation),"9817 55th Ave S
Seattle, WA 98118
(47.512742, -122.26469)",Environment,91-1451825,Volunteers offer free tours and cultural programs; assist the City with garden maintenance; and support the garden's unique history and beauty created by founder Fujitaro Kubota.,"Arts, Culture, & Humanities",Education & Literacy,101,18800,417
KUOW Puget Sound Public Radio,"4518 University Way NE Ste 310
Seattle, WA 98105
(47.661857, -122.313123)","Arts, Culture, & Humanities",91-2079402,"Produces and acquires radio programming that creates and serves an informed public while meeting the highest standards of journalism, cultural expression and entertainment.",Education & Literacy,,101,18383,1193
Lake City Collective,"13525 32nd Ave NE Ste D
Seattle, WA 98125
(47.727939, -122.293628)",Social & Economic Justice,36-4939852,A minority-led nonprofit that empowers communities across cultures in North King County while addressing livability issues and barriers through advocacy and self-determination.,Environment,Community Development,101,19579,172
Lake City Partners Ending Homelessness,"3120 NE 125th St
Seattle, WA 98125
(47.719272, -122.294093)",Housing & Employment,47-4612289,"Housing. Health. Economic Well-Being. Our three programs include a 24/7 enhanced shelter with wraparound case management, a drop-in day center (M-F) and housing outreach.",,,101,19579,172
Lake Forest Park Stewardship Foundation,,Environment,91-1924333,"Our Mission: To contribute to the well-being of our community by fostering awareness, understanding, appreciation, and stewardship of our natural environment; preserve open space.",Community Development,,,,
Lake Sawyer Park Foundation,,Community Development,27-0243022,A grassroots tax-exempt organization to identify and secure resources and funds to coordinate with the City of Black Diamond to develop a regional park in southeast King County.,Environment,,,,
Lakeside School,"14050 1st Ave NE
Seattle, WA 98125
(47.732388, -122.328885)",Education & Literacy,91-0564971,"Our school currently enrolls 858 students in grades 5 through 12. We develop in intellectually capable young people creative minds, healthy bodies, and ethical spirits.",Youth Development,,101,19579,758
Lake Washington Schools Foundation (LWSF),,Education & Literacy,55-0891792,We gather and deploy community resources to enhance academic access and to nurture all students’ emotional well-being in the Lake Washington School District.,Food & Hunger,,,,
Lambert House LGBTQ Youth Center,"1818 15th Ave
Seattle, WA 98122
(47.618184, -122.312774)",Youth Development,94-3036815,"Lesbian, gay, bisexual, transgender, and questioning youth programs for ages 11-22. Develops leadership, social, and life skills through 48 programs in 10 locations in King County.",Community Development,Social & Economic Justice,101,19578,781
Landesa,"1424 4th Ave Ste 300
Seattle, WA 98101
(47.609999, -122.336445)",International Relief & Development,91-1158970,"Landesa champions and works to secure land rights for millions of the world’s poorest, mostly rural women and men to provide opportunity and promote social justice.",Social & Economic Justice,,101,18081,399
Land Trust Alliance,"1331 H St NW Ste 400
Washington, DC 20005
(38.90023, -77.030711)",Environment,04-2751357,"Helping people protect undeveloped land in their communities -- saving our forests, farms, waters, historic and natural areas.",,,,25078,
LANGSTON,"104 17th Ave S
Seattle, WA 98144
(47.60166, -122.310267)","Arts, Culture, & Humanities",81-2515412,Centering Black artists & audiences in the Central District. Mission: to strengthen & advance our community through Black arts & culture. Vision: to Cultivate Black Brilliance.,Community Development,Social & Economic Justice,101,19578,13
L'Arche Noah Sealth of Seattle,,Community Development,51-0150721,The faith-based community providing residential care for people with developmental disability and vocational support for them.,"Mental Health, Disabilities, & Substance Abuse",,,,
Launch,"5950 6th Ave S Ste 109
Seattle, WA 98108
(47.54953, -122.326591)",Education & Literacy,91-0987650,"Formerly called CDSA, we help children have a brilliant start by providing equitable access to quality preschool, before & after school, and summer programs for children ages 3-12.",,,101,18388,406
