"event_name","event_description","fee_required","type_of_event","subject_matter","age_groupings","event_by_service_area","event_sponsor","event_date_time_start","event_date_time_ends","location_common_name","location_address","contact_name","contact_number","contact_email","information_website","council_district","elected_officials","neighborhood_council","city_reference_id"
"Winnetka NC General Meeting Agenda August 9, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/winnetkanc/ensncwinnetkanc845105245_08092016.pdf",,,,"105245"
"ECSEANDC NC Meeting Agenda August 9, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/congressseast/ensnccongressseast785105235_08092016.pdf",,,,"105235"
"MCWNC.Board.Agenda.080916",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/midcitywestnc/ensncmidcitywestnc805105230_08092016.pdf",,,,"105230"
"Voices NC Regular Board Meeting ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/voices90037/ensncvoices900373142105263_08092016.pdf",,,,"105263"
"Northridge West NC Board Meeting August 9, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:15:00.000",,,,,,,"http://ens.lacity.org/ensnc/northridgewest/ensncnorthridgewest2414105229_08092016.pdf",,,,"105229"
"Rampart Village NC Special Joint Meeting August 9, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/rampartvillage/ensncrampartvillage3140105298_08092016.pdf",,,,"105298"
"Echo Park NC Planning and Land Use Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/echoparkelysian/ensncechoparkelysian791105199_08092016.pdf",,,,"105199"
"Central Area Planning Commission Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-09T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/centralagenda/plncentralagenda282105128_08092016.pdf",,,,"105128"
"HHWNC EXCOM AGENDA 8.9.16",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T16:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/hollyhillswest/ensnchollyhillswest796105227_08092016.pdf",,,,"105227"
"Planning and Land Use Management Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-09T14:30:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend26105217_08092016.html",,,,"105217"
"Entertainment and Facilities Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-09T14:30:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend3402105208_08092016.html",,,,"105208"
"Economic Development Committee, Meeting Cancelled",,"No ","Meeting - Council","Government",,,"ITA","2016-08-09T13:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend2811105210_08092016.html",,,,"105210"
"LACERS Investment Committee/Special Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-09T10:30:00.000",,,,,,,"http://ens.lacity.org/cers/agendas/cersagendas166105201_08092016.pdf",,,,"105201"
"LACERS Board of Administration Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-09T10:00:00.000",,,,,,,"http://ens.lacity.org/cers/agendas/cersagendas166105200_08092016.pdf",,,,"105200"
"Los Angeles City Council Agenda",,"No ","Meeting - Council","Government",,,"ITA","2016-08-09T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105204_08092016.html",,,,"105204"
"Ethics Commission Meeting Agenda (08/09/2016)",,"No ","Meeting - Board","Government",,,"ITA","2016-08-09T10:00:00.000",,,,,,,"http://ens.lacity.org/eth/ethagendas/ethethagendas217105176_08092016.pdf",,,,"105176"
"REVISED Ethics Commission Meeting Agenda (08/09/2016)",,"No ","Meeting - Board","Government",,,"ITA","2016-08-09T10:00:00.000",,,,,,,"http://ens.lacity.org/eth/ethagendas/ethethagendas217105254_08092016.pdf",,,,"105254"
"Board of Police Commissioners Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-09T09:30:00.000",,,,,,,"http://ens.lacity.org/lapd/agendas/lapdagendas261105220_08092016.pdf",,,,"105220"
"BBSC Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-09T09:30:00.000",,,,,,,"http://ens.lacity.org/ladbs/commagendas/ladbscommagendas253105197_08092016.pdf",,,,"105197"
"Health, Mental Health and Education Committee Meeting - CANCELLED",,"No ","Meeting - Council","Government",,,"ITA","2016-08-09T09:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend3403105182_08092016.html",,,,"105182"
"Executive Employee Relations Committee 2016-08-09 CANCELED",,"No ","Meeting - Board","Government",,,"ITA","2016-08-09T08:30:00.000",,,,,,,"http://ens.lacity.org/eerc/eercagendas/eerceercagendas3076105205_08092016.pdf",,,,"105205"
"	Mar Vista CC REVISED SantaMonicaAirportAdHocComte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/marvistanc/ensncmarvistanc810105186_08082016.pdf",,,,"105186"
"Mar Vista CC Santa Monica Airport Ad-Hoc Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/marvistanc/ensncmarvistanc810105158_08082016.pdf",,,,"105158"
"Venice NC Joint Board and Committee meeting August 8, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/venice/ensncvenice3141105248_08082016.pdf",,,,"105248"
"Coastal San Pedro NC Agenda Setting Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sanpedronc/ensncsanpedronc768105155_08082016.pdf",,,,"105155"
"	Silver Lake NC Election Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/silverlakenc/ensncsilverlakenc833105184_08082016.pdf",,,,"105184"
"Atwater Village NC Education Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/atwatervillage/ensncatwatervillage1021105265_08082016.pdf",,,,"105265"
"Atwater Village NC River Committee Meeting August 8, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/atwatervillage/ensncatwatervillage1021105247_08082016.pdf",,,,"105247"
"Silver Lake NC Arts and Cultural Meeting Agenda August 8 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/silverlakenc/ensncsilverlakenc833105241_08082016.pdf",,,,"105241"
"Hollywood Studio NC Board Meeting Agenda August 8, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/hollywoodstudio/ensnchollywoodstudio3138105246_08082016.pdf",,,,"105246"
"WCKNC - August, 2016 agenda - pio pico library",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/wilshirecenter/ensncwilshirecenter846105233_08082016.pdf",,,,"105233"
"Mid City NC Stakeholder Meeting August 8, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/midcitync/ensncmidcitync775105237_08082016.pdf",,,,"105237"
"Northwest San Pedro General Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/nwsanpedronc/ensncnwsanpedronc773105260_08082016.pdf",,,,"105260"
"Encino NC Committee Meeting August 8, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/encinocc/ensncencinocc818105228_08082016.pdf",,,,"105228"
"Hollywood United NC PSW&T and Renters Ctte meetings August 8 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/hollywoodunited/ensnchollywoodunited822105236_08082016.pdf",,,,"105236"
"Panorama City NC Outreach Meeting Agenda",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/panoramacity/ensncpanoramacity3139105251_08082016.pdf",,,,"105251"
"SLNC_OutreachCommitteeAgenda8_8_16",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/silverlakenc/ensncsilverlakenc833105242_08082016.pdf",,,,"105242"
"	CANNDU Board and Agenda Planning Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/canndu/ensnccanndu835105195_08082016.pdf",,,,"105195"
"Central Hollywood NC 2016-August-PLUM.agenda",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/centralhollywoo/ensnccentralhollywoo790105250_08082016.pdf",,,,"105250"
"	CSPNC Budget & Finance Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sanpedronc/ensncsanpedronc768105157_08082016.pdf",,,,"105157"
"Transgender Advisory Council - Strategic Planning Meeting",,"No ","Meeting - Board","Government",,,"ITA","2016-08-08T18:00:00.000",,,,,,,"http://ens.lacity.org/hcid/hrcagenda/hcidhrcagenda3334105163_08082016.pdf",,,,"105163"
"	nsnc_joint exec. and bod agenda prep comte mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T17:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/northridgesouth/ensncnorthridgesouth3134105160_08082016.pdf",,,,"105160"
"Los Angeles City Health Commission",,"No ","Meeting - Board","Government",,,"ITA","2016-08-08T17:00:00.000",,,,,,,"http://ens.lacity.org/clk/commissionagend/clkcommissionagend3411105223_08082016.html",,,,"105223"
"Northridge East NC Finance Committee agenda 2016.08.08",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T17:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/northridgeastnc/ensncnorthridgeastnc2413105244_08082016.pdf",,,,"105244"
"	CSPNC Port and Environment Committee Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T17:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sanpedronc/ensncsanpedronc768105156_08082016.pdf",,,,"105156"
"ducationPanorama City NC Education Committee August 08, 2016, 2016 Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T16:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/panoramacity/ensncpanoramacity3139105238_08082016.pdf",,,,"105238"
"Northridge East NC Executive Committee agenda 2016.08.08",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-08T16:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/northridgeastnc/ensncnorthridgeastnc2413105243_08082016.pdf",,,,"105243"
"Budget & Finance Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-08T14:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend18105213_08082016.html",,,,"105213"
"DVTF: Funding Committee Meeting Cancellation",,"No ","Meeting - Board","Government",,,"ITA","2016-08-08T13:30:00.000",,,,,,,"http://ens.lacity.org/hcid/hcid_dvagenda/hcidhcid_dvagenda3341105190_08042016.pdf",,,,"105190"
"DVTF: Funding Committee Meeting Cancellation",,"No ","Meeting - Board","Government",,,"ITA","2016-08-08T13:30:00.000",,,,,,,"http://ens.lacity.org/hcid/hcid_dvagenda/hcidhcid_dvagenda3341105190_08042016.pdf",,,,"105190"
"DVTF: Funding Committee Meeting Cancellation",,"No ","Meeting - Board","Government",,,"ITA","2016-08-08T13:30:00.000",,,,,,,"http://ens.lacity.org/hcid/hcid_dvagenda/hcidhcid_dvagenda3341105190_08042016.pdf",,,,"105190"
"DVTF: Funding Committee Meeting Cancellation",,"No ","Meeting - Board","Government",,,"ITA","2016-08-08T13:30:00.000",,,,,,,"http://ens.lacity.org/hcid/hcid_dvagenda/hcidhcid_dvagenda3341105190_08042016.pdf",,,,"105190"
"Claims Board Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-08T13:00:00.000",,,,,,,"http://ens.lacity.org/atty/claims_board/attyclaims_board3307105207_08082016.pdf",,,,"105207"
"Public Works and Gang Reduction Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-08T13:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend28105212_08082016.html",,,,"105212"
"DVTF: General Meeting Cancellation",,"No ","Meeting - Board","Government",,,"ITA","2016-08-08T12:00:00.000",,,,,,,"http://ens.lacity.org/hcid/hcid_dvagenda/hcidhcid_dvagenda3341105187_08082016.pdf",,,,"105187"
"DVTF: Executive Board Meeting cancellation",,"No ","Meeting - Board","Government",,,"ITA","2016-08-08T11:00:00.000",,,,,,,"http://ens.lacity.org/hcid/hcid_dvagenda/hcidhcid_dvagenda3341105185_08082016.pdf",,,,"105185"
"Board of Public Works","Regular BPW Meeting",,"Meeting-Board",,,,"BPW","2016-08-08T10:00:00.000","2016-08-08T12:00:00.000","City Hall Room 350","200 North Spring Street
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08052016_bpwcal.htm",,,,
"Rules, Elections, InterGovernmental Relations & Neighborhoods Committee - SPECIAL MEETING",,"No ","Meeting - Council","Government",,,"ITA","2016-08-08T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend29105209_08082016.html",,,,"105209"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-08T10:00:00.000","2016-08-08T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08082016_bpwcal.htm",,,,
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-08T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86105178_08082016.htm",,,,"105178"
"Board of Public Works","Regular BPW Meeting",,"Meeting-Board",,,,"BPW","2016-08-08T10:00:00.000","2016-08-08T12:00:00.000","City Hall Room 350","200 North Spring Street
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08052016_bpwcal.htm",,,,"Los Angeles"
"Los Angeles Convention Center - Torres Empire Auto Show",,"Yes","Consumer Show",,,,"Convention Center","2016-08-07T12:00:00.000","2016-08-07T18:00:00.000","Los Angeles Convention Center, South Hall GH","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.torresempire.com/component/content/article/38-fp-rokstories/170-la-supershow-august-23-2015",,,,
"BABCNC_SpeacialBoard and StrategicPlanRetreat",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-07T09:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/belairbc/ensncbelairbc1020105183_08072016.pdf",,,,"105183"
"STNC Storage Inventory Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-06T10:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunlandtujunga/ensncsunlandtujunga840105165_08062016.pdf",,,,"105165"
"	Northwest San Pedro NC Revised Retreat",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-06T10:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/nwsanpedronc/ensncnwsanpedronc773105164_08062016.pdf",,,,"105164"
"	HSDNC-PLUM Comte Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-06T10:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/hollywoodstudio/ensnchollywoodstudio3138105174_08062016.pdf",,,,"105174"
"Los Angeles Convention Center - VRLA",,"Yes","Convention / Expo",,,,"Convention Center","2016-08-06T10:00:00.000","2016-08-06T19:00:00.000","Los Angeles Convention Center, West Hall B","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.virtualrealityla.com/",,,,
"Los Angeles Convention Center - Wrap Me Skinny By Leah",,"Yes","Business","Self Employment Opportunity",,,"Convention Center","2016-08-06T09:30:00.000","2016-08-06T13:00:00.000","Los Angeles Convention Center, Meeting Room 408","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","For additional information, go to http://wrapmeskinnybyleah.myitworks.com/ (https://www.eventbrite.com/e/los-angeles-one-team-one-mission-tickets-26026906177)",,,,
"	ECWANDC Town Hall Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-06T09:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/congresswest/ensnccongresswest786105153_08062016.pdf",,,,"105153"
"	Central Alameda NC General Board Retreat",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-06T09:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/centralalameda/ensnccentralalameda848105166_08062016.pdf",,,,"105166"
"Office of Community Beautification: Mission Hills Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-08-06T09:00:00.000","2016-08-06T12:00:00.000","Mission Hills Park & Ride Station","15550 Chatsworth St.
Mission Hills, CA 91345
(34.264582, -118.472455)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7","Councilmember Fuentes",,
"EVRNC Executive Committee",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-05T15:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/elysianvalleyr/ensncelysianvalleyr807105150_08052016.pdf",,,,"105150"
"Los Angeles City Council Agenda, Special Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-05T10:15:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105179_08052016.html",,,,"105179"
"Board of Public Works Meeting","Regular BPW Meeting",,"Meeting-Board",,,,"BPW","2016-08-05T10:00:00.000","2016-08-05T12:00:00.000","City Hall Room 350","200 North Spring Street
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://boe.lacity.org/docs/dpw/agendas/2016/201608/20160805/08052016_bpwcal.htm",,,,
"Board of Public Works","Regular BPW Meeting",,"Meeting-Board",,,,"BPW","2016-08-05T10:00:00.000","2016-08-05T12:00:00.000","City Hall Room 350","200 North Spring Street
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://boe.lacity.org/docs/dpw/agendas/2016/201608/20160805/08052016_bpwcal.htm",,,,
"Board of Public Works Meeting","Regular BPW Meeting",,"Meeting-Board",,,,"BPW","2016-08-05T10:00:00.000","2016-08-05T13:30:00.000","City Hall Room 350","200 North Spring Street
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://boe.lacity.org/docs/dpw/agendas/2016/201608/20160805/08052016_bpwcal.htm",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-05T10:00:00.000","2016-08-05T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://boe.lacity.org/docs/dpw/agendas/2016/201608/20160805/08052016_bpwcal.htm",,,,
"Los Angeles City Council Agenda",,"No ","Meeting - Council","Government",,,"ITA","2016-08-05T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105119_08052016.html",,,,"105119"
"Board of Public Works","Regular BPW Meeting",,"Meeting-Board",,,,,"2016-08-05T10:00:00.000","2016-08-05T12:00:00.000","City Hall Room 350","200 North Spring Street
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://boe.lacity.org/docs/dpw/agendas/2016/201608/20160805/08052016_bpwcal.htm",,,,"Los Angeles"
