"company","fund","cost_center","grant","program_hierarchy_level_2","program_hierarchy_level_3","program_hierarchy_level_4","program_hierarchy_level_5","program","project","business_unit","ledger_account","spend_category_as_worktag","supplier_as_worktag","accounting_date","fiscal_year","ledger_budget_debit_minus"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.66"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","112.95"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","28.01"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","1.04"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","69.64"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.66"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","6.55"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","1.04"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","2.75"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","112.95"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","338.90"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","28.01"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","72.64"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","58.11"
"Information Technology","502-00 Information Technology Fund","Enterprise Technology Solutions",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51880P0 Information Technology Services","503510:Minor Equipment - It","IT Minor Equipment [35.005000]","Denali Advanced Integration","2020-06-01T00:00:00.000","FY2020","27550.00"
"Information Technology","502-00 Information Technology Fund","Enterprise Technology Solutions",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51880P0 Information Technology Services","503510:Minor Equipment - It","IT Minor Equipment [35.005000]","Denali Advanced Integration","2020-06-01T00:00:00.000","FY2020","68875.00"
"Information Technology","502-00 Information Technology Fund","Enterprise Technology Solutions",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51880P0 Information Technology Services","503510:Minor Equipment - It","IT Minor Equipment [35.005000]","Denali Advanced Integration","2020-06-01T00:00:00.000","FY2020","68875.00"
"Human Services","136-00 Homeless Document Recording Fee Fund","Emergency Shelter",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","504400:Advertising","Advertising [44.000000]","The News Tribune","2020-07-01T00:00:00.000","FY2020","64.57"
"Finance and Performance Management","001-00 Current Expense Fund","Budget Administration",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Local Healthcare System Capacity",,"56200P0 Public Health Services","504100:Other Professional Services","Other Professional Services [41.000900]","Tacoma Pierce County Health Department","2020-07-02T00:00:00.000","FY2020","1819255.00"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","395010:Governmental Clearing Account-Capital Sale/Disposal Gain/Loss","Capital Equipment [64.000000]",,"2020-06-30T00:00:00.000","FY2020","1864.12"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","395010:Governmental Clearing Account-Capital Sale/Disposal Gain/Loss","Capital Equipment [64.000000]",,"2020-06-30T00:00:00.000","FY2020","-1864.12"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Zee Medical Service","2020-07-01T00:00:00.000","FY2020","440.69"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","6.23"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","17.12"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.15"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","100.44"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","1.46"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","12.92"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.21"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.57"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","0.28"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.04"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.02"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","19.53"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","2.51"
