"fiscal_year","budget_unit","program","department","division","description","state_program","account","actual_amount","fund","project_id"
"2021","SAN SEWER INTERNAL MAIN","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SAN SEWER INTERNAL MAIN","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","10275","SANITARY SEWER CONSTRUCTI",
"2020","N CASCADE RD RECONSTRUCT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","N CASCADE RD RECONSTRUCT","CAPITAL-GOV FUNDS","LAND ACQUISITION","267482","SALES TAX CONSTRUCTION",
"2020","PARKING METER REPLACEMENT","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","PARKING METER REPLACEMENT","CAPITAL-ENTERPRISE","EQUIP ACQUISITION","172286","PARKING FACILITY CONSTRUC",
"2020","PENN@RADFORD INTERESECT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PENN@RADFORD INTERESECT","CAPITAL-GOV FUNDS","LAND/ACQ-W/IMPROV","65199","STREET CONSTRUCTION",
"2020","STREET TREE PROGRAM","CULTURE AND REC - CAP","PARK DIVISION","NONE","STREET TREE PROGRAM","CAPITAL-GOV FUNDS","TREE PLANTING","19051","SALES TAX CONSTRUCTION",
"2020","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","7092053.78","HUD DISASTER RELIEF",
"2020","MIDTOWN TRANSFER RELOC","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","MIDTOWN TRANSFER RELOC","CAPITAL-ENTERPRISE","BOND PAYING AGENT FEE","193","TRANSIT",
"2020","CURB/CATCH BASIN REPL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CURB/CATCH BASIN REPL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","40673","STREET CONSTRUCTION",
"2020","SW ART/MENARD UTLTY RELOC","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SW ART/MENARD UTLTY RELOC","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","121188","SANITARY SEWER CONSTRUCTI",
"2020","CORRIDOR STUDY-ALTERNATES","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CORRIDOR STUDY-ALTERNATES","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","1050000","STREET CONSTRUCTION",
"2021","SEWER EXTENSIONS NEW DEV.","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SEWER EXTENSIONS NEW DEV.","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","410000","SANITARY SEWER CONSTRUCTI",
"2020","WATER MAIN REPLACEMENTS","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WATER MAIN REPLACEMENTS","CAPITAL-ENTERPRISE","FINANCIAL CONSULTANT","24795","WATER CONSTRUCTION",
"2020","UNDISTRIBUTED -STORM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","UNDISTRIBUTED -STORM","NO DESCRIPTION","OTHER MAINT. EQUIPMENT","24666","STORM WATER CONSTRUCTION",
"2020","STORM SEWER IMPR/EXTENSIO","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","STORM SEWER IMPR/EXTENSIO","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","88998","STORM WATER CONSTRUCTION",
"2020","GRC ENERGY EFFICIENCY IMP","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRC ENERGY EFFICIENCY IMP","CAPITAL-GOV FUNDS","BOND PAYING AGENT FEE","435","SALES TAX CONSTRUCTION",
"2020","HOMEOWNERSHIP GRANTS-TARG","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HOMEOWNERSHIP GRANTS-TARG","CAPITAL-GOV FUNDS","LOANS","101022","DRA GAMING",
"2020","WTR MN REPLACE - SWR CONS","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WTR MN REPLACE - SWR CONS","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","380210.92","WATER CONSTRUCTION",
"2021","METHANE GAS SYSTEM WRRC","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","OPERATING","METHANE GAS SYSTEM WRRC","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","1843.38","SANITARY SEWER CONSTRUCTI",
"2020","CITY HALL REMODELING","GEN GOVERNMENT - CAP","BUILDING SAFETY","NONE","CITY HALL REMODELING","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","66806","SALES TAX CONSTRUCTION",
"2021","MAINT WTR MN - RETAIN WAL","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","MAINT WTR MN - RETAIN WAL","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","18000","WATER CONSTRUCTION",
"2020","LDR TRK, PMPR, ABLCE REPL","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","LDR TRK, PMPR, ABLCE REPL","CAPITAL-GOV FUNDS","MISCELLANEOUS SERVICES","601","SALES TAX CONSTRUCTION",
"2021","NEW TERM ENTRANCE SIGN","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","NEW TERM ENTRANCE SIGN","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","0.74","AIRPORT CONSTRUCTION",
"2020","ADMIRAL SHEEHY FLOOD GATE","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","ADMIRAL SHEEHY FLOOD GATE","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","41500","STORM WATER CONSTRUCTION",
"2021","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","OTHER","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","10000","GENERAL CONSTRUCTION",
"2020","WASH ST SAN 7TH TO 9TH","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","WASH ST SAN 7TH TO 9TH","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","45105","SANITARY SEWER CONSTRUCTI",
"2021","ARENA ROOF","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","ARENA ROOF","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","2095","SALES TAX CONSTRUCTION",
"2020","CATFISH CRK WATERSHED PRT","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CATFISH CRK WATERSHED PRT","CAPITAL-ENTERPRISE","TO GENERAL","19890","STORM WATER CONSTRUCTION",
"2020","MULTICULTURAL FAMILY CTR","GEN GOVERNMENT - CAP","MULTICULTURAL FAMILY CTR","NONE","MULTICULTURAL FAMILY CTR","CAPITAL-GOV FUNDS","ARCHITECTURAL SERVICES","89839.04","GENERAL CONSTRUCTION",
"2021","GATE REPLC FLOOD MITIGATI","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","GATE REPLC FLOOD MITIGATI","STORMWATER UTILITY","CONSULTANT SERVICES","30300","STORM WATER CONSTRUCTION",
"2021","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","SERVERS","350348","DRA DISTRIBUTION",
"2021","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","SOFTWARE","37000","DRA DISTRIBUTION",
"2020","CURB REPLACEMENT PROGRAM","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CURB REPLACEMENT PROGRAM","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","47907.5","STREET CONSTRUCTION",
"2021","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","NONE","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","4890.07","SALES TAX CONSTRUCTION",
"2020","BUS STOP IMPROVEMENTS","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","BUS STOP IMPROVEMENTS","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","662","TRANSIT",
"2020","ART IN PORT OF DUBUQUE","BUSINESS TYPE - CAPITAL","ECONOMIC DEVELOPMENT","AMERICA'S RIVER PROJECTS","ART IN PORT OF DUBUQUE","CAPITAL-ENTERPRISE","MISCELLANEOUS SERVICES","3161","AMERICA'S RIVER PROJECT",
"2020","LANDFILL ACCESS ROAD","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","LANDFILL ACCESS ROAD","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","124313","STREET CONSTRUCTION",
"2020","AIRPORT WIRELESS NETWORK","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT WIRELESS NETWORK","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","7000","AIRPORT CONSTRUCTION",
"2021","HOMEOWNERSHIP GRANTS-TARG","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HOMEOWNERSHIP GRANTS-TARG","CAPITAL-GOV FUNDS","PROPERTY MAINTENANCE","6252","GENERAL CONSTRUCTION",
"2020","US 52 CENTRAL STORMWATER","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","US 52 CENTRAL STORMWATER","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","10000","STORM WATER CONSTRUCTION",
"2020","SOUTHGATE WATER","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SOUTHGATE SANITARY SEWER","CAPITAL-ENTERPRISE","EASEMENT ACQUISITION","6000","WATER CONSTRUCTION",
"2020","STONE RETAINING WALLS","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","STONE RETAINING WALLS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","84781","SALES TAX CONSTRUCTION",
"2020","AIRPORT CAP OLD WELLS","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT CAP OLD WELLS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","15251","AIRPORT CONSTRUCTION",
"2020","ST ANNE DR STORM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","ST ANNE DR STORM","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","7500","STORM WATER CONSTRUCTION",
"2020","SAN SEWER MANHOLE REPLACE","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SAN SEWER MANHOLE REPLACE","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","142747","SANITARY SEWER CONSTRUCTI",
"2021","COMPUTER SYSTEM UPGRADE","GEN GOVERNMENT - CAP","FINANCE DEPARTMENT","NONE","COMPUTER SYSTEM UPGRADE","CAPITAL-GOV FUNDS","SOFTWARE","250000","SALES TAX CONSTRUCTION",
"2020","WEST LOCUST COMM/CAMERAS","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","WEST LOCUST COMM/CAMERAS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","106474","STREET CONSTRUCTION",
"2020","WHITE WATER CREEK BRIDGE","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","WHITE WATER CREEK BRIDGE","CAPITAL-GOV FUNDS","TRAFFIC & ST LT COMPONENT","10000","STREET CONSTRUCTION",
"2020","MILLWORK DIST PARKING IMP","PUBLIC WORKS-CAPITAL","PARKING DIVISION","NONE","MILLWORK DIST PARKING IMP","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","376660","GENERAL CONSTRUCTION",
"2020","CATCH BASIN/WESTSIDE STOR","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CATCH BASIN/WESTSIDE STOR","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","86000","STORM WATER CONSTRUCTION",
"2020","BRIDGE REPAIRS/MAINT.","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","BRIDGE REPAIRS/MAINT.","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","245733","STREET CONSTRUCTION",
"2020","SIGNAL INTERSEC RECONSTRU","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SIGNAL INTERSEC RECONSTRU","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","10000","STREET CONSTRUCTION",
"2020","MIDTOWN TRANSFER RELOC","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","MIDTOWN TRANSFER RELOC","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","374572","TRANSIT",
"2021","ALTHAUSER & EAGLE WTR MN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","ALTHAUSER & EAGLE WTR MN","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","124000","WATER CONSTRUCTION",
"2020","FIRE STSTION STRCTRE RPR","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","FIRE STATION STRCTRE RPR","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","276922","SALES TAX CONSTRUCTION",
"2021","EPP REPLACE WATER LINES","CULTURE AND REC - CAP","PARK DIVISION","NONE","EPP REPLACE WATER LINES","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","41218","DRA DISTRIBUTION",
"2021","HEEB STREET","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","HEEB STREET RECON","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","160000","SANITARY SEWER CONSTRUCTI",
"2020","GRC ENERGY EFFICIENCY IMP","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRC ENERGY EFFICIENCY IMP","CAPITAL-GOV FUNDS","MISCELLANEOUS SERVICES","1148","SALES TAX CONSTRUCTION",
"2020","TRAFIC OPS CTR VIDEO SOFT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFIC OPS CTR VIDEO SOFT","CAPITAL-GOV FUNDS","SOFTWARE","15157","STREET CONSTRUCTION",
"2021","BUS STORAGE FACILITY","PUBLIC WORKS-CAPITAL","TRANSIT DIVISION","OTHER","BUS STORAGE FACILITY","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","24000.03","GENERAL CONSTRUCTION",
"2020","SKATE PARK","CULTURE AND REC - CAP","PARK DIVISION","NONE","SKATE PARK","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","144949.38","SALES TAX CONSTRUCTION",
"2020","COMISKEY LANDSCPE","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY LANDSCPE","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","50000","GENERAL CONSTRUCTION",
"2021","CURB RAMP PROGRAM","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CURB RAMP PROGRAM","CAPITAL-GOV FUNDS","FIELD OPERATIONS SUPPLIES","38.94","ROAD USE TAX",
"2020","WASH NEIGH DT INCENT","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","WASH NEIGH DT INCENT","CAPITAL-GOV FUNDS","GRANTS","318415","GENERAL CONSTRUCTION",
"2020","HARLAN EUCLID SANITARY","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","HARLAN EUCLID SANITARY","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","10000","SANITARY SEWER CONSTRUCTI",
"2020","LEAD SVC LINE REPLACE","COM AND ECON DEV - CAP","ENGINEERING","NONE","LEAD SVC LINE REPLACE","CAPITAL-GOV FUNDS","LOANS","105000","COMMUNITY DEVELOPMENT",
"2021","N CASCADE WATER MAIN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","N CASCADE WATER MAIN","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","1466.75","WATER CONSTRUCTION",
"2020","JFK RD COORD WACKER/ASB","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","JFK RD COORD WACKER/ASB","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","220451","STREET CONSTRUCTION",
"2020","REPLACE WATER LINES","CULTURE AND REC - CAP","LIBRARY","NONE","REPLACE WATER LINE LIBRAR","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","25367","SALES TAX CONSTRUCTION",
"2021","VILLA ST STORM SEWER PROJ","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","VILLA ST STORM SEWER PROJ","CAPITAL-ENTERPRISE","EASEMENT ACQUISITION","330","STORM WATER CONSTRUCTION",
"2020","FIBER OPTICS TO AIRPORT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","FIBER OPTICS TO AIRPORT","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","47584","STREET CONSTRUCTION",
"2020","CATFISH CRK WATERSHED PRT","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CATFISH CRK WATERSHED PRT","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","661016.41","STORM WATER CONSTRUCTION",
"2021","TRAFF SIG FIBER OPTIC NET","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFF SIG FIBER OPTIC NET","CAPITAL-GOV FUNDS","TRAFFIC CONTROL EQUIPMENT","6642.22","STREET CONSTRUCTION",
"2020","TRAFF SIG FIBER OPTIC NET","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFF SIG FIBER OPTIC NET","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","114231","STREET CONSTRUCTION",
"2020","HS WASTE RECEIVE & STORE","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","OPERATING","HS WASTE RECEIVE & STORE","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","170905","SANITARY SEWER CONSTRUCTI",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO DOWNTOWN LOAN POOL","11000","GENERAL CONSTRUCTION",
"2020","SKATE PARK","CULTURE AND REC - CAP","PARK DIVISION","NONE","SKATE PARK","CAPITAL-GOV FUNDS","MISCELLANEOUS SERVICES","3764","SALES TAX CONSTRUCTION",
"2020","PARKING RAMP OCC CERT","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","PARKING RAMP OCC CERT","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","36435","PARKING FACILITY CONSTRUC",
"2021","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","OTHER","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","416000","GENERAL CONSTRUCTION",
"2020","NEIGHBORHOOD GRANTS","COM AND ECON DEV - CAP","CITY MANAGER'S OFFICE","NONE","NEIGHBORHOOD GRANTS","CAPITAL-GOV FUNDS","GRANTS","32.49","COMMUNITY DEVELOPMENT",
"2021","RESIDENTIAL REHAB PROGRAM","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","RESIDENTIAL REHAB PROGRAM","CAPITAL-GOV FUNDS","UTILITY EXP-ELECTRICITY","746.95","STATE RENTAL REHAB",
"2020","REPLACEMENT OF RADIOS","GEN GOVERNMENT - CAP","FINANCE DEPARTMENT","OPERATING","REPLACEMENT OF RADIOS","CAPITAL-GOV FUNDS","PAGER/RADIO EQUIPMENT","7490","DRA DISTRIBUTION",
"2020","COMISKEY LANDSCPE","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY LANDSCPE","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","5000","GENERAL CONSTRUCTION",
"2020","N CASCADE RD RECONSTRUCT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","N CASCADE RD RECONSTRUCT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","1296008","SALES TAX CONSTRUCTION",
"2021","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","OTHER","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","20000","GENERAL CONSTRUCTION",
"2020","MSC LED LIGHTING","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","OPERATING","MSC LED LIGHTING","CAPITAL-GOV FUNDS","LIGHTING EQUIPMENT","15926","DRA DISTRIBUTION",
"2020","FLORA-PAVE TENNIS COURTS","CULTURE AND REC - CAP","PARK DIVISION","OTHER","FLORA-PAVE TENNIS COURTS","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","4900","SALES TAX CONSTRUCTION",
"2020","DOG PARK","CULTURE AND REC - CAP","PARK DIVISION","NONE","DOG PARK","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","20000","SALES TAX CONSTRUCTION",
"2020","ARENA CHAIR PLATFORM SEC3","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","ARENA CHAIR PLATFORM SEC3","CAPITAL-GOV FUNDS","MISCELLANEOUS SERVICES","364","SALES TAX CONSTRUCTION",
"2020","TAMARAK FRONTAGE WATER MN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","TAMARAK FRONTAGE WATER MN","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","38882","WATER CONSTRUCTION",
"2022","DT ADA NON-PROFIT ASSIST","PUBLIC SAFETY-CAPITAL","HOUSING & COMMUNITY DEV","NONE","DT ADA NON-PROFIT ASSIST","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","100000","GENERAL CONSTRUCTION",
"2020","BEE BRANCH TRAIL CONNECT","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","BEE BRANCH TRAIL CONNECT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","105000","SALES TAX INCREMENT",
"2021","MAIN EXT TO NEW DEV","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","MAIN EXT TO NEW DEV","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","114575","WATER CONSTRUCTION",
"2020","ST LIGHT/SIGNAL KNOCKDOWN","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","ST LIGHT/SIGNAL KNOCKDOWN","CAPITAL-GOV FUNDS","TRAFFIC CONTROL EQUIPMENT","18267.97","STREET CONSTRUCTION",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO SANITARY SEWER CONST","1876","DRA DISTRIBUTION",
"2020","HWY 52 PHASE 4 CENTRAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","HWY 52 PHASE 4 CENTRAL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","175365","GENERAL CONSTRUCTION",
"2020","FLORA-PAVE TENNIS COURTS","CULTURE AND REC - CAP","PARK DIVISION","OTHER","FLORA-PAVE TENNIS COURTS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","38000","SALES TAX CONSTRUCTION",
"2021","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","COMPUTER","195238","SALES TAX CONSTRUCTION",
"2021","BUS STORAGE FACILITY","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","BUS STORAGE FACILITY","CAPITAL-ENTERPRISE","LEGAL SERVICES","292.5","TRANSIT",
"2020","REPLACE MINI BUSES","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","REPLACE MINI BUSES","CAPITAL-ENTERPRISE","EQUIP ACQUISITION","260000","TRANSIT",
"2021","CATCH BASIN/WESTSIDE STOR","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CATCH BASIN/WESTSIDE STOR","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","10000","STORM WATER CONSTRUCTION",
"2020","HAM HOUSE - PAINT","CULTURE AND REC - CAP","PARK DIVISION","NONE","HAM HOUSE - PAINT","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","4489.81","SALES TAX CONSTRUCTION",
"2020","MAJOR MAINT ON RAMPS","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","MAJOR MAINT ON RAMPS","CAPITAL-ENTERPRISE","CONST CONTRACT-BLDG","284121","PARKING FACILITY CONSTRUC",
"2020","TWIN RIDGE LIFT ST ABANDO","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","TWIN RIDGE LIFT ST ABANDO","CAPITAL-ENTERPRISE","EASEMENT ACQUISITION","15000","SANITARY SEWER CONSTRUCTI",
"2020","JOB CREATION","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","JOB CREATION","CAPITAL-GOV FUNDS","LOANS","21480","UDAG REPAYMENTS",
"2020","ANNEX 2ND FLR LOW VOLTAGE","GEN GOVERNMENT - CAP","INFORMATION SERVICES","OPERATING","ANNEX 2ND FLR LOW VOLTAGE","CAPITAL-GOV FUNDS","MISCELLANEOUS EQUIPMENT","9909","DRA DISTRIBUTION",
"2020","ACCESSIBILITY BLDG MODIFI","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","OPERATING","ACCESSIBILITY BLDG MODIFI","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","11568","SALES TAX CONSTRUCTION",
"2021","GRNDVW/UNVRSTY ROUNDABOUT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","GRNDVW/UNVSTY ROUNDABOUT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","1686.83","STREET CONSTRUCTION",
"2020","AIRPORT WIRELESS NETWORK","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT WIRELESS NETWORK","CAPITAL-GOV FUNDS","PERIPHERALS, COMPUTER","27384.4","AIRPORT CONSTRUCTION",
"2020","SW ART/HWY 20 UTLTY RELOC","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SW ART/HWY 20 UTLTY RELOC","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","25000","SANITARY SEWER CONSTRUCTI",
"2021","NETWORK SEC RISK ASSESS","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","NETWORK SEC RISK ASSESS","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","12000","SALES TAX CONSTRUCTION",
"2020","LOCUST ST PARK RMP REPAIR","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","LOCUST ST PARK RMP REPAIR","CAPITAL-ENTERPRISE","CONST CONTRACT-BLDG","333318","PARKING FACILITY CONSTRUC",
"2021","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","3785.83","DMASWA-GENERAL",
"2020","REPLACEMENT OF RADIOS","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","SANITARY SEWER","REPLACEMENT OF RADIOS","CAPITAL-ENTERPRISE","PAGER/RADIO EQUIPMENT","16520","SANITARY SEWER CONSTRUCTI",
"2020","LOCUST ST PARK RMP REPAIR","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","LOCUST ST PARK RMP REPAIR","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","35000","PARKING FACILITY CONSTRUC",
"2020","MONROE ST SAN SEWER EXT","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","MONROE ST SAN SEWER EXT","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","6947","SANITARY SEWER CONSTRUCTI",
