"title","date_venue","venue","attendance_est","speakers","partners_sponsors","overview"
"Art in the Park – Getting Under the city’s skin","16 November 2004 BMW Edge Fed Sq",,"200","MC - Andrew Mackenzie, Dianne Beevers, Dr Tony Birch, Dr Megan Evans, Sean Godsell ",,"Nine artists have developed temporary works for installation in Melbourne's new park - Birrarung Marr. Join a diverse panel as they discuss the art works and how artists contribute to our understanding of this important site and its relationship with the city. Developed in conjunction with Yarra arraY 2004 - Skinned, a current exhibition of outdoor art in Birrarung Marr until 5 December 2004."
"Cancer Treatment Innovation: How studying yeast can help","6 July 2007, Swanston Room, Melbourne Town Hall",,"300","Sir Paul Nurse - Nobel Laureate and President The Rockefeller University, New York
Dr Alex Franzusoff - Vice President of Research & Development and Founding Scientist, GlobeImmune, Louisville, Colorado
Sir Gustav Nossaal - Moderator
","A partnership with Afred Deakin Lectures 2007","World famous scientists explain what cancer is, and discuss why a better understanding of yeast can help with cancer and many common diseases. Nobel Prize Winner, Sir Paul Nurse is an active researcher and president of Rockefeller University. Dr Franzusoff is the founder of the Top-100 list US Biotech company GlobeImmune. He will present on the use of engineered yeast in cancer immunotherapy. "
"Political Accountability: What is really going on?","27 June 2007, BMW Edge, Fed Sq. ",,"750","MC - Dr Zoe Wainer 
Dr Helen Szoke - CEO, Victorian Equal Opportunity and Human Rights Commission.
Mr Lex Lasry QC 
Mr David Marr - Author, Patrick White
","A partnership with Afred Deakin Lectures 2007","You are invited to a panel discussion about political accountability.  Come along and hear the views of this diverse group of people and have your own say on the night.  "
"Science, Politics, Philanthropy and Money:  Building community consensus for controversial medical research and difficult decisions","25 June 2007, BMW Edge, Fed Sq. ",,"250","Robert Klein ","A Melbourne Conversations supported event presented by Alfred Deakin Lectures","Building community consensus for controversial research and projects is hard work. Robert Klein should know. This committed Californian has negotiated billions of dollars of support for research into stem cells and diabetes as well as public housing projects and campaigns to reduce the risk of nuclear weapons. In this talk Robert Klein looks at the need for further stem cell work, and the role of the public and business in directly supporting medical research."
"Talk Blak -Vote Yes: The 1967 Referendum – 40 years on","1 June 2007, RMIT Capitol Theatre",,"400","MC: Hans Bokelund - Barrister
Patricia Corowa – Activist, Rapporteur for the People and former Secretary to the late Pastor Sir Doug Nicholls during the 1960’s. 
Gary Foley – Historian, Writer, Actor and Aboriginal Activist
Jirra Harvey – Koori Youth Ambassador
Sue Taffe – Historian, Writer and Academic
",,"Expectations were high, but what did the referendum ultimately mean for Indigenous Australians and has the referendum that promised so much delivered real change?  
 
Do Indigenous Australians enjoy the same citizenship, rights and freedoms as non-Indigenous Australians today?  What have we learnt over the past 40 years and what remains to be done in order to realise the expectations of the Australians who voted yes in 1967? 
"
"The Place of Students in Central Melbourne: Cash Cows or Community Members?","10 May 2007, Supper Room, Melbourne Town Hall",,"350","Ruth Fincher, Professor of Geography, University of Melbourne
Joyce Kirk, Pro Vice-Chancellor (Students), RMIT University 
Peter McPhee, Deputy Vice-Chancellor (Academic), University of Melbourne
Janice Lo, Student, University of Melbourne
Adrian Burrage, Student Housing Services Manager, University of Melbourne
Kate Shaw, Post-Doctoral Research Fellow, University of Melbourne
Peter Elliot, Architect, Adjunct Professor of Architecture, RMIT University
Paul Carter, Professorial Research Fellow, University of Melbourne
Paolo Tombesi, Associate Professor of Architecture, University of Melbourne
","University of Melbourne","A discussion about the place of students in central Melbourne—about
the communities they form, and the housing and public spaces available to them. 
"
"Falling In: 80 years of Anzac Day Parades - Inclusions, exclusions and nationalisms","23 April 2007, BMW Edge, Fed Sq.",,"270","MC – Michael Cathcart  - The Australian Centre, University of Melbourne, Professor Robert Manne – La Trobe University, Professor Kate Darian-Smith – The Australian Centre, University of Melbourne, William McInnes – Actor and Writer, Brigadier (Ret.) Keith Rossi AM OBE RFD ED - Historian RSL Victorian Branch
","History Council of Victoria","An evening of discussions that will explore the relationship between war histories, Australian nationalisms and public ritual. Falling in promises to be emotive, analytical, and evocative and thought provoking. "
"Our Future Health: The challenges for science in keeping us health and happy in the 21st Century","17 April 2007, BMW Edge Fed Sq.",,"100","MC. Bernie Hobbs , Professor Warwick Anderson, Professor Ingrid Winship, Dr Philip Campbell   ","Future Leaders ","The challenges for science in keeping us healthy and happy in the 21st Century."
"Tram Overheard – Leela Gandhi + Mick Douglas","23 March 2007, W11 Tram City Circle",,"100","Leela Gandhi + Mick Douglas","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"Tram Overheard – Vin D'Cruz & Michele Grossman","16 March 2007, W11 Tram City Circle",,"100","Vin D'Cruz & Michele Grossman","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"An Evening with the artist Matej Vogrincic","17 March 2005 RMIT Capitol ",,"100","Matej Andraz Vogrincic"," L’Oréal Melbourne Fashion Festival Arts Program, MINI, GPO Melbourne","A conversation with internationally renowned Slovenian artist: Matej Andraz Vogrincic"
"Shopping in the City","14 October 2004 Melbourne Town Hall",,"150","MC Jane Clifton, Roger Nelson, Rosalin Sadler, Peter Volk, Dr Richard Denniss, Dr Sally Cockburn aka Dr Feelgood  ","A Melbourne Business Week free public event","Why is Melbourne the shopping capital of Australia? Is shopping the new recreational pastime in the city? How many shops can the city sustain?  With a range of new shopping complexes and experiences, will the city be more “liveable” or is it just more consumption?"
"Tram Overheard – Suzie Attiwill & Nusra Latif Qureshi","9 March 2007, W11 Tram City Circle",,"100","Suzie Attiwill & Nusra Latif Qureshi","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"Tram Overheard – Sudesh Mishra & Phillipa Rothfield","2 March 2007, W11 Tram City Circle",,"100","Sudesh Mishra & Phillipa Rothfield","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
