"deptname","strategicplangoal","title","plannedenddate","countyworkplan","status","updateasofdate","percentcomplete","progresscomments","owner","managementlead","sponsor","dataupdater","description","contributors","id","reasonforproject","sid","plannedstartdate"
"Building and Development Review Services","5 - Deliver First Class Services to the Public and Our Customers","Voluntary Code Enforcement Compliance","2019-09-01T12:00:00.000","BCC","Completed","2019-12-31T12:00:00.000","100","​Code Enforcement worked with the Clerk of the Court, the County Attorney's office, other County departments, and other municipalities to promote the use of the electronic citation process. This improvement has resulted in the saving of hundreds of hours of staff time, which equates to tens of thousands of dollars saving to the County.","Reazin, J",,,,"​DRS, in particular the Code Enforcement Division, has been working to increase voluntary compliance by changing our service delivery model to focus on educating and informing our citizens. The focus is on compliance, not punitive in the form of fine collection or generating additional cases. Code Enforcement has been looking for      new and creative ways to communicate the code requirements to property      owners, in an effort to obtain voluntary compliance. From our point of      view a significant number of people that are found in violation find      themselves in that position because of not being familiar with the      regulations. Once they have been properly educated and informed about the      regulations and given an appropriate amount of time and resources they      will voluntarily comply. We are looking for ways to enhance that      education and communication.",,"399","This is a discretionary project to improve processes.","399_Building and Development Review Services_1/3/2020 1:01 PM",
"Building and Development Review Services","5 - Deliver First Class Services to the Public and Our Customers","Implement Injunctive Relief Program","2020-02-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","80","​First injunctive relief went to the judge, awaiting final order.","Lyon, Blake G","Reazin, J",,,"This initiative is a result of suggestions from the County Attorney during the foreclosure process best practices evaluation, to gain compliance with homeowners to avoid foreclosure. It is another tool that the County can utilize to get issueresolution on difficult properties before going into the foreclosure process.",,"398","This is a discretionary project.","398_Building and Development Review Services_1/10/2020 3:37 PM","2018-05-01T12:00:00.000"
"Safety and Emergency Services","2 - Ensure Public Health, Safety, and Welfare","Replace 5 Public Safety Radio Equipment Shelters","2022-06-30T12:00:00.000","Department","In Progress","2020-10-30T12:00:00.000","40","3 of 5 equipment shelters have been delivered and placed on their foundations.  The remaining 2 shelters are scheduled for delivery in 2021.  Equipment installation is also underway to connect new towers to the new shelters.  ​This project is expected to be completed on or before 6/30/2022.","Weinreich, Jacqueline L","Weinreich, Jacqueline L",,"Weinreich, Jacqueline L","​Equipment shelters will be constructed to current category 5 standards and elevated above the flood plain where appropriate.   This project will ensure critical radio equiment will be safeguarded from weather adn terrorist events.",,"394","This is as a result of an IG audit.","394_Safety and Emergency Services_10/30/2020 1:57 PM","2019-10-01T12:00:00.000"
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Strengthen the brand through creative approach to media, promotions and ad design.",,"Department","In Progress",,,,,,,,,,"399",,"399_Convention and Visitors Bureau_12/27/2019 2:01 PM",
"Administrative Services","1 - Create a Quality Workforce in a Positive, Supportive Organization","Assess Field Staff Positions Core Competencies and Compare to Needed Competencies","2020-05-15T12:00:00.000","Department","Completed","2020-09-30T12:00:00.000","100",,"Royster, Keith L","Royster, Keith L",,"Royster, Keith L","Review the current inventory of job descriptions for Facility Operations field staff. Assess the alignment of current roles, responsibilities and tasks to a future workforce that will have to manage advancing technologies and analytics in the field of asset management. Document and modify job descriptions for review and implementation by the Workforce Development Department and the Human Resource Department.","Human Resources","428","This is a discretionary project to improve processes.","428_Administrative Services_11/6/2020 1:58 PM","2020-03-19T12:00:00.000"
"Airport","5 - Deliver First Class Services to the Public and Our Customers","County External Audit","2020-03-31T12:00:00.000","County Administration","In Progress","2020-01-31T12:00:00.000",,,,,,,,,"397",,"397_Airport_1/31/2020 1:36 PM",
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Video Production Strategy","2020-05-31T12:00:00.000","County Administration","In Progress",,,,"Derr, Brian",,,"Derr, Brian",,,"399",,"399_Marketing and Communications_12/27/2019 2:21 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Strategic Plan Development","2019-12-27T12:00:00.000","Department","In Progress","2020-01-31T12:00:00.000","80","The Draft ""final"" document was provided to PCU leadership.  Currently is the draft is being reviewed and updated with latest figures and pictures. The document should be ready for Department Director review by end of February, 2020.","Gonzalez, Georges",,,,"This project is to develop a strategic plan for all of Utilities Department.",,"396","This is an administrative directive.","396_Utilities_2/6/2020 11:45 AM",
"Utilities","3 - Practice Superior Environmental Stewardship","Award of Bid for Pump Station Generator Improvements at Various Locations","2019-12-10T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"Project is in Purchasing. Awaiting Granicus review.","Menke, Tom",,,,,,"421",,"421_Utilities_12/24/2019 12:14 PM",
"Building and Development Review Services","5 - Deliver First Class Services to the Public and Our Customers","Implement Accela","2020-09-30T12:00:00.000","County Administration","In Progress","2020-01-31T12:00:00.000","60","​The Accela project team has been meeting with business units to verify the revised project schedule based on the remaining work that needs to be complete. Projected 'go live' has been modified to Fall 2020.","Lyon, Blake G","Howdeshell, David S",,,"Implement a cloud-based planning review and permitting platform.","Building and Development Review Services, Office of Technology & Innovation (OTI), Planning, Public Works, Utilities","392","This is a discretionary project.","392_Building and Development Review Services_4/3/2020 9:27 AM","2018-06-01T12:00:00.000"
"Public Works","4 - Foster Continual Economic Growth and Vitality","Partner with Creative Pinellas to implement art on infrastructure.","2020-06-30T12:00:00.000","BCC","In Progress","2020-06-26T12:00:00.000","80","06.26.20 - A Zoom meeting was held to garner input from residents on the mural for the corner of Belcher and Alderman Roads. Residents are interested in seeing a theme that involves ""Unity"" and/or children. The artists will begin painting in August.​​06.03.20 - The mural artists are scheduled to begin painting this summer. A Zoom meeting will be held on June 11 with the artist to garner community input on the wall design located on the corner of Belcher Road at Alderman Road. 04.28.20 - Pending project timeline update from Creative Pinellas, which will be reflected in work plan.04.9.20 - Delayed meeting to select artists based on COVID-19.  The review panel selection committee met on 4/9/2020 via video conference and selected three artists, one for each of the mural wall locations. Infrastructure has been prepared by Roadway Section.02.12.20 - The call for interested aritst was released in early February, once interested candidates submit an application they will be reviewed by Creative Pinellas and Public Works Transportation staff to select an artist for each of the three murals. ​","Jacobs, Kenneth A","Ferguson, Alexis",,"Ferguson, Alexis","Support vibrant communities with art and culture. Three locations were selected for the FY20 Mural Art Program. These locatins include(1) Eastlake Road South of Keystone Road, Tarpon Springs(2) Southeast Corner of Belcher Road at Alderman Road, Palm Harbor(3) Belcher Road, North of Alderman Road, Palm Harbor A pilot program was done in FY19. A similar funding amount is available for FY20 but Creative Pinellas would like to discuss other opportunities for public art including County buildings, signal cabinets and other potential areas like parks.","Creative Pinellas","397","This is a discretionary project.","397_Public Works_6/26/2020 3:07 PM","2019-10-01T12:00:00.000"
"Parks and Conservation Resources","5 - Deliver First Class Services to the Public and Our Customers","Update BCC on Unincorporated Recreation efforts",,"BCC","On Hold","2019-12-31T12:00:00.000","0","​1/6/2020- BCC Work Session Scheduled for May 14, 2020","Cozzie, Paul A",,,,"Create PowerPoint for future BCC Work Session detailing current and future efforts to address youth recreation in unincorporated Pinellas",,"398","This is an administrative directive.","398_Parks and Conservation Resources_1/7/2020 8:24 AM",
"Planning","4 - Foster Continual Economic Growth and Vitality","Lealman Form Based Code Plan","2020-05-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","90","​Adoption is underway.  Major milestones; drafting and adoption.","Booth, Rachel M","Keen, Alexandra",,,"Implement form-based code in the Lealman district.",,"400","This is a discretionary project.","400_Planning_1/3/2020 11:07 AM","2019-03-01T12:00:00.000"
