"agency","address","city","state","zip","phone","counties_served","program_type","funding_source","program_description","contract_dates","contract_number","funding_level","website","georeference"
"Parsons Child and Family Center","P.O. Box 8750","Albany","NY","12208","(518) 426-2600","ALBANY, SARATOGA, FULTON, RENSSELAER, MONTGOMERY, SCHENECTADY, WARREN, WASHINGTON","Permanency Resource Centers","State Aid","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","12/1/16-3/30/23","C027918","999000.00","https://parsonscenter.org/",
"Bronx-Lebanon Hospital Center","1650 Selwyn Avenue, Suite 5H","Bronx","NY","10457","(718) 960-1461","BRONX","Healthy Families New York Home Visiting","Federal MIECHV funds","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","10/1/21-9/30/22","C028299","217985.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.910406 40.84347)"
"Planned Parenthood of Central and Western NY Inc.","PO Box 416","Warsaw","NY","14569","(585) 546-2771","WYOMING","Sexual Assault","FVPSA  ARP SA","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA20","30584.00","http://www.restoresas.org/domestic-violence/",
"Kinship Navigator","87 N Clinton Avenue","Rochester","NY","14604","(877) 454-6465","NYS","Kinship","State Aid to Localities","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","11/30/21-11/29/22","C029096","320500.00","http://www.nysnavigator.org/","POINT (-77.607176 43.159017)"
"Family and Children's Services of Ithaca","127 W State St","Ithaca","NY","14850","(607) 273-7494","TOMPKINS","Kinship","State Aid","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","9/1/15-8/31/20","C027690","102980.00","https://www.fcsith.org/","POINT (-76.500098 42.439489)"
"CAMBA, Inc.","1720 Church Avenue, 2nd Floor","Brooklyn","NY","11226","(718) 287-2600","NEW YORK CITY","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA04","61168.00",,"POINT (-73.963355 40.649334)"
"Rochester Society for the Prevention of Cruelty to Children","148 South Fitzhugh Street","Rochester","NY","14608","(585) 325-6101 x.202","Monroe","Healthy Families New York Home Visiting","Federal MIECHV Competitive Grant","HFNY targets expectant parents and parent with an infant less than 3 months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide family support, education and linkages to community services.","10/1/18-9/30/23","C028295","300000.00","https://www.healthyfamiliesnewyork.org/","POINT (-77.612482 43.149673)"
"Westchester County Office for Women","112 East Post Road, Room 110B","White Plains","NY","10601","(914) 995-2900","WESTCHESTER","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028789","22000.00","http://women.westchestergov.com","POINT (-73.766722 41.028237)"
"Ohel Children's Home & Family Services","1268 E. 14th Street","Brooklyn","NY","11230","(718) 851-6300","NEW YORK CITY","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028826","57000.00","Ohel Children's Home and Family Services (http://ohelfamily.org)","POINT (-73.960998 40.61821)"
"Catholic Charities of Saratoga, Warren and Washington Counties","35 Broad Street","Glens Falls","NY","12801","(518) 793-9496","WARREN, WASHINGTON","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028809","62000.00","http://www.ccrcda.org/saratoga.htm","POINT (-73.649522 43.307961)"
"Otsego County District Attorneys Office","140 County Highway 33W Suite 2","Cooperstown","NY","13326","(607) 547-1770","OTSEGO","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/15-9/30/20","C027699","137675.00","http://www.otsegocounty.com","POINT (-74.946972 42.651997)"
"Brookdale Hospital Medical Center","One Brookdale Plaza, Schachne LL-13","Brooklyn","NY","11212","(718) 240-8340","KINGS","Healthy Families New York Home Visiting","Federal MIECHV funds","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services.","10/1/21-9/30/22","C028296","382162.00","https://www.healthyfamiliesnewyork.org/",
"Sullivan County Public Health Services","50 Community Lane","Liberty","NY","12701","(845)513-2250","SULLIVAN","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","9/1/18-9/31/19","C028019","245512.00","http://co.sullivan.ny.us/Departments/DepartmentsNZ/PublicHealthServices/tabid/3293/Default.aspx","POINT (-74.712355 41.795493)"
"Delaware Opportunities, Inc.","35430 State Highway 10","Hamden","NY","13782","(607) 746-6278","DELAWARE","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029162","16178.00","http://www.delawareopportunities.org","POINT (-74.999481 42.188267)"
