"nombreestablecimiento","direccion","nit","telefono","telefax","municipio","departamento","fechaconcepto","conceptocapacidadproduccion"
"SOLUCIONES INDUSTRIALES MV S.A.S.","CARRERA 17 F1 # 33A-36","901369258 - 6","3154821922 3173554409","NO REGISTRA","CALI","VALLE DEL CAUCA","2020-09-17T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES Y SEMISÓLIDOS: PULIDORES DE COCINA"
"SOLUCIONES QUÍMICAS Y ARQUITECTÓNICAS S.A.S. SIGLA VERLIMPIO S.A.S","CARRERA 58 # 43 SUR - 83 BODEGA 127 PARQUE INDUSTRIAL DE PRADO","900144547-1","3137216836, Sede administrativa (4441146 y 4449240)","NO REGISTRA","MEDELLIN","ANTIOQUIA","2020-09-22T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE, LIMPIADORES DE SUPERFICIE"
"SPAI-SONS PHARMACEUTICAL INTERNACIONAL COSMETICS","AV CIUDAD DE CALI CR 86 NO 51-85","860515732-4","4279090","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2012-08-22T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADOR DE SUPERFICIES"
"SPARCOL CHEMICALS & LIFE S.A.S.","KR 47C NO 79A SUR - 15","830070505-8","6045800","3014843","SABANETA","ANTIOQUIA","2006-02-13T00:00:00.000","CUMPLE LAS CONDICIONES TECNICAS HIGIENICASLOCATIVAS Y DE CONTROL DE CALIDAD PARA FABRICAR PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA BLANQUEADORES"
"SPARCOL CHEMICALS & LIFE S.A.S.","CL 27 NO 41 140 IN 105","830070505-8","6045800","NO REGISTRA","ITAGUI","ANTIOQUIA","2021-07-27T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE, LIMPIADORES DE SUPERFICIES,"
"SPARK S.A.S.","VIA 40 NO. 69 - 138 BODEGA 1","901464872-5","3103670540","NO REGISTRA","BARRANQUILLA","ATLANTICO","2022-05-19T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE."
"SPARKLEAN S A S","CL 15 C NO 96 I - 93","901152273-4","7425091","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2018-06-22T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENNE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJIILAS SUAVEIZANTES PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"SPRING COLLECTION SAS","CL 30 A ESTE # 11-39 INTERIOR 105","900429832-9","7815523","3118584719","SOACHA","CUNDINAMARCA","2019-12-03T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA CONTINUAR LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES SEGUN A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"SU PEDIDO SAS","CL 9 A # 2 A W-10 LA BADEA","900445748-5","3158502551","NO REGISTRA","DOSQUEBRADAS","RISARALDA","2017-07-27T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES Y SEMISOLIDA JABONES Y DETERGENTES Y PRODUCTOS LAVAVAJILLAS DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"SUGOI COLOMBIA S A S","CL 17 A # 53 - 42","900695578-1","3173837556","4207733","BOGOTA DC","CUNDINAMARCA","2016-12-02T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS AMBIENTADORES"
"SUMINISTROS INTEGRALES S.A.S.","CL 27 # 41-73/93","800118399-3","6046101","NO REGISTRA","ITAGUI","ANTIOQUIA","2015-07-30T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE ASEO EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA QUITAMANCHAS AMBIENTADORES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES SEMISOLIDOS PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SOLIDOS PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA JABONES Y DETERGENES EN BARRA"
"SUPER BRILLO DIAZ SAS","CL 24 NO. 8 61 SUR","901478729-0","3124938696","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2021-08-03T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y DECISIÓN 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES."
"SUPER HOUSE PLUS","DG 92C SUR NO 3D - 16 ESTE","79979665-7","7626887 / 3115084886","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2013-05-16T00:00:00.000","CUMPLE CON LA DONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTESPRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINASUAVIZANTES Y PRODUCTOS PARA EL PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS"
"SUPPLA MAGDALENA PROPIEDAD DE DE SUPPLA SA","LOTE LA MAGDALENA VIA AEROPUERTO A CENCAR KM 1,5 CALZADA IZQUIERDA","890903295-0","5550000","NO REGISTRA","PALMIRA","VALLE DEL CAUCA","2021-03-17T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMÉSTICA Y PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL EN TODAS SUS FORMAS FÍSICAS EN LAS SIGUIENTES ACTIVIDADES: CODIFICADO, ETIQUETADO, DESETIQUETADO, ESTUCHADO, DESESTUCHADO, TERMOSELLADO, TERMOENCOGIDO, ACONDICIONAMIENTO DE EMPAQUE TERCIARIO, ELABORACIÓN DE OFERTAS, COLOCACIÓN DE: INSERTO, STICKER, SELLO DE SEGURIDAD Y PIN DE SEGURIDAD"
"SUPPLA S.A","CARRERA 35A NO 16-80, BODEGA 9 PARQUE INDUSTRIAL EL CORTIJO, DE ACOPI-YUMBO","890903295-0","4399325","NO REGISTRA","YUMBO","VALLE DEL CAUCA","2020-11-11T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO SECUNDARIO: CODIFICACIÓN, DESETIQUETADO, ETIQUETADO, DESESTUCHADO, ESTUCHADO, COLOCACIÓN DE PIN Y CHECK POINT DE SEGURIDAD, TERMOSELLADO DE SEGURIDAD (TERMOENCOGIDO), ACONDICIONAMIENTO DE EMPAQUE TERCIARIO, ELABORACIÓN DE OFERTAS, COLOCACIÓN DE STICKER DE PRODUCTOS DE HIGIENE DOMÉSTICA Y PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL EN TODAS LAS FORMAS FÍSICAS."
"SUPPLA S.A","CL 64 A # 5-94","890903295-0","052-4399325","NO REGISTRA","CALI","VALLE DEL CAUCA","2018-11-29T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA EL ACONDICIONAMIENTO SECUNDARIO DE PRODUCTOS DE HIGIENE DOMESTICA Y ABSORBENTES DE HIGIENE PERSONAL EN TODAS LA FORMAS CODIFICACION DESETIQUETADO ETIQUETADO DESESTUCHADO ESTUCHADO PIN Y CHECKPOINT DE SEGURIDAD TERMOSELLADO DE SEGURIDAD (TERMOENCOGIDO) ACONDICIONAMIENTO DE EMPAQUE TERCIARIO ELABORACION DE OFERTAS COLOCACION DE STICKER DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA"
"SUPPLA S.A","KM 13 VIA CENCAR -PALMASECA CORREGIMIENTO MATAPALOS","890903295-0","052-4399325","NO REGISTRA","PALMIRA","VALLE DEL CAUCA","2016-11-08T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA EL ACONDICIONAMIENTO SECUNDARIO CODIFICACION DESETIQUETADO ETIQUETADO DESESTUCHADO ESTUCHADO PIN Y CHECKPOINT DE SEGURIDAD TERMOSELLADO DE SEGURIDAD TERMOENCOGIDO ACONDICIONAMIENTO DE EMPAQUE TERCIARIO ELABORACION DE OFERTAS COLOCACION DE STICKER DE PRODUCTOS DE HIGIENE DOMESTICA EN TODAS LAS FORMAS"
"SUPPLA S.A","KM 1.5 VIA SIBERIA - FUNZA, VEREDA LOS PLATANITOS, PARQUE INDUSTRIAL ZOL, BODEGA 37 Y 38","890903295-0","3770323","NO REGISTRA","FUNZA","CUNDINAMARCA","2020-12-04T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO SECUNDARIO DE PRODUCTOS DE HIGIENE DOMÉSTICA Y PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL EN TODAS LAS FORMAS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE, LIMPIADORES DE SUPERFICIES Y PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES."
"SUQUIN S A S","CL 31 # 20-43","804002957-9","6335068","NO REGISTRA","BUCARAMANGA","SANTANDER","2017-06-21T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS PRODUCTOS LAVAVAJILLAS BLANQUEADORES QUITAMANCHAS Y LIMPIADORES DE SUPERFICIES Y SE AMPLIA SU CAPACIDAD INSTALADA ADICIONANDO TRES (03) TANQUES DE FABRICACION DE CAPACIDAD 500 LITROS Y UN (01) TANQUE DE FABRICACION DE CAPACIDAD 1000 LITROS AMPLIA SU AREA DE FABRICACION PARA SEMISOLIDOS E INCLUYE EL AREA DE ENVASADO DE LIQUIDOS Y SE AMPLIA EL CONCEPTO SANITARIO PARA LA FABRICACION ENVASADO Y ACONDICIONAMIENTO EN FORMA DE LIQUIDOS PRODUCTOS DE HIGIENE DOMESTICAS CON PROPIEDAD DESINFECTANTE Y SEMISOLIDOS SUAVIZANTES Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"SURTIPRODUCTOS LINEROS S.A.S","CALLE 1 NO 31-45 BARRIO MARIA EUGENIA","901159027 - 0","3164536528","NO REGISTRA","AGUACHICA","CESAR","2011-11-29T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA SÓLIDA: PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, SEMISÓLIDOS: PRODUCTOS LAVAVAJILLAS, LIQUIDOS: PRODUCTOS LAVAVAJILLAS Y SUAVIZANTES DE ROPA"
"T ATIENDO SA","CL 15 A # 25 A -352 AU CALI - YUMBO","805027230-5","6819669","6877373","CALI","VALLE DEL CAUCA","2018-10-10T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES E COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"TEAM FOODS COLOMBIA SA FAGRAVE SA","VI 40 NO 53B-71","860000006-4","3441985","3443942","BARRANQUILLA","ATLANTICO","2013-11-26T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVASHIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACVONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMENSTICA EN FORMA DE SOLIDOS JABONES Y DETERGENTES CUMPLE CON LAS CONDICIONES HIGIENICAS CUMPLE CON LAS CONDICIONES Y DE CONTROL DE CALIDAD PARA FABRICAR Y ENVASAR DUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO JABONES EN FORMA SOLIDA PARA LAVAR ROPA"
"TECNO ASEO SAS","CL 74 NO. 87 29","901264290 - 0","3203089931","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2020-10-05T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, DE ACUERDO CON LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES"
"TECNOCLEAN DE COLOMBIA LTDA","CL 18 A # 55-56","830032515-1","7465649","7465649 EXT 109","BOGOTA DC","CUNDINAMARCA","2016-06-13T00:00:00.000","CUMPLE CON LAS CONDICIONES TÉCNICAS LOCATIVAS HIGIÉNICAS SANITARIAS DE DOTACIÓN Y RECURSOS HUMANOS PARA LAS ACTIVIDADES DE FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTES Y LIMPIADORES DE SUPERFICIES Y EN FORMA SÓLIDA JABONES Y DETERGENTES DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA"
"TECNODETERGENTES DE COLOMBIA PROPIEDAD DEL SEÑOR SALAMANCA QUINTERO HECTOR JULIO","KR 17 # 39 A - 17 SUR VIA INDUMIL","11185637-5","7326874","7291990","SOACHA","CUNDINAMARCA","2017-08-02T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LÍQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO BLANQUEADOR Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES Y PARA EL PESAJE ENVASADO Y ACONDICIONAMIENTO DEL PRODUCTO DE HIGIENE DOMÉSTICA EN FORMA SOLIDA QUITAMANCHAS DE ACUERDO A LO CONTEMPLADO EN LA DESICION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"TECNOSUR S A S","KM 24 VIA CALI STDER Q EN LA 'Y' VILLA RICA LOTE 2 ZF PARQUE SUR","817000808 - 8","8825555 EXT 4400 - 5504162","5504164","VILLA RICA","CAUCA","2003-07-16T00:00:00.000","REUNE CONDICIONES TECNICAS HIGIENICAS Y SANITARIAS PARA FABRICAR PRODUCTOS ABSORBENTES DE USO PERSONAL ( PANALES DESECHABLES)"
"TEKNO CLEAN LTDA","KR 64A NO 5-86 BARRIO PRADERA BOGOTA","9000383960","4066987","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2006-12-13T00:00:00.000","CUMPLE CON LAS CONDICIONES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA AMBIENTADORES BLANQUIADORES LIMPIADORES DETERGENTES NO COSMETICOS PRODUCTOS LAVALOZA Y DESINFECTANTES DE USO DOMESTICO"
"TEKNO LIDESMA S A S","KM 2 5 VIA BOGOTA- SIBERIA ENTRADA TUBOS TITAN PARQUE INDUSTRIAL PORTOS SABANA 80 BODEGA 131","900038396-0","3007989038","NO REGISTRA","COTA","CUNDINAMARCA","2020-10-06T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS Y PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, POR LO TANTO SE AMPLIA UNA LÍNEA DE ENVASADO EN PRESENTACIÓN SACHET DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, AMBIENTADORES, QUITAMANCHAS Y PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES."
"TENSOACTIVOS PROCLEAN SAS","CL 52 # 9- 66 BARRIO SANTA BARBARA VILLA CONSTANZA","900584102-3","3175703014-3022498930","NO REGISTRA","NEIVA","HUILA","2017-03-02T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"TENSOACTIVOS SG S A S","CL 3 TV 1 - 268 CORREGIMIENTO LA DOLORES","805023817-1","5582158","5582156","PALMIRA","VALLE DEL CAUCA","2017-07-05T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES Y EN FORMA SOLIDA JABONES Y DETERGENTES BLANQUEADORES Y QUITAMANCHAS DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"TENSOACTIVOS Y QUIMICOS DE COLOMBIA","KR 11 NO 6-52","911500043","6752283","6826385","FLORIDABLANCA","SANTANDER","2005-10-06T00:00:00.000","EN ESTADO LIQUIDO BIOBAT DETERGENTE BACTERICIDA BIODEGRADABLE MULTIUSOS DETERGENTE LAVAPLATOS CHAMPU PARA FRUTAS Y VERDURAS SUAVIZANTE TEXTIL DESINCRUSTANTE DE GRASAS Y DESTAPA CANERIAS BLANQUEADAOR DESINFECTANTE DAE CLORO MULTIUSOS Y EL SIGUIENTE"
"THAT CLEAN S A S","CL 45N # 5N - 29","901061361-3","3450362- 3450365-3116609319","NO REGISTRA","CALI","VALLE DEL CAUCA","2018-01-30T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVISANTES AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
