"nombre_establecimiento","tipo_de_establecimiento","tipo_de_productos_que","direccion","barrio","telefono","correo_electronico","municipo","fecha_ltima_visita_ivc","concepto"
"UNIVERSO DE SOLUCIONES S.A.S UNIMEDICAL DISTRIBUCIONES","DEPOSITO DE DROGAS","MEDICAMENTOS, DISPOSITIVOS MEDICOS","CRA 17 A # 15-10 OFC 201","SAN VICENTE","3148777318 / 5745865","universoluciones@hotmail.com, unimedicaldistribuciones@hotmail.com, gerencia@unimedical.co","VALLEDUPAR","28/06/2019","FAVORABLE"
"VALLEMEDIC","DEPOSITO DE DROGAS","MEDICAMENTOS, DISPOSITIVOS MEDICOS","CLL 14 # 17A-05 Local 3","ALFONSO LOPEZ","NT","vallemedicsas@hotmail.com","VALLEDUPAR","07/03/2019","FAVORABLE"
"DISTRIBUCIONES MEDICAS DE VALLEDUPAR","DEPOSITO DE DROGAS","MEDICAMENTOS, DISPOSITIVOS MEDICOS","CARRERA 17 # 18-37","LA GRANJA","3188574377","distribucionesmv1991@gmail.com","VALLEDUPAR","15/05/2019","DESFAVORABLE"
"DISTRIBUCIONES Y SUMINISTROS DAZALUD S.A.S","DEPOSITO DE DROGAS","MEDICAMENTOS, DISPOSITIVOS MEDICOS","TRANSV 18 # 20 B- 48 LC 1","LAS DELICIAS","5701014","dazalud@gmail.com","VALLEDUPAR","26/03/2019","FAVORABLE"
"DOTASERVI DEL CARIBE S.A.S","DEPOSITO DE DROGAS","MEDICAMENTOS, DISPOSITIVOS MEDICOS","CARRERA 19 # 5-245","LOS MUSICOS","3176983689","dotaservidelcaribe@hotmail.com","VALLEDUPAR","22/10/2018","FAVORABLE CON REQUERIMIENTOS"
"DISTRIBUIDORA FARMADYS S.A.S","DEPOSITO DE DROGAS","MEDICAMENTOS, DISPOSITIVOS MEDICOS","DIAGONAL 16 # 16-46  LC 15 VALLE CENTRO","SANTANA","5721358 / 3022103239","distribuidorafarmadys@hotmail.com","VALLEDUPAR","03/05/2019","FAVORABLE"
"SANTANA DISTRIBUCIONES MEDICAS S.A.S","DEPOSITO DE DROGAS","MEDICAMENTOS, DISPOSITIVOS MEDICOS","DIAGN 16 # 16-46 CC VALLECENTRO LOCAL 5","SANTANA","5740475 / 3226125166","santanadistribucionesmedicas@gmail.com","VALLEDUPAR","05/07/019","FAVORABLE"
"DISTRIBUIDORA MEDICA L.E SAS","DEPOSITO DE DROGAS","MATERIAL DE OSTEOSINTESIS Y DISPOSITIVOS MEDICOS","CALLE 16 # 19 e 17","DANGOND","NT","distribuidoramedicale@gmail.com","VALLEDUPAR","04/09/2017","FAVORABLE CON REQUERIMIENTOS"
"IMPLAMED","DEPOSITO DE DROGAS","MATERIAL DE OSTEOSINTESIS Y DISPOSITIVOS MEDICOS","CLL 18B # 30-65","SABANAS","NT","implameds.a.s900@gmail.com","VALLEDUPAR","04/10/2017","FAVORABLE"
"MATERIALES TEPOSKA","DEPOSITO DE DROGAS","MATERIAL DE OSTEOSINTESIS Y DISPOSITIVOS MEDICOS","CLL 12 # 14A-06 Local 3","ALFONSO LOPEZ","NT","teposkassas@gmail.com","VALLEDUPAR","22/06/2017","FAVORABLE"
"ORTHOPEDIC CENTER","DEPOSITO DE DROGAS","MATERIAL DE OSTEOSINTESIS Y DISPOSITIVOS MEDICOS","CLL 15 # 14-34 OF 101","SAN VICENTE","NT","orthopediccenter@outlook.com","VALLEDUPAR","09/04/2014","FAVORABLE CON REQUERIMIENTOS"
"ORTOPEDIA INTEGRAR","DEPOSITO DE DROGAS","DISPOSITIVOS MEDICOS, ENSUMOS Y EQUPOS MEDICOS","CLL 14 # 18-47 AP 01","SAN VICENTE","5885625 / 3174359418","ort_integrar@hotmail.com","VALLEDUPAR","13/05/2019","FAVORABLE"
"OSTEOMATERIAL","DEPOSITO DE DROGAS","MATERIAL DE OSTEOSINTESIS Y DISPOSITIVOS MEDICOS","CRA 17A # 15-60","SAN VICENTE","3174231345 / 5809870","osteomaterial@hotmail.com, administracion@osteomaterial.com","VALLEDUPAR","05/12/2018","FAVORABLE CON REQUERIMIENTOS"
"OSTEOSYNTESIS","DEPOSITO DE DROGAS","MATERIAL DE OSTEOSINTESIS Y DISPOSITIVOS MEDICOS","CLL 16 # 15-16 Local 102","ALFONSO LOPEZ","NT","jornate@hotmail.com","VALLEDUPAR","26/01/2015","FAVORABLE"
"OLAM IPS S.A.S","DEPOSITO DE DROGAS","MATERIAL DE OSTEOSINTESIS Y DISPOSITIVOS MEDICOS","CALLE 12 # 14 A-06 LC 2","SAN JOAQUIN","3173696667","ipsolamsas@gmail.com, ch.ely.1027@hotmail.com","VALLEDUPAR","17/05/2019","FAVORABLE"
