"department","url","name","type","visits","last_update_date_data","frequency","category","keywords","owner","contact_email","license","data_provided_by","source_link","hasattachments","primary_priority","secondary_priority","primary_strategic_outcome","secondary_strategic_outcome","empty_fields"
"Austin Fire","https://data.austintexas.gov/d/f94t-frec","AFD Fire Incidents 2013 January Thru December","dataset","207","2016-03-29T00:00:00.000","Annually","Public Safety","afd,fire,incidents,city of austin","Christine Thies","Chrisine.thies@austintexas.gov","Public Domain","Austin Fire Department (Planning & Research)",,,,,,,"6"
"Emergency Medical Services","https://data.austintexas.gov/d/fszi-c96k","EMS - Customer Satisfaction By Month","dataset","204","2019-04-19T00:00:00.000","Monthly","Public Safety","ems,atcems,customer satisfaction,survey results,911,ambulance,austin,emergency medical services,travis county","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS","http://www.atcems.org",,"N/A","N/A","N/A","N/A","1"
,"https://data.austintexas.gov/d/rxpy-kdjq","Wallpaper Banner","dataset","204","2017-12-22T00:00:00.000",,,,"Hiko Naito - TylerTech/Socrata employee",,"Public Domain",,,,,,,,"12"
"Financial Services","https://data.austintexas.gov/d/yeeq-kk6v","Expense Open Budget-revised","dataset","203","2019-05-06T00:00:00.000","Weekly","Budget and Finance",,"carawaym","Mark.Caraway@austintexas.gov","Public Domain","City of Austin",,,,,,,"7"
"Parks & Recreation","https://data.austintexas.gov/d/cvnz-fq2z","Bike Fix It","dataset","202","2015-08-27T00:00:00.000","As Needed","Recreation and Culture","bicycle,fix,station,free","Betty","parksmarketing@austintexas.gov","Public Domain","City of Austin Park and Recreation","http://austintexas.gov/fixit",,"Complete Communities (Imagine Austin vision)","N/A","Mobility","N/A","1"
"Austin Resource Recovery","https://data.austintexas.gov/d/7qbj-8gh2","Yard Trimming and Organics Routes","gis map","200","2018-06-07T00:00:00.000","As Needed","Locations and Maps","yard trimming,organic,organic pilots,yard trimming routes,austin resource recovery","ARROpenData","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","https://www.austintexas.gov/department/austin-resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Austin Energy","https://data.austintexas.gov/d/53x2-di4n","Discount Program- Electric Only","dataset","198","2018-02-26T00:00:00.000","Monthly","Utilities and City Services","discount program,electric,energy,customer assistance program","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/",,"Household Affordability","N/A","Economic Opportunity and Affordability","N/A","2"
"Building Services","https://data.austintexas.gov/d/btjx-7fri","Total Work Orders Requested and Completed by Trade","dataset","198","2017-10-05T00:00:00.000","Annually","City Government","building services,bsd,work orders,trade","Korrie Johnson","building.services@austintexas.gov","Public Domain","Building Services Department",,,"N/A",,"Government that Works for All of Us",,"4"
"Emergency Medical Services","https://data.austintexas.gov/d/6mtx-ivnd","EMS - Quarterly Clinical Measures - Stroke Alert","dataset","198","2019-04-19T00:00:00.000","Quarterly","Health and Community Services","ems,atcems,clinical data,clinical performance,clinical measures,patient care,stroke,alert,911,ambulance,austin,travis county,emergency medical services","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
"Austin Energy","https://data.austintexas.gov/d/qhxa-cink","Payment Arrangements","dataset","195","2019-01-31T00:00:00.000","Annually","Utilities and City Services","payment arrangements,payment,installments,delinquent,energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/",,"Household Affordability","N/A","Economic Opportunity and Affordability","N/A","1"
"Austin Fire","https://data.austintexas.gov/d/5tib-gqfx","AFD Fire Incidents 2016 January Thru December","dataset","195","2017-03-16T00:00:00.000","Biannually","Public Safety","afd,fire,incidents,calls","Christine Thies","Christine.Thies@austintexas.gov","Public Domain","Austin Fire Department (Christine Thies)","http://www.austintexas.gov/fire",,,,,,"5"
"Austin Public Health","https://data.austintexas.gov/d/q2n9-6bj9","Preventative Health Screenings Services provided by Demographic","dataset","195","2018-10-01T00:00:00.000","Annually","Health and Community Services","preventative health screenings,blood pressure,blood sugar,diabetes,austin public health,health equity unit,community health,hiv,health education","Binh Ly","binh.ly@austintexas.gov","Public Domain","Health Equity Unit/Austin Public Health",,,"Healthy Austin","Healthy Austin","Health","Health","2"
"Communication and Technology Management","https://data.austintexas.gov/d/sute-ma6h","Austin GO VIews From Different Browsers","dataset","195","2013-05-03T00:00:00.000","Monthly","City Government","google analytics,browsers","Divya Rathanlal","divya.rathanlal@austintexas.gov","Public Domain",,,,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/7jgb-hbdr","Power Partner Thermostat Program","dataset","194","2016-11-14T00:00:00.000","Annually","Utilities and City Services","thermostat,energy,cooling,heating,rebate","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/data-library",,"Green Infrastructure","N/A","N/A","N/A","2"
"Austin Energy","https://data.austintexas.gov/d/e6m3-7p8a","ECAD Multifamily Audit and EUI Data as of August 29, 2018","dataset","193","2018-09-11T00:00:00.000","As Needed","City Government",,"Jessica Galloway","Jessica.Galloway@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/",,,,,,"6"
"Office of Homeland Security and Emergency Management","https://data.austintexas.gov/d/w635-mmjr","EOC Activations - City Open Data   HSEM","dataset","193","2015-08-06T00:00:00.000","As Needed","Building and Development","eoc,hsem,disaster,flood","Angel Flores","jake.dirr@austintexas.gov","Public Domain","City of Austin Office of Homeland Security and Emergency Management","https://austintexas.gov/department/about-hsem",,,,,,"5"
"Austin Police","https://data.austintexas.gov/d/7guv-wkre","2017 Racial Profiling Dataset  Citations","dataset","192","2018-04-10T00:00:00.000","As Needed",,"police,racial profiling,citations","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"8"
"Austin Police","https://data.austintexas.gov/d/x4p3-hj3y","2017 Racial Profiling Arrests","dataset","190","2018-07-30T00:00:00.000","As Needed","Public Safety","apd,police,racial profiling,arrests","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Austin Resource Recovery","https://data.austintexas.gov/d/mjk2-at39","Street Sweeping Routes for the City of Austin","gis map","190","2017-07-17T00:00:00.000","Biannually","Locations and Maps","arr,street,sweeping,cleaning,austin,resource,recovery,route","ARROpenData","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","https://www.austintexas.gov/department/austin-resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/hnk2-9fsb","GEOSCIENTIFICINFORMATION.ed_aq_contribute_zone","gis map","190","2019-04-17T00:00:00.000","As Needed","Locations and Maps","agoltosocrata","EGS Data Services",,"Public Domain","Watershed Protection",,,"N/A",,"N/A",,"5"
"Emergency Medical Services","https://data.austintexas.gov/d/p2us-27sn","EMS - Quarterly Cardiac Arrest Measures","dataset","190","2019-04-01T00:00:00.000","Quarterly","Health and Community Services","ems,atcems,clinical data,clinical performance,clinical measures,patient care,cardiac arrest,rosc,resuscitation,911,ambulance,austin,travis county,emergency medical services","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
"Financial Services","https://data.austintexas.gov/d/s2py-ceb7","Community Survey","dataset","189","2019-02-19T00:00:00.000",,"City Government","community survey","Performance Office","jamila.siller@austintexas.gov","Public Domain U.S. Government","Office of Performance Management","https://www.austintexas.gov/financeonline/afo_content.cfm?s=74",,"Complete Communities (Imagine Austin Vision)",,"Government that Works for All of Us",,"4"
"Austin Fire","https://data.austintexas.gov/d/7ad5-5kzx","AFD Fire Incidents 2014 January Thru December","dataset","187","2016-03-29T00:00:00.000","Annually","Public Safety","afd,fire,incidents","Christine Thies","Christine.thies@austintexas.gov","Public Domain","Austin Fire Department (Planning & Research)",,,,,,,"6"
"Austin Resource Recovery","https://data.austintexas.gov/d/jhra-82n2","ARR Household Hazardous Waste Monthly Materials Collection Weight Report","dataset","187","2015-09-14T00:00:00.000","As Needed","Utilities and City Services","household,hazardous,waste,resource recovery,recycle","ARROpenData","ARROpenData@austintexas.gov","Public Domain","Austin Resource Recovery","https://www.austintexas.gov/department/austin-resource-recovery",,"Healthy Austin","N/A","Health","N/A","1"
"Telecom & Regulatory Affairs","https://data.austintexas.gov/d/3fnm-exg7","Active Credit Access Business Licenses- Updated May 5, 2017","dataset","185","2017-05-05T00:00:00.000","As Needed","City Government","credit access businesses,payday lenders,auto title lenders","jesse.rodriguez",,"Public Domain",,,,,,,,"8"
"Communication and Technology Management","https://data.austintexas.gov/d/b2kk-8kt2","Zoning Review Cases","gis map","184","2019-04-17T00:00:00.000","Daily","Locations and Maps","agoltosocrata","EGS Data Services",,"Public Domain",,,,"N/A",,"N/A",,"6"
"Watershed Protection","https://data.austintexas.gov/d/us2y-viyp","Grow Green Participant Locations","dataset","183","2015-04-24T00:00:00.000","As Needed","Environment","grow green,native and adapted landscape plant guide,grow green participating locations","Watershed Education","trent.atkins@austintexas.gov","Public Domain","City of Austin Watershed Protection Grow Green","http://www.growgreen.org",,,,,,"5"
"Austin Public Health","https://data.austintexas.gov/d/hhv2-apea","Day Labor Placements","dataset","182","2017-06-13T00:00:00.000","Annually","Health and Community Services","day labor,jobs,contractors,construction","Stefan Wray","PublicHealthOpenData@austintexas.gov","Public Domain","Austin Public Health","http://austintexas.gov/daylabor",,"Workforce Development","N/A","Economic Opportunity and Affordability","N/A","1"
"Communication and Technology Management","https://data.austintexas.gov/d/c8ky-dga3","Subdivision Review Cases","gis map","182","2019-04-17T00:00:00.000","Daily","Locations and Maps","agoltosocrata","EGS Data Services",,"Public Domain",,,,,,,,"8"
"Austin Energy","https://data.austintexas.gov/d/ktsk-a3bg","On- Site Energy Resources","dataset","181","2016-11-15T00:00:00.000","As Needed","Utilities and City Services","energy resources,cooling plants,energy","Austin Energy","Sarah.Lambert@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com/ae/",,"N/A","N/A","N/A","N/A","1"
"City Clerk","https://data.austintexas.gov/d/nydq-gwfg","Lobbyist - Due Dates","dataset","181","2019-05-02T00:00:00.000","As Needed","City Government","lobbyist,ethics,city clerk","City of Austin - Lobbyists","lobbyists@austintexas.gov","Public Domain","Office of the City Clerk",,,"N/A","N/A","Government that Works for All of Us","Government that Works for All of Us","2"
"Austin Transportation","https://data.austintexas.gov/d/tkk5-uugs","Austin Transportation Department Visitor Log For Ordinance No. 20160922-005","dataset","180","2019-05-07T00:00:00.000","Daily","Transportation and Mobility","lobbyist,lobby,atd,transportation,services,ordinance,20160922-005","Austin Transportation","transportation.data@austintexas.gov","Public Domain","City of Austin Transportation Department",,,,,,,"6"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/4syj-z4ky","Austin Income Restriced Affordable Housing","dataset","180","2019-03-21T00:00:00.000",,"Housing and Real Estate","affordable housing","Josh Rudow","NHCD@austintexas.gov","Public Domain",,,,"Household Affordability",,"Economic Opportunity and Affordability",,"6"
"Austin Police","https://data.austintexas.gov/d/eqwy-k8kh","GUIDE 2017 - Officer Involved Shooting","dataset","179","2018-07-09T00:00:00.000","As Needed","Public Safety","police,ois,officer involved shooting","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Fleet Services","https://data.austintexas.gov/d/jmuq-5usm","COA INFO BY CLASS","dataset","179","2019-05-07T00:00:00.000","As Needed","City Government",,"Fleet Services","fleettechnicalservices@austintexas.gov","Public Domain",,,,,,,,"8"
"Parks & Recreation","https://data.austintexas.gov/d/su5u-tfet","Carver Events 2017","dataset","179","2018-02-26T00:00:00.000","Monthly","Recreation and Culture",,"Betty","betty.pu@austintexas.gov","Public Domain","City of Austin","http://www.austintexas.gov/department/carver-rental-spaces",,,,,,"6"
"Austin Fire","https://data.austintexas.gov/d/gric-78uy","AFD Fire Incidents 2017 January - December","dataset","178","2018-02-09T00:00:00.000","Annually","Public Safety","fire,afd,fire incident,incident,rap,calls","Christine Thies","christine.thies@austintexas.gov","Public Domain","Austin Fire Department (Christine Thies)","http://www.austintexas.gov/fire",,,,,,"5"
