"title","date","month","fy","library","primary_event_type","event_type_option_1","event_type_option_2","primary_age_group","age_group_option_1","age_group_option_2","description","internal_notes","published_status","attendance"
"LEGO and Duplo Playtime","2016-10-28T00:00:00.000","Oct","FY 17","Twinbrook","Makerspace","ACE - All Children Excel","Science & Math (STEM)","Elementary School Age","Preschool and Kindergarten",,"Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library by may be photographed before you leave. All children must be accompanied by an adult at all times. For ages three to twelve. Sponsored by Friends of the Library, Twinbrook Chapter. No registration required. For more information call 240-777-0240.",,"Yes","13"
"LEGO Crew","2016-10-28T00:00:00.000","Oct","FY 17","Gaithersburg","Science & Math (STEM)","ACE - All Children Excel","Makerspace","Elementary School Age","Preschool and Kindergarten",,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,"Yes","30"
"Tutoring and Homework Help","2016-10-29T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes",
"SPOOK-tacular Storytime","2016-10-29T00:00:00.000","Oct","FY 17","Bethesda","Storytime","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten","Elementary School Age",,"Celebrate Halloween with stories, songs, rhymes and fingerplays to scare your socks off! Come in costume, if you like. Free tickets will be distributed 30 minutes prior to the program. Space is limited.",,"Yes","60"
"Tutoring and Homework Help","2016-10-29T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Halloween Spooktacular Toddler Time & Open House","2016-10-31T00:00:00.000","Oct","FY 17","Chevy Chase","ACE - All Children Excel","Storytime",,"Babies and Toddlers","Preschool and Kindergarten",,"Please join us for fun learning activities celebrating Halloween! We'll read, sing, dance, explore and learn finger plays just right for two and three year olds. Costumes are encouraged! No registration needed.",,"Yes","166"
"Tutoring and Homework Help","2016-10-31T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-10-31T00:00:00.000","Oct","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","20"
"Baby Storytime","2016-11-01T00:00:00.000","Nov","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,"Yes","30"
"Baby Storytime","2016-11-01T00:00:00.000","Nov","FY 17","Noyes Library for Young Children","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,"Yes","37"
"Toddler Time","2016-11-01T00:00:00.000","Nov","FY 17","Chevy Chase","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Please join us for fun learning activities. We'll read, sing, dance, explore and learn finger plays just right for two and three year olds. No registration needed.",,"Yes","77"
"Toddler Storytime","2016-11-01T00:00:00.000","Nov","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,"Yes","41"
"LITTLE BABY STORYTIME -- FOR PREWALKERS","2016-11-01T00:00:00.000","Nov","FY 17","Rockville Memorial","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Little Baby Storytime is for Prewalkers, babies ages birth to 12 months, with a parent or caregiver. Join us for stories, songs and rhymes. After storytime, we'll bring out the baby toys for some playtime. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.","G","Yes","50"
"Stepping Stones Story Time","2016-11-01T00:00:00.000","Nov","FY 17","Damascus","Storytime","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten","Babies and Toddlers",,"For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.",,"Yes","50"
"Lap Time for Little Ones","2016-11-01T00:00:00.000","Nov","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,"Yes","41"
"Tutoring and Homework Help","2016-11-01T00:00:00.000","Nov","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Tutoring and Homework Help","2016-11-01T00:00:00.000","Nov","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"Yes","15"
"Tutoring and Homework Help","2016-11-01T00:00:00.000","Nov","FY 17","Long Branch","Homework","ACE - All Children Excel",,"Elementary School Age","Teens",,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,"No",
"Toddler Time","2016-11-02T00:00:00.000","Nov","FY 17","Germantown","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, songs and other early literacy activities for ages 12 to 23 months.",,"Yes","54"
"Toddler Storytime","2016-11-02T00:00:00.000","Nov","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"**NOTE** We will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Fun stories, songs and rhymes with lots of movement for wiggly toddlers. Help your child build pre-reading skills. Ages 18 to 36 months.",,"Yes","61"
"Born To Read","2016-11-02T00:00:00.000","Nov","FY 17","Bethesda","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, songs, chants, and other early literacy activities for babies 0 to 23 months with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,"Yes","52"
"Born To Read","2016-11-02T00:00:00.000","Nov","FY 17","Bethesda","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, songs, chants and other early literacy activities for babies 0 to 23 months with an adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,"Yes","30"
"Lap Time for Little Ones","2016-11-02T00:00:00.000","Nov","FY 17","Silver Spring","Storytime","ACE - All Children Excel",,"Babies and Toddlers",,,"Stories, rhymes, bounces, and songs for children 0 to 18 months. Designed for parent/caregiver participation. ***NOTE*** We will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. Please come early.",,"Yes","44"
"Stepping Stones Story Time","2016-11-02T00:00:00.000","Nov","FY 17","Damascus","Storytime","ACE - All Children Excel","Z_For VS use only","Preschool and Kindergarten","Babies and Toddlers",,"For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.",,"Yes","13"
