"casenumber","occurredfromdate","occurredthroughdate","reporteddate","disposition","dispositiondate","index_crime_category","statute","statutedescription","crimecode","crimecodedescription","nciccode","nciccodedescription","domestic","streetaddress","city","zip","location_point","patrol_division"
"2021-00033943","2021-07-22T12:52:00.000","2021-09-01T12:42:00.000","2021-09-10T10:55:14.000","Open","2021-09-10T00:00:00.000","Crimes Against Property","18-4-409 (2)(a) F5","Agg MVT 1st Degree-Possession over 24 hours Less than $20,000","240","Motor Vehicle Theft","2404","Vehicle Theft","No","5600 E WOODMEN RD","COLORADO SPRINGS","80920","POINT (-104.724533 38.94026)","Stetson Hills"
"2021-00037957","2021-10-08T15:30:00.000","2021-10-08T15:37:00.000","2021-10-08T15:37:26.000","Cleared by Arrest","2021-10-08T00:00:00.000","Crimes Against Society","18-6-401(1)(7)(b)(II) M3","Child Abuse - Criminal Negligence  - NO Injury","90F","Family Offenses/Nonviolent","3802","Cruelty Toward Child","Yes",,,,,
"2021-00018883","2020-12-12T01:00:00.000","2021-04-15T23:59:00.000","2021-05-19T14:58:57.000","Cleared by Arrest","2021-06-04T00:00:00.000","Crimes Against Society","18-9-306.5 M1","Obstruction of Telephone Service - Misdemeanor","90Z","All Other Offenses","7399","Public Order Crimes","Yes","7200 THORN BRUSH WAY","COLORADO SPRINGS","80923","POINT (-104.694604 38.935021)","Stetson Hills"
"2021-00028839","2021-08-03T21:39:00.000","2021-08-03T21:39:00.000","2021-08-03T21:39:12.000","Cleared by Arrest","2021-08-03T00:00:00.000","Crimes Against Society","18-8-103(1)(a) M2","Resisting Arrest - Physical Force/Violence Against Police Officer","90Z","All Other Offenses","4801","Resisting Officer","No","2100 ROBIN DR","COLORADO SPRINGS","80909","POINT (-104.791318 38.86203)","Stetson Hills"
"2022-00028044","2022-07-27T02:15:00.000","2022-07-27T02:25:00.000","2022-07-27T02:25:21.000","Open","2022-07-27T00:00:00.000","Crimes Against Property","18-4-501(1)  M1 (2)","Criminal Mischief $1K or more but < $2K - Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","6500 S ACADEMY BLVD","COLORADO SPRINGS","80906","POINT (-104.814071 38.76596)","Gold Hill"
"2021-00033940","2021-09-09T03:20:00.000","2021-09-09T03:30:00.000","2021-09-10T13:10:19.000","Open","2021-09-10T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (06)","Theft - $2000 to $4999, Parts from Vehicle","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle","No","5800 N NEVADA AVE","COLORADO SPRINGS","80918","POINT (-104.816112 38.912241)","Falcon"
"2022-00005696","2022-02-06T00:15:00.000","2022-02-06T00:25:00.000","2022-02-06T18:15:07.000","Cleared by Arrest","2022-03-07T00:00:00.000","Crimes Against Property","18-4-501(1) M3(2)","Criminal Mischief under $300-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","Yes","8100 N ACADEMY BLVD","COLORADO SPRINGS","80920","POINT (-104.803733 38.948584)","Falcon"
"2021-00045388","2021-12-03T16:00:00.000","2021-12-04T01:19:00.000","2021-12-04T01:20:25.000","Open","2021-12-13T00:00:00.000","Crimes Against Society","18-18-407(1)(d)(II) DF1","Special Offenses-Sentence Enhancer (Must have other drug charges)-Possessed or access to firearm; posed risk or in vehicle","90Z","All Other Offenses","7399","Public Order Crimes","No","21400 SWEET RD","PEYTON","80831","POINT (-104.427761 39.070411)",
"2022-00080255","2022-01-18T08:02:00.000","2022-01-18T08:05:00.000","2022-01-18T10:01:01.000","Open","2022-01-18T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M3(01)","Theft - $50 to $299, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)",,,"colorado springs","80927","POINT (-104.676597 38.92899)","Stetson Hills"
"2021-00002092","2021-01-08T20:41:00.000","2021-01-08T20:41:00.000","2021-01-08T20:41:47.000","Cleared by Arrest","2021-01-08T00:00:00.000","Crimes Against Society","42-4-1301(1)(a) M(1)","Driving under the influence - alcohol (DUI)","90D","Driving Under the Influence","5404","Driving Under Influence Liquor",,"NEVADA & I 25","COLORADO SPRINGS","80905","POINT (-104.822291015 38.815096511)","Gold Hill"
"2021-00003884","2021-01-21T20:24:00.000","2021-01-21T20:24:00.000","2021-01-21T20:25:15.000","Open","2021-01-21T20:25:15.000","Crimes Against Persons","18-3-203(1)(b) F4 (4)","2nd Degree Assault - Nonfamily - Weapon","13A","Aggravated Assault","1305","Aggravated Assault-Nonfamily-Weapon (Identify Weapon)","Yes","300 PLATTE CT","COLORADO SPRINGS","80903","POINT (-104.818783 38.838034)","Gold Hill"
"2020-00027439","2020-08-08T22:02:00.000","2020-08-08T22:02:00.000","2020-08-08T22:02:31.000","Cleared by Arrest","2020-08-08T00:00:00.000","Crimes Against Society","9.9.410","ALCOHOLIC BEVERAGES IN PARKS","90G","Liquor Law Violations","4104","Liquor - Possess",,"100 E PIKES PEAK AVE","WOODLAND PARK","80863","POINT (-105.052258 38.99224)",
"2021-00030492","2021-08-16T21:35:00.000","2021-08-16T21:38:00.000","2021-08-16T21:39:20.000","Cleared by Arrest","2021-08-17T00:00:00.000","Crimes Against Society","18-9-111(1)(c) M3","Harassment - Follow a Person in Public","90Z","All Other Offenses","5309","Harassing Communication","Yes",,"COLORADO SPRINGS",,,
"2021-00085523","2021-07-16T23:00:00.000","2021-07-19T03:00:00.000","2021-07-19T09:20:20.000","Open","2021-07-19T00:00:00.000","Crimes Against Property","18-4-401(2)(g) F5 (01)","Theft - $5000 to $19999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)",,,"Colorado Springs","80038","POINT (-105.081661 39.923985)",
"2022-00025252","2022-07-06T14:00:00.000","2022-07-06T14:30:00.000","2022-07-06T14:11:48.000","Open","2022-07-06T00:00:00.000","Crimes Against Persons","18-3-202(1)(a) F3 (6)","1st Degree Assault SBI - Aggravated - Weapon  (Unknown Relationship)","13A","Aggravated Assault","1305","Aggravated Assault-Nonfamily-Weapon (Identify Weapon)","No","900 CHEYENNE BLVD","COLORADO SPRINGS","80905","POINT (-104.842735 38.802484)","Gold Hill"
"2021-00084719","2021-04-17T14:25:00.000","2021-05-08T14:25:00.000","2021-06-02T14:58:16.000","Open","2021-06-02T00:00:00.000","Crimes Against Property","18-4-401(2)(e) M1 (05) 1","Theft - $750 to $1999, Shoplifting","23C","Shoplifting","2303","Shoplifting",,"1800 N ACADEMY BLVD","COLORADO SPRINGS","80909","POINT (-104.757392 38.85858)","Stetson Hills"
"2021-00032619","2021-08-30T08:00:00.000","2021-08-31T08:00:00.000","2021-08-31T08:58:14.000","Open","2021-08-31T00:00:00.000","Crimes Against Property","18-5-702(1)(b) F5","Unauthorized use of a financial transaction device Unauthorized by Issuer/Account Holder $5,000-$19,999","26B","Credit Card/Automatic Teller Machine Fraud","2605","Fraud-Illegal Use Credit Cards","No","5200 FOSSIL BUTTE DR","COLORADO SPRINGS","80923","POINT (-104.732523 38.925253)","Stetson Hills"
"2019-00083817","2019-09-03T12:00:00.000","2019-10-01T18:00:00.000","2019-10-01T18:12:07.000","Open","2019-10-01T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M3(01)","Theft - $50 to $299, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)",,"3600 AIRPORT RD","COLORADO SPRINGS","80910","POINT (-104.763718 38.825389)","Sand Creek"
"2022-00012169","2022-03-28T23:45:00.000","2022-03-28T23:50:00.000","2022-03-28T23:51:06.000","Warrant","2022-03-29T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M1","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes","6200 CORPORATE DR","COLORADO SPRINGS","80919","POINT (-104.816999 38.918681)","Falcon"
"2020-00045543","2020-12-28T18:00:00.000","2020-12-29T06:00:00.000","2020-12-31T15:12:49.000","Open","2020-12-31T15:12:49.000","Crimes Against Property","18-4-501(1) F6 (1)REP","Criminal Mischief $1,000-$4,999-Business","290","Destruction/Damage/Vandalism of Property","2901","Damage Property-Business","No",,"COLORADO SPRINGS",,,
"2022-00015152","2021-10-26T12:00:00.000","2022-04-19T12:00:00.000","2022-04-20T16:35:50.000","Open","2022-04-23T00:00:00.000","Crimes Against Property","18-4-203(1) F4 (2)","2nd Degree Burglary - Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2203","Burglary-Forced Entry-Nonresidence","No","5200 EDISON AVE","COLORADO SPRINGS","80915","POINT (-104.731684 38.839771)","Sand Creek"
"2021-00001726","2020-12-16T20:00:00.000","2020-12-16T20:00:00.000","2021-01-06T14:40:04.000","Cleared by Arrest","2021-04-01T00:00:00.000","Crimes Against Society","18-3-412.5(2)(a) F5","Failure to Register as Sexual offender - 2nd or Subsequent Offense","90Z","All Other Offenses","3612","Failure to Register As A Sex Offender","No",,,,,"Sand Creek"
"2021-00014180","2021-04-12T03:25:00.000","2021-04-12T03:30:00.000","2021-04-12T03:30:26.000","Cleared by Arrest","2021-04-12T03:30:26.000","Crimes Against Persons","18-3-206(1)(a) F5 (01)","Menacing Real or Simulated Weapon","13A","Aggravated Assault","1315","Aggravated Assault-Weapon (Identify Weapon)","No","4400 E PIKES PEAK AVE","COLORADO SPRINGS","80916","POINT (-104.74604 38.833949)","Sand Creek"
"2019-00084946","2019-12-17T02:00:00.000","2019-12-18T10:00:00.000","2019-12-18T16:36:36.000","Open","2019-12-18T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M3(01)","Theft - $50 to $299, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)",,"2600 REEVE CIR","COLORADO SPRINGS","80906","POINT (-104.809871 38.794737)","Gold Hill"
"2022-00025861","2022-07-08T14:00:00.000","2022-07-08T16:00:00.000","2022-07-11T09:33:34.000","Open","2022-07-11T00:00:00.000","Crimes Against Property","18-4-302(1)(b) F3 (8)","Aggravated Robbery w/ Deadly Weapon - Street - Gun","120","Robbery","1204","Robbery-Street-Gun","No",,"COLORADO SPRINGS",,,
"2021-00033200","2021-09-04T21:20:00.000","2021-09-04T21:28:00.000","2021-09-04T21:28:53.000","Cleared by Arrest","2021-09-05T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","No","100 N HANCOCK AVE","COLORADO SPRINGS","80909","POINT (-104.803691 38.834707)","Gold Hill"
"2021-00021658","2021-06-10T16:00:00.000","2021-06-10T16:10:00.000","2021-06-10T16:11:58.000","Cleared by Arrest","2021-06-10T00:00:00.000","Crimes Against Society","42-4-1301(1)(a) M(2)","Driving under the influence - drugs (DUID)","90D","Driving Under the Influence","5403","Driving Under Influence Drugs","No","1700 DUBLIN BLVD",,"80918","POINT (-104.79566 38.925427)","Falcon"
"2022-00022853","2022-06-19T01:00:00.000","2022-06-19T01:22:00.000","2022-06-19T01:16:18.000","Open","2022-06-19T00:00:00.000","Crimes Against Society","18-8-104(1) M2","Obstructing a Peace Officer, Firefighter, EMS, K9","90Z","All Other Offenses","4899","Obstruct Police (Describe Offense)","Yes","4400 E PIKES PEAK AVE","COLORADO SPRINGS","80916","POINT (-104.74604 38.833949)","Sand Creek"
"2020-00017598","2020-05-16T00:50:00.000","2020-05-16T01:05:00.000","2020-05-16T14:44:36.000","Open","2020-05-16T14:44:36.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","1500 GRAND OVERLOOK ST","COLORADO SPRINGS","80910","POINT (-104.790735 38.809713)","Gold Hill"
"2020-00020277","2020-06-05T17:00:00.000","2020-06-07T12:00:00.000","2020-06-09T07:47:38.000","Open","2020-06-09T07:47:38.000","Crimes Against Property","18-4-203(2)(a) F3 (2)","2nd Degree Burglary - No Forced Entry - Residence","220","Burglary/Breaking & Entering","2204","Burglary-No Forced Entry-Residence","No","3700 E SAN MIGUEL ST","COLORADO SPRINGS","80909","POINT (-104.759759 38.851182)","Sand Creek"
"2020-00022567","2020-06-29T10:00:00.000","2020-06-29T11:35:00.000","2020-06-29T11:32:12.000","Cleared by Arrest","2020-06-29T11:32:12.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes","4600 HINSDALE WAY","COLORADO SPRINGS","80917","POINT (-104.744107 38.898424)","Stetson Hills"
"2019-00039128","2019-10-18T17:00:00.000","2019-10-18T23:49:00.000","2019-10-18T23:49:31.000","Open","2019-10-19T00:00:00.000","Crimes Against Property","18-4-501(1) M3(2)","Criminal Mischief under $300-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","6600 OAK TRUNK PT","COLORADO SPRINGS","80923","POINT (-104.726361 38.928147)","Stetson Hills"
"2021-00085410","2021-07-12T11:00:00.000","2021-07-12T12:30:00.000","2021-07-12T14:01:18.000","Open","2021-07-12T00:00:00.000","Crimes Against Property","18-3-207(1)(a) F4 (4)","Criminal Extortion - Threat to Injure Person","210","Extortion/Blackmail","2101","Extort-Threat Injure Person",,"1600 DUBLIN BLVD","COLORADO SPRINGS","80918","POINT (-104.796887 38.924696)","Falcon"
"2021-00088124","2021-12-16T20:30:00.000","2021-12-17T08:30:00.000","2021-12-17T09:09:34.000","Open","2021-12-17T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (05)","Theft - $2000 to $4999, SHOPLIFTING","23C","Shoplifting","2304","Larceny-Parts From Vehicle",,"2700 GOLDEN CURRANT VW","COLORADO SPRINGS","80918",,
"2022-00081095","2022-03-10T15:40:00.000","2022-03-10T16:00:00.000","2022-03-10T16:53:37.000","Open","2022-03-10T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M2 (05)","Theft - Value $300 or more but < $1K, Shoplifting","23C","Shoplifting","2303","Shoplifting",,"1900 S CHELTON RD","COLORADO SPRINGS","80916","POINT (-104.756162 38.804886)","Sand Creek"
"2021-00011111","2021-03-18T20:30:00.000","2021-03-18T23:30:00.000","2021-03-18T23:45:30.000","Open","2021-03-19T00:00:00.000","Crimes Against Property","18-4-203(2)(a) F3 (2)","2nd Degree Burglary - No Forced Entry - Residence","220","Burglary/Breaking & Entering","2204","Burglary-No Forced Entry-Residence","No",,"COLORADO SPRINGS",,,
"2019-00045862","2019-12-07T18:00:00.000","2019-12-09T07:30:00.000","2019-12-09T08:29:01.000","Open","2019-12-09T08:29:01.000","Crimes Against Property","18-4-203(2)(a) F3 (2)","2nd Degree Burglary - No Forced Entry - Residence","220","Burglary/Breaking & Entering","2204","Burglary-No Forced Entry-Residence","No","1300 VINE CLIFF HTS","COLORADO SPRINGS","80921","POINT (-104.802934 39.018526)","Falcon"
"2022-00011940","2022-03-25T16:30:00.000","2022-03-26T13:30:00.000","2022-03-26T13:55:05.000","Open","2022-03-27T00:00:00.000","Crimes Against Property","18-4-501(1)  M2 (2)","Criminal Mischief $300 or more but < $1K - Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","400 CRESTONE LN","COLORADO SPRINGS","80905","POINT (-104.835581 38.814095)","Gold Hill"
"2020-00007887","2020-02-18T09:00:00.000","2020-02-20T14:50:00.000","2020-02-20T14:52:00.000","Open","2020-02-22T00:00:00.000","Crimes Against Property","18-5-102(1)(a) F5 (3)","Forgery - Money/Stamps/Securities/Valuable Instruments - Possess Forged Document","250","Counterfeiting/Forgery","2506","Possess Forged  (Identify Object)","No","6300 FALL HAVEN CT","COLORADO SPRINGS","80919","POINT (-104.846509 38.922495)","Falcon"
"2021-00032789","2021-09-01T03:30:00.000","2021-09-01T05:45:00.000","2021-09-01T19:07:52.000","Open","2021-09-01T00:00:00.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No",,"COLORADO SPRINGS",,,
"2021-00039268","2021-10-17T20:30:00.000","2021-10-18T08:30:00.000","2021-10-18T08:49:59.000","Open","2021-10-18T00:00:00.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","3200 EXCELSIOR DR","COLORADO SPRINGS","80920",,
"2021-00009505","2021-03-05T12:00:00.000","2021-03-05T14:51:00.000","2021-03-05T14:52:30.000","Cleared by Arrest","2021-03-06T00:00:00.000","Crimes Against Property","18-4-502 F5 (2)","1st Degree Criminal Trespass - Dwelling","220","Burglary/Breaking & Entering","2202","Burglary-Forced Entry-Residence","Yes","500 W CHEYENNE RD","COLORADO SPRINGS","80906","POINT (-104.836259 38.803444)","Gold Hill"
"2020-00010726","2020-03-15T23:30:00.000","2020-03-15T23:40:00.000","2020-03-15T23:45:51.000","Open","2020-03-16T00:00:00.000","Crimes Against Society","18-12-106(1) M2","Prohibited Use of Weapons","520","Weapons Law Violations","5299","Weapon Offense (describe offense)","No",,"COLORADO SPRINGS",,,
"2020-00032688","2020-09-19T19:00:00.000","2020-09-20T09:00:00.000","2020-09-20T09:03:22.000","Cleared by Arrest","2020-09-20T09:03:22.000","Crimes Against Property","18-4-203(2)(a) F3 (2)","2nd Degree Burglary - No Forced Entry - Residence","220","Burglary/Breaking & Entering","2204","Burglary-No Forced Entry-Residence","No","4500 CAPTAIN JACK LN","COLORADO SPRINGS","80924","POINT (-104.747259 38.981578)","Falcon"
"2020-00028361","2020-08-12T00:00:00.000","2020-08-16T15:56:00.000","2020-08-16T15:56:04.000","Cleared by Arrest","2020-08-16T15:56:04.000","Crimes Against Property","18-4-410(1) M1 (2)","Theft by Receiving - $500 - $999, Retains/Possesses Stolen Property","280","Stolen Property Offenses","2804","Possession of Stolen Property","No",,"COLORADO SPRINGS",,,
"2020-00032144","2020-09-10T00:00:00.000","2020-09-12T00:00:00.000","2020-09-15T17:35:12.000","Open","2020-09-15T17:35:12.000","Crimes Against Property","18-4-203(1) F4 (3)","2nd Degree Burglary - No Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2205","Burglary-No Forced Entry-Nonresidence","No","4700 ASHER HTS","COLORADO SPRINGS","80917",,
"2021-00048938","2021-12-31T18:50:00.000","2021-12-31T18:50:00.000","2021-12-31T18:56:23.000","Cleared by Arrest","2021-12-31T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes",,"COLORADO SPRINGS",,,
"2020-00024222","2020-07-12T12:00:00.000","2020-07-13T00:59:00.000","2020-07-12T20:48:34.000","Cleared by Arrest","2020-07-13T00:00:00.000","Crimes Against Society","18-6-803.5(2)(a) M1","Violation of a Protection Order - MPO","90Z","All Other Offenses","5005","Contempt of Court","Yes","3100 WOOD AVE","COLORADO SPRINGS","80907","POINT (-104.825576 38.876088)","Falcon"
"2021-00040869","2021-10-28T06:30:00.000","2021-10-28T07:30:00.000","2021-10-28T18:36:32.000","Open","2021-10-30T00:00:00.000","Crimes Against Property","18-4-501(1) M3(2)","Criminal Mischief under $300-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","1900 DELTA DR","COLORADO SPRINGS","80910",,
"2022-00016044","2022-04-26T23:00:00.000","2022-04-27T06:30:00.000","2022-04-27T07:43:41.000","Open","2022-04-27T00:00:00.000","Crimes Against Property","18-4-409(4) F6","Agg MVT - 2nd Degree - $2K or more but < $20K","240","Motor Vehicle Theft","2404","Vehicle Theft","No","2600 VERDE DR","COLORADO SPRINGS","80910","POINT (-104.782335 38.815501)","Sand Creek"
